network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_59237_PB_59428,0.227,0.208,0.32,0.228,0.3,0.296,0.267,0.126,0.185,0.093,0.131,0.228,0.315,0.318,0.482,0.493,0.443,0.214,0.193,0.287,0.405,0.328,0
PB_59237_PB_86869,0.323,0.245,0.228,0.394,0.111,0.259,0.356,0.094,0.266,0.093,0.152,0.375,0.179,0.232,0.364,0.531,0.306,0.268,0.398,0.259,0.463,0.245,0
PB_60274_PB_86869,0.305,0.244,0.248,0.375,0.1,0.239,0.335,0.098,0.251,0.085,0.169,0.378,0.162,0.231,0.366,0.531,0.286,0.264,0.376,0.26,0.487,0.227,0
PB_62238_PB_68654,0.21,0.255,0.476,0.223,0.223,0.319,0.365,0.496,0.19,0.508,0.478,0.151,0.111,0.267,0.286,0.332,0.219,0.134,0.159,0.141,0.183,0.274,0
PB_62238_PB_86869,0.32,0.222,0.322,0.258,0.177,0.319,0.439,0.209,0.248,0.169,0.302,0.33,0.172,0.216,0.283,0.434,0.298,0.263,0.39,0.245,0.424,0.325,0
PB_63413_PB_86869,0.292,0.254,0.209,0.223,0.108,0.297,0.344,0.211,0.271,0.218,0.334,0.312,0.169,0.125,0.323,0.422,0.293,0.101,0.398,0.239,0.376,0.317,0
PB_63930_PB_68654,0.21,0.266,0.481,0.228,0.212,0.323,0.386,0.458,0.136,0.477,0.451,0.156,0.11,0.269,0.28,0.313,0.223,0.136,0.113,0.147,0.196,0.257,0
PB_63930_PB_86869,0.32,0.233,0.328,0.243,0.173,0.322,0.447,0.17,0.265,0.172,0.264,0.333,0.174,0.207,0.281,0.416,0.301,0.241,0.402,0.246,0.457,0.308,0
PB_66079_PB_86869,0.292,0.264,0.233,0.23,0.145,0.281,0.365,0.206,0.273,0.21,0.315,0.317,0.16,0.124,0.329,0.461,0.284,0.129,0.387,0.238,0.401,0.268,0
PB_68510_PB_86869,0.314,0.28,0.294,0.281,0.135,0.271,0.379,0.198,0.422,0.209,0.26,0.365,0.167,0.142,0.295,0.388,0.293,0.257,0.588,0.334,0.641,0.267,0
PB_68654_PB_74576,0.211,0.263,0.499,0.23,0.168,0.309,0.386,0.492,0.106,0.511,0.48,0.167,0.11,0.269,0.28,0.303,0.195,0.148,0.11,0.139,0.247,0.231,0
PB_68654_PB_75264,0.343,0.434,0.288,0.258,0.205,0.408,0.442,0.537,0.209,0.639,0.536,0.122,0.325,0.685,0.431,0.472,0.637,0.153,0.298,0.152,0.36,0.595,0
