network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_10205_PB_39322_PB_48353,0.192,0.192,0.192,0.131,0.34,0.201,0.244,0.302,0.076,0.396,0.233,0.364,0.369,0.298,0.401,0.49,0.457,0.282,0.135,0.441,0.243,0.281,1
PB_10205_PB_42425_PB_48353,0.182,0.182,0.182,0.113,0.315,0.264,0.306,0.313,0.08,0.435,0.262,0.309,0.34,0.298,0.479,0.48,0.446,0.279,0.235,0.409,0.251,0.292,1
PB_10205_PB_42425_PB_97664,0.185,0.185,0.185,0.079,0.154,0.274,0.317,0.21,0.067,0.236,0.229,0.298,0.381,0.287,0.479,0.408,0.458,0.356,0.233,0.409,0.262,0.152,1
PB_12247_PB_39322_PB_48353,0.168,0.168,0.168,0.16,0.265,0.188,0.218,0.279,0.163,0.347,0.206,0.364,0.369,0.298,0.401,0.49,0.484,0.364,0.135,0.443,0.243,0.281,1
PB_12247_PB_42425_PB_48353,0.165,0.165,0.165,0.145,0.218,0.261,0.296,0.31,0.114,0.388,0.115,0.309,0.34,0.298,0.479,0.48,0.473,0.363,0.201,0.409,0.251,0.292,1
PB_13789_PB_42425_PB_48353,0.185,0.185,0.185,0.086,0.28,0.349,0.368,0.485,0.102,0.609,0.283,0.287,0.366,0.272,0.479,0.425,0.398,0.293,0.261,0.408,0.282,0.266,1
PB_15137_PB_48353_PB_74937,0.146,0.146,0.146,0.167,0.486,0.177,0.185,0.415,0.235,0.498,0.126,0.356,0.195,0.316,0.439,0.411,0.333,0.138,0.287,0.43,0.353,0.488,1
PB_15137_PB_69805_PB_97664,0.188,0.188,0.188,0.105,0.255,0.414,0.377,0.178,0.215,0.139,0.249,0.39,0.201,0.228,0.439,0.368,0.173,0.543,0.316,0.405,0.24,0.376,1
PB_24595_PB_59881_PB_74937,0.173,0.173,0.173,0.151,0.103,0.124,0.201,0.168,0.106,0.14,0.177,0.269,0.227,0.203,0.18,0.163,0.134,0.214,0.107,0.271,0.265,0.13,1
PB_24595_PB_74937_PB_97664,0.153,0.153,0.153,0.138,0.103,0.108,0.188,0.177,0.115,0.14,0.19,0.266,0.225,0.216,0.172,0.225,0.132,0.213,0.118,0.269,0.234,0.13,1
PB_276_PB_59881_PB_74937,0.169,0.169,0.169,0.143,0.306,0.429,0.392,0.352,0.184,0.221,0.284,0.361,0.175,0.321,0.224,0.401,0.334,0.316,0.131,0.374,0.236,0.139,1
PB_276_PB_69805_PB_97664,0.189,0.189,0.189,0.112,0.231,0.416,0.379,0.185,0.174,0.147,0.17,0.391,0.225,0.404,0.288,0.368,0.233,0.315,0.139,0.373,0.234,0.189,1
PB_276_PB_74937_PB_97664,0.151,0.151,0.151,0.122,0.235,0.416,0.379,0.361,0.181,0.291,0.324,0.36,0.225,0.339,0.224,0.401,0.353,0.315,0.129,0.373,0.234,0.137,1
PB_322_PB_59881_PB_68376,0.159,0.159,0.159,0.137,0.202,0.434,0.4,0.144,0.173,0.096,0.129,0.363,0.133,0.327,0.23,0.293,0.38,0.14,0.195,0.216,0.231,0.257,1
PB_322_PB_59881_PB_70630,0.176,0.176,0.176,0.119,0.128,0.458,0.424,0.114,0.202,0.106,0.102,0.364,0.173,0.157,0.312,0.293,0.25,0.172,0.132,0.214,0.231,0.201,1
PB_322_PB_68376_PB_97664,0.106,0.106,0.106,0.125,0.134,0.421,0.388,0.153,0.168,0.113,0.123,0.36,0.14,0.341,0.226,0.293,0.4,0.136,0.205,0.214,0.231,0.247,1
PB_322_PB_69805_PB_97664,0.188,0.188,0.188,0.109,0.137,0.399,0.365,0.13,0.191,0.117,0.163,0.364,0.143,0.231,0.288,0.293,0.198,0.211,0.139,0.216,0.231,0.189,1
PB_322_PB_70630_PB_97664,0.158,0.158,0.158,0.105,0.148,0.445,0.413,0.118,0.195,0.085,0.114,0.364,0.183,0.172,0.311,0.292,0.268,0.169,0.14,0.212,0.231,0.19,1
PB_39322_PB_48353_PB_68376,0.12,0.12,0.12,0.124,0.408,0.226,0.254,0.3,0.179,0.38,0.19,0.446,0.336,0.528,0.401,0.523,0.426,0.331,0.069,0.404,0.243,0.281,1
PB_39322_PB_48353_PB_69805,0.144,0.144,0.144,0.124,0.339,0.222,0.267,0.261,0.177,0.342,0.177,0.398,0.379,0.419,0.401,0.467,0.294,0.282,0.136,0.405,0.255,0.271,1
PB_39322_PB_48353_PB_70630,0.125,0.125,0.125,0.131,0.324,0.213,0.241,0.344,0.184,0.446,0.22,0.399,0.358,0.38,0.401,0.514,0.321,0.279,0.134,0.41,0.231,0.292,1
PB_39322_PB_48353_PB_74937,0.125,0.125,0.125,0.176,0.363,0.222,0.262,0.399,0.193,0.456,0.297,0.368,0.379,0.361,0.401,0.467,0.373,0.337,0.136,0.43,0.255,0.271,1
PB_42425_PB_48353_PB_68376,0.115,0.115,0.115,0.11,0.365,0.35,0.365,0.314,0.148,0.415,0.136,0.445,0.323,0.522,0.479,0.514,0.405,0.323,0.167,0.404,0.251,0.292,1
PB_42425_PB_48353_PB_69805,0.17,0.17,0.17,0.11,0.276,0.342,0.366,0.297,0.136,0.372,0.107,0.395,0.351,0.407,0.479,0.457,0.304,0.282,0.24,0.405,0.264,0.281,1
PB_42425_PB_48353_PB_70630,0.167,0.167,0.167,0.116,0.28,0.355,0.364,0.355,0.126,0.451,0.14,0.394,0.328,0.364,0.47,0.504,0.327,0.278,0.231,0.409,0.238,0.303,1
PB_42425_PB_48353_PB_71682,0.186,0.186,0.186,0.111,0.312,0.329,0.346,0.345,0.105,0.484,0.293,0.44,0.328,0.486,0.479,0.504,0.327,0.23,0.249,0.409,0.238,0.303,1
PB_42425_PB_48353_PB_74937,0.167,0.167,0.167,0.158,0.302,0.337,0.355,0.394,0.153,0.484,0.263,0.365,0.351,0.346,0.479,0.457,0.359,0.336,0.223,0.409,0.264,0.281,1
PB_42425_PB_48353_PB_75112,0.169,0.169,0.169,0.121,0.355,0.361,0.37,0.329,0.102,0.418,0.279,0.454,0.334,0.475,0.479,0.492,0.321,0.154,0.251,0.409,0.245,0.298,1
PB_42425_PB_59881_PB_69805,0.179,0.179,0.179,0.062,0.18,0.331,0.355,0.143,0.139,0.125,0.12,0.392,0.353,0.396,0.479,0.368,0.215,0.358,0.192,0.405,0.277,0.191,1
