network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_219820_PB_223658,0.062,0.087,0.089,0.045,NaN,0.13,0.175,0.154,0.148,0.121,0.067,0.185,0.16,0.104,0.1,0.09,0.059,0.172,0.056,0.126,0.084,0.177,1
PB_220176_PB_223658,0.062,0.109,0.094,0.091,NaN,0.078,0.083,0.093,0.114,0.138,0.115,0.136,0.158,0.091,0.085,0.137,0.058,0.105,0.067,0.107,0.119,0.148,1
PB_220176_PB_226527,0.039,0.077,0.077,0.08,0.294,0.203,0.236,0.106,0.079,0.144,0.107,0.14,0.217,0.264,0.127,0.128,0.156,0.178,0.126,0.135,0.062,0.217,1
PB_220198_PB_223658,0.035,0.095,0.092,0.046,NaN,0.116,0.158,0.154,0.15,0.122,0.086,0.177,0.159,0.1,0.095,0.09,0.052,0.161,0.063,0.119,0.097,0.151,1
PB_220643_PB_223658,0.11,0.124,0.073,0.146,NaN,0.12,0.102,0.085,0.113,0.118,0.103,0.134,0.158,0.136,0.057,0.166,0.048,0.094,0.098,0.13,0.188,0.157,1
PB_220643_PB_225279,0.08,0.066,0.078,0.077,0.27,0.212,0.255,0.09,0.069,0.116,0.079,0.212,0.253,0.322,0.15,0.132,0.232,0.249,0.16,0.091,0.13,0.196,1
PB_221694_PB_223658,0.039,0.109,0.06,0.06,NaN,0.077,0.107,0.134,0.133,0.182,0.161,0.155,0.159,0.083,0.089,0.111,0.053,0.097,0.066,0.111,0.129,0.165,1
PB_221694_PB_226527,0.04,0.098,0.041,0.104,0.294,0.208,0.26,0.144,0.09,0.181,0.139,0.146,0.226,0.253,0.117,0.089,0.188,0.177,0.099,0.11,0.065,0.231,1
PB_223658_PB_225475,0.04,0.137,0.034,0.058,NaN,0.062,0.046,0.165,0.074,0.254,0.164,0.119,0.081,0.088,0.121,0.089,0.087,0.093,0.059,0.188,0.072,0.208,1
PB_223658_PB_227333,0.037,0.146,0.065,0.056,NaN,0.082,0.066,0.107,0.065,0.198,0.12,0.132,0.097,0.076,0.096,0.117,0.085,0.102,0.052,0.192,0.077,0.202,1
PB_223658_PB_232383,0.072,0.06,0.115,0.076,NaN,0.062,0.053,0.175,0.187,0.128,0.141,0.16,0.166,0.161,0.129,0.085,0.167,0.211,0.078,0.126,0.068,0.209,1
PB_223658_PB_233183,0.07,0.062,0.115,0.073,NaN,0.066,0.051,0.181,0.193,0.134,0.153,0.165,0.173,0.167,0.134,0.08,0.168,0.214,0.086,0.125,0.076,0.214,1
PB_223658_PB_233887,0.034,0.06,0.117,0.084,NaN,0.105,0.052,0.155,0.173,0.105,0.084,0.1,0.126,0.188,0.15,0.216,0.099,0.122,0.067,0.139,0.101,0.213,1
PB_223658_PB_234530,0.031,0.041,0.107,0.059,NaN,0.088,0.062,0.165,0.26,0.139,0.105,0.131,0.095,0.152,0.185,0.11,0.067,0.116,0.074,0.139,0.114,0.205,1
PB_223658_PB_235067,0.03,0.062,0.118,0.085,NaN,0.104,0.05,0.16,0.177,0.11,0.087,0.105,0.123,0.18,0.15,0.216,0.093,0.117,0.066,0.139,0.095,0.211,1
PB_223688_PB_225279,0.078,0.066,0.107,0.082,0.27,0.22,0.257,0.068,0.07,0.077,0.119,0.177,0.265,0.338,0.151,0.162,0.214,0.241,0.205,0.078,0.167,0.22,1
PB_225077_PB_232821,0.073,0.047,0.019,0.055,0.632,0.138,0.094,0.14,0.15,0.177,0.138,0.194,0.121,0.156,0.104,0.066,0.176,0.253,0.107,0.086,0.189,0.163,1
PB_225475_PB_226683,0.09,0.072,0.076,0.142,0.406,0.087,0.091,0.232,0.095,0.326,0.161,0.122,0.159,0.199,0.078,0.106,0.122,0.171,0.074,0.167,0.078,0.318,1
PB_225475_PB_228492,0.085,0.063,0.106,0.136,0.406,0.091,0.095,0.215,0.095,0.303,0.148,0.113,0.128,0.131,0.065,0.101,0.106,0.175,0.103,0.178,0.104,0.334,1
PB_226547_PB_232614,0.074,0.038,0.019,0.061,NaN,0.146,0.1,0.134,0.15,0.17,0.137,0.192,0.108,0.147,0.096,0.057,0.153,0.232,0.133,0.086,0.182,0.159,1
PB_226683_PB_227333,0.104,0.08,0.051,0.139,0.406,0.087,0.091,0.192,0.078,0.295,0.125,0.099,0.126,0.217,0.079,0.085,0.164,0.154,0.069,0.153,0.072,0.32,1
PB_226683_PB_235067,0.1,0.1,0.053,0.101,0.406,0.092,0.096,0.067,0.164,0.067,0.063,0.118,0.135,0.151,0.115,0.216,0.07,0.148,0.064,0.26,0.218,0.339,1
PB_227333_PB_228492,0.098,0.07,0.077,0.131,0.406,0.098,0.096,0.173,0.086,0.271,0.11,0.1,0.106,0.149,0.073,0.083,0.146,0.157,0.096,0.164,0.097,0.336,1
PB_227574_PB_232614,0.066,0.056,0.025,0.055,NaN,0.138,0.101,0.232,0.268,0.273,0.212,0.15,0.085,0.094,0.155,0.08,0.099,0.095,0.051,0.136,0.167,0.14,1
PB_227574_PB_232821,0.061,0.049,0.032,0.046,0.632,0.132,0.095,0.241,0.279,0.282,0.219,0.16,0.088,0.091,0.161,0.074,0.121,0.103,0.054,0.138,0.165,0.142,1
PB_228460_PB_232614,0.063,0.038,0.045,0.047,NaN,0.091,0.095,0.156,0.179,0.196,0.16,0.151,0.097,0.103,0.099,0.048,0.15,0.17,0.092,0.07,0.14,0.135,1
PB_228460_PB_232821,0.064,0.048,0.051,0.045,0.632,0.088,0.095,0.169,0.191,0.207,0.171,0.156,0.101,0.1,0.105,0.05,0.169,0.176,0.095,0.073,0.139,0.136,1
PB_230879_PB_232312,0.104,0.043,0.081,0.048,0.392,0.237,0.256,0.122,0.138,0.143,0.091,0.361,0.058,0.135,0.106,0.15,0.136,0.142,0.145,0.14,0.153,0.15,1
PB_230879_PB_232646,0.116,0.049,0.079,0.049,0.392,0.184,0.215,0.1,0.117,0.123,0.058,0.352,0.076,0.119,0.104,0.162,0.111,0.188,0.167,0.148,0.146,0.159,1
PB_231571_PB_233564,0.112,0.057,0.029,0.055,NaN,0.143,0.189,0.22,0.281,0.228,0.181,0.147,0.086,0.083,0.158,0.15,0.194,0.093,0.117,0.062,0.117,0.207,1
PB_232053_PB_233564,0.094,0.047,0.031,0.063,NaN,0.109,0.134,0.136,0.203,0.138,0.084,0.174,0.045,0.083,0.144,0.121,0.15,0.145,0.118,0.097,0.117,0.209,1
PB_218494_PB_218878,0.553,0.483,0.392,0.383,NaN,0.218,0.099,0.194,0.299,0.466,0.196,0.175,0.36,0.248,0.16,0.432,0.238,0.356,0.284,0.152,0.554,0.351,0
