network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_11513_PB_226343,0.164,0.087,0.036,0.11,0.086,0.125,0.134,0.082,0.034,0.089,0.125,0.191,0.096,0.175,0.192,0.177,0.122,0.136,0.122,0.196,0.14,0.163,1
PB_11513_PB_230609,0.172,0.088,0.028,0.114,0.09,0.125,0.134,0.078,0.034,0.081,0.135,0.191,0.093,0.175,0.182,0.177,0.121,0.13,0.122,0.195,0.14,0.169,1
PB_11513_PB_262926,0.167,0.087,0.034,0.111,0.086,0.125,0.134,0.081,0.034,0.086,0.128,0.191,0.095,0.175,0.187,0.177,0.123,0.132,0.122,0.202,0.14,0.167,1
PB_11634_PB_14204,0.163,0.054,0.091,0.08,0.094,0.087,0.251,0.121,0.088,0.133,0.115,0.088,0.254,0.095,0.254,0.224,0.238,0.217,0.108,0.158,0.173,0.071,1
PB_11634_PB_233275,0.094,0.088,0.014,0.065,0.089,0.063,0.265,0.142,0.088,0.17,0.142,0.097,0.301,0.074,0.225,0.279,0.279,0.243,0.115,0.199,0.135,0.073,1
PB_11720_PB_14204,0.134,0.026,0.187,0.102,0.115,0.087,0.239,0.082,0.154,0.079,0.167,0.161,0.247,0.164,0.229,0.24,0.24,0.236,0.119,0.147,0.168,0.109,1
PB_11720_PB_226343,0.172,0.06,0.076,0.09,0.069,0.097,0.105,0.038,0.056,0.06,0.075,0.17,0.094,0.18,0.176,0.16,0.133,0.152,0.101,0.196,0.122,0.142,1
PB_11720_PB_233275,0.058,0.034,0.104,0.078,0.104,0.085,0.255,0.1,0.096,0.107,0.093,0.159,0.298,0.163,0.212,0.3,0.295,0.268,0.121,0.196,0.127,0.111,1
PB_11720_PB_262926,0.174,0.059,0.074,0.093,0.069,0.097,0.116,0.038,0.056,0.057,0.078,0.171,0.094,0.18,0.17,0.16,0.134,0.147,0.102,0.202,0.122,0.146,1
PB_11736_PB_14204,0.17,0.059,0.081,0.074,0.085,0.087,0.251,0.127,0.082,0.145,0.121,0.085,0.254,0.097,0.254,0.224,0.238,0.214,0.102,0.158,0.171,0.077,1
PB_11818_PB_14204,0.134,0.025,0.187,0.102,0.116,0.087,0.24,0.082,0.155,0.079,0.168,0.161,0.247,0.163,0.229,0.24,0.24,0.236,0.119,0.147,0.168,0.109,1
