network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_102927_PB_114998,0.18,0.18,0.18,0.094,NaN,0.253,0.214,0.211,0.203,0.335,0.178,0.106,0.223,0.212,0.131,0.307,0.299,0.414,0.226,0.204,0.245,0.268,1
PB_103596_PB_110375,0.196,0.196,0.196,0.134,NaN,0.327,0.352,0.238,0.26,0.3,0.345,0.113,0.181,0.279,0.196,0.164,0.287,0.448,0.281,0.333,0.302,0.575,1
PB_103596_PB_138970,0.192,0.192,0.192,0.199,NaN,0.297,0.307,0.219,0.256,0.3,0.316,0.336,0.391,0.342,0.342,0.262,0.318,0.271,0.341,0.264,0.27,0.154,1
PB_103596_PB_188668,0.197,0.197,0.197,0.161,NaN,0.323,0.33,0.243,0.255,0.397,0.341,0.183,0.121,0.368,0.247,0.304,0.282,0.241,0.282,0.191,0.337,0.179,1
PB_104575_PB_159441,0.165,0.165,0.165,0.103,NaN,0.263,0.257,0.366,0.316,0.25,0.276,0.431,0.189,0.407,0.447,0.468,0.469,0.622,0.297,0.241,0.285,0.564,1
PB_104575_PB_159863,0.16,0.16,0.16,0.1,NaN,0.254,0.25,0.341,0.296,0.25,0.272,0.445,0.213,0.407,0.45,0.468,0.461,0.623,0.35,0.252,0.3,0.565,1
PB_104696_PB_114998,0.185,0.185,0.185,0.088,NaN,0.262,0.264,0.222,0.218,0.352,0.168,0.11,0.202,0.187,0.143,0.299,0.262,0.465,0.196,0.233,0.232,0.288,1
PB_105805_PB_121978,0.156,0.156,0.156,0.136,NaN,0.249,0.244,0.204,0.186,0.24,0.243,0.292,0.147,0.388,0.367,0.117,0.336,0.465,0.215,0.122,0.248,0.461,1
PB_105805_PB_125430,0.182,0.182,0.182,0.183,NaN,0.245,0.24,0.103,0.232,0.384,0.449,0.476,0.24,0.409,0.448,0.422,0.441,0.316,0.29,0.221,0.243,0.513,1
PB_105805_PB_148514,0.156,0.156,0.156,0.1,NaN,0.245,0.332,0.509,0.191,0.269,0.219,0.472,0.414,0.413,0.476,0.37,0.524,0.587,0.215,0.3,0.243,0.565,1
PB_105805_PB_151472,0.151,0.151,0.151,0.096,NaN,0.253,0.364,0.507,0.184,0.269,0.228,0.486,0.424,0.408,0.473,0.389,0.511,0.585,0.215,0.31,0.252,0.564,1
PB_105805_PB_154612,0.164,0.164,0.164,0.106,NaN,0.258,0.252,0.506,0.269,0.25,0.232,0.481,0.324,0.408,0.462,0.431,0.527,0.584,0.28,0.342,0.257,0.564,1
PB_108075_PB_114998,0.18,0.18,0.18,0.12,NaN,0.185,0.162,0.286,0.193,0.482,0.267,0.217,0.219,0.253,0.259,0.281,0.142,0.457,0.177,0.147,0.241,0.268,1
PB_108575_PB_146600,0.161,0.161,0.161,0.111,NaN,0.277,0.272,0.517,0.18,0.273,0.252,0.471,0.37,0.409,0.457,0.379,0.52,0.586,0.224,0.257,0.276,0.574,1
PB_108575_PB_151472,0.157,0.157,0.157,0.104,NaN,0.273,0.356,0.518,0.184,0.26,0.247,0.488,0.415,0.409,0.457,0.39,0.511,0.587,0.225,0.301,0.271,0.574,1
PB_108575_PB_154612,0.17,0.17,0.17,0.114,NaN,0.277,0.272,0.517,0.272,0.26,0.252,0.484,0.317,0.409,0.447,0.431,0.527,0.586,0.28,0.332,0.276,0.574,1
PB_108575_PB_157965,0.167,0.167,0.167,0.113,NaN,0.262,0.257,0.4,0.32,0.26,0.257,0.424,0.143,0.41,0.422,0.469,0.482,0.591,0.288,0.267,0.276,0.574,1
PB_108575_PB_159863,0.165,0.165,0.165,0.11,NaN,0.273,0.268,0.359,0.296,0.26,0.279,0.445,0.213,0.409,0.419,0.477,0.461,0.587,0.35,0.252,0.3,0.574,1
PB_108834_PB_154612,0.168,0.168,0.168,0.101,NaN,0.299,0.295,0.545,0.271,0.261,0.281,0.472,0.321,0.404,0.406,0.431,0.527,0.528,0.28,0.337,0.28,0.589,1
PB_108834_PB_157965,0.165,0.165,0.165,0.104,NaN,0.282,0.279,0.426,0.319,0.263,0.265,0.402,0.141,0.404,0.366,0.473,0.482,0.534,0.288,0.271,0.275,0.59,1
PB_108834_PB_159863,0.163,0.163,0.163,0.098,NaN,0.294,0.291,0.386,0.296,0.262,0.277,0.425,0.211,0.404,0.361,0.482,0.46,0.53,0.35,0.256,0.3,0.589,1
PB_109511_PB_125430,0.183,0.183,0.183,0.191,NaN,0.26,0.255,0.104,0.235,0.384,0.46,0.477,0.243,0.409,0.431,0.426,0.441,0.308,0.29,0.221,0.257,0.523,1
PB_109946_PB_125430,0.182,0.182,0.182,0.175,NaN,0.3,0.297,0.105,0.249,0.366,0.461,0.441,0.246,0.395,0.332,0.484,0.442,0.199,0.29,0.222,0.28,0.523,1
PB_109946_PB_146600,0.161,0.161,0.161,0.094,NaN,0.313,0.31,0.555,0.189,0.273,0.301,0.453,0.37,0.395,0.342,0.379,0.52,0.472,0.253,0.257,0.294,0.589,1
PB_109946_PB_151472,0.157,0.157,0.157,0.088,NaN,0.309,0.356,0.556,0.194,0.269,0.297,0.457,0.415,0.395,0.354,0.39,0.511,0.483,0.253,0.301,0.289,0.589,1
PB_110272_PB_114998,0.181,0.181,0.181,0.098,NaN,0.233,0.137,0.225,0.237,0.433,0.147,0.23,0.195,0.217,0.294,0.292,0.142,0.442,0.203,0.161,0.215,0.26,1
PB_110840_PB_114998,0.181,0.181,0.181,0.074,NaN,0.192,0.166,0.222,0.291,0.336,0.16,0.105,0.202,0.355,0.35,0.273,0.145,0.494,0.207,0.153,0.232,0.376,1
