Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
RUBL,55,"166 (21,145)",0.486 (7.44),0.843 (6.52),-0.386 (-2.84),-0.277 (-1.57),0.494,0.114
RUBL,59,"652 (500,152)",0.773 (20.97),0.363 (6.76),0.096 (2.13),0.076 (1.26),0.798,0.066
RUBL,60,"563 (470,93)",-0.315 (-4.05),1.16 (25.73),-0.137 (-2.09),-0.085 (-1.38),0.629,0.067
RUBL,62,"121 (41,80)",0.844 (5.99),-1.138 (-6.76),0.194 (0.56),0.083 (0.36),0.512,0.09
RUBL,68,"441 (233,208)",-0.06 (-1.04),0.095 (0.84),0.101 (1.8),0.013 (0.12),0.011,0.117
RUBL,69,"1000 (500,500)",-0.122 (-5.51),0.786 (19.58),-0.037 (-0.65),0.094 (1.26),0.782,0.071
RUBL,70,"629 (500,129)",0.353 (8.46),-0.32 (-3.96),-0.087 (-1.13),0.696 (10.69),0.497,0.082
RUBL,71,"667 (500,167)",0.755 (28.64),0.418 (10.4),0.041 (0.84),-0.219 (-3.62),0.849,0.057
RUBL,72,"710 (500,210)",0.277 (6.64),0.08 (1.02),-0.313 (-4.21),0.2 (1.65),0.169,0.072
RUBL,74,"673 (500,173)",0.573 (14.64),0.284 (4.36),-0.1 (-2.03),-0.332 (-4.42),0.502,0.078
RUBL,77,"898 (500,398)",0.738 (34.48),0.333 (7.29),-0.206 (-4.86),0.006 (0.14),0.839,0.064
RUBL,78,"865 (500,365)",0.419 (10.61),0.69 (11),-0.032 (-0.51),-0.431 (-9.46),0.414,0.101
RUBL,80,"488 (69,419)",0.08 (1.55),0.374 (5.03),-0.148 (-2.15),-0.24 (-2.4),0.088,0.117
RUBL,87,"157 (121,36)",0.109 (1.49),-0.026 (-0.26),-0.226 (-1.5),1.156 (6.73),0.591,0.052
RUBL,88,"529 (500,29)",0.527 (9.11),0.159 (2.42),0.291 (3.74),-0.288 (-3.01),0.414,0.07
RUBL,89,"528 (500,28)",0.27 (4.76),1.037 (18.15),0.176 (2.41),0.191 (2.03),0.702,0.068
RUBL,90,"601 (500,101)",0.112 (3.59),1.27 (18.45),-0.003 (-0.06),-0.678 (-7.67),0.489,0.056
RUBL,94,"751 (251,500)",0.403 (8.66),1.504 (22.46),-0.664 (-16.86),-0.617 (-5.37),0.84,0.081
RUBL,95,"609 (500,109)",0.179 (3.89),0.708 (11.9),-0.098 (-1.56),0.478 (5.25),0.75,0.067
RUBL,100,"1000 (500,500)",0.032 (1.44),1.319 (35.91),0.061 (2.8),-0.022 (-0.38),0.89,0.048
RUBL,103,"578 (500,78)",0.047 (1.13),-0.009 (-0.13),0.176 (2.24),-0.053 (-0.56),0.019,0.082
RUBL,104,"39 (26,13)",-0.341 (-3.46),0.589 (4.58),0.773 (4.25),0.971 (2.84),0.954,0.031
RUBL,105,"805 (500,305)",0.015 (0.28),0.119 (2.14),0.295 (3.51),-0.086 (-1),0.085,0.11
RUBL,108,"526 (26,500)",0.083 (1.92),0.579 (6.76),-0.089 (-1.08),0.232 (1.62),0.141,0.138
RUBL,136,"80 (31,49)",-0.393 (-1.54),0.437 (1.5),-0.435 (-1.54),1.509 (2.2),0.361,0.125
RUBL,165,"374 (151,223)",0.397 (8.85),0.253 (3.67),0.271 (4.51),-0.238 (-4.54),0.824,0.037
RUBL,166,"181 (21,160)",0.962 (36.25),-0.356 (-5.27),-0.242 (-3.83),0.347 (3.8),0.924,0.034
RUBL,168,"518 (500,18)",0.702 (7.17),-0.998 (-7.17),-0.321 (-2.89),0.626 (5.24),0.145,0.086
