Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
CARIBOU,95,"609 (500,109)",-0.09 (-2.21),-0.077 (-1.42),0.032 (0.57),1.057 (13),0.523,0.061
CARIBOU,100,"1000 (500,500)",0.344 (11.55),1.437 (29.6),-0.439 (-15.48),-0.284 (-3.64),0.813,0.063
CARIBOU,103,"578 (500,78)",-0.031 (-0.91),0.237 (4.05),0.093 (1.48),-0.079 (-1.04),0.057,0.066
CARIBOU,104,"39 (26,13)",-0.432 (-2.41),1.605 (6.86),0.891 (2.68),0.523 (0.84),0.925,0.056
CARIBOU,105,"805 (500,305)",0.343 (7.5),0.32 (6.73),-0.016 (-0.23),-0.036 (-0.49),0.451,0.093
CARIBOU,136,"80 (31,49)",0.723 (6.47),-0.029 (-0.23),-0.026 (-0.21),-0.17 (-0.57),0.788,0.055
CARIBOU,215,"765 (265,500)",0.188 (5.86),0.02 (0.35),-0.102 (-2.36),-0.045 (-0.61),0.047,0.117
CARIBOU,216,"1000 (500,500)",-0.152 (-5.11),0.514 (11.39),0.115 (2.05),0.367 (4.58),0.423,0.103
CARIBOU,217,"734 (500,234)",0.052 (2),0.264 (6.14),0.047 (1.1),-0.112 (-1.88),0.154,0.067
ALLBIRDS,51,"241 (49,192)",0.714 (3.87),-0.148 (-0.45),-2.581 (-8.25),1.757 (6.36),0.783,0.066
ALLBIRDS,52,"498 (357,141)",0.006 (0.11),0.175 (2.19),0.077 (0.91),0.972 (9.86),0.468,0.088
ALLBIRDS,53,"576 (76,500)",1.091 (24.75),0.133 (1.63),0.01 (0.14),-1.455 (-15.14),0.79,0.053
ALLBIRDS,55,"166 (21,145)",0.076 (1.51),-0.055 (-0.55),0.049 (0.47),0.389 (2.86),0.108,0.088
ALLBIRDS,59,"652 (500,152)",0.659 (21.22),0.35 (7.44),-0.01 (-0.25),-0.1 (-1.91),0.74,0.057
ALLBIRDS,60,"563 (470,93)",0.157 (2.11),0.752 (17.46),0.394 (6.28),-0.373 (-6.37),0.637,0.064
ALLBIRDS,62,"121 (41,80)",0.19 (1.59),0.275 (1.93),0.293 (1),-0.697 (-3.62),0.392,0.076
ALLBIRDS,68,"441 (233,208)",0.743 (22.82),-0.069 (-1.09),-0.18 (-5.72),0.398 (6.23),0.889,0.066
ALLBIRDS,69,"1000 (500,500)",-0.045 (-2.15),0.519 (13.26),0.437 (8.09),0.991 (14.03),0.89,0.069
ALLBIRDS,70,"629 (500,129)",0.11 (2.49),-0.532 (-6.51),0.041 (0.5),1.138 (16.5),0.484,0.087
ALLBIRDS,71,"667 (500,167)",0.204 (5.82),0.95 (17.66),0.073 (1.12),0.252 (3.05),0.781,0.077
ALLBIRDS,72,"710 (500,210)",0.098 (3.09),-0.053 (-0.88),-0.093 (-1.66),0.469 (4.92),0.245,0.055
ALLBIRDS,74,"673 (500,173)",0.023 (0.53),0.276 (3.7),0.047 (0.86),0.207 (2.45),0.195,0.088
ALLBIRDS,77,"898 (500,398)",-0.163 (-6.23),0.138 (2.48),0.101 (1.94),0.624 (12.23),0.455,0.079
ALLBIRDS,78,"865 (500,365)",0.058 (1.33),0.483 (7.04),0.178 (2.49),0.287 (5.69),0.471,0.11
ALLBIRDS,80,"488 (69,419)",-0.28 (-4.45),0.86 (9.46),-0.035 (-0.41),-0.159 (-1.3),0.23,0.143
ALLBIRDS,87,"157 (121,36)",0.206 (2.5),0.636 (5.53),-0.137 (-0.81),-0.635 (-3.29),0.378,0.058
ALLBIRDS,88,"529 (500,29)",0.335 (4.75),0.279 (3.61),0.255 (2.67),-0.266 (-2.3),0.263,0.084
ALLBIRDS,89,"528 (500,28)",-0.118 (-2.14),0.619 (11.88),-0.263 (-3.67),0.22 (2.55),0.295,0.063
ALLBIRDS,90,"601 (500,101)",0.218 (7.14),0.33 (4.85),0.466 (9.45),-0.316 (-3.62),0.554,0.054
ALLBIRDS,94,"751 (251,500)",0.446 (7.77),-1 (-11.49),0.885 (17.64),1.038 (7.18),0.63,0.104
ALLBIRDS,95,"609 (500,109)",-0.224 (-3.67),0.056 (0.73),0.216 (2.62),0.551 (4.51),0.153,0.089
ALLBIRDS,100,"1000 (500,500)",0.315 (10.97),0.999 (21.47),0.023 (0.9),-0.331 (-4.58),0.779,0.06
ALLBIRDS,103,"578 (500,78)",0.259 (5.83),0.126 (1.65),0.003 (0.03),-0.173 (-1.78),0.132,0.087
ALLBIRDS,104,"39 (26,13)",-0.789 (-2.84),1.515 (4.18),2.438 (4.74),-0.445 (-0.46),0.857,0.086
ALLBIRDS,105,"805 (500,305)",-0.052 (-0.93),0.62 (10.64),0.074 (0.85),0.292 (3.21),0.52,0.114
ALLBIRDS,108,"526 (26,500)",0.359 (10.39),0.143 (2.16),-0.068 (-1.03),-0.005 (-0.05),0.237,0.111
ALLBIRDS,136,"80 (31,49)",-0.63 (-2.72),0.527 (2),-0.122 (-0.48),1.686 (2.72),0.535,0.113
ALLBIRDS,165,"374 (151,223)",0.277 (4.76),0.059 (0.66),-0.189 (-2.43),0.575 (8.45),0.693,0.048
ALLBIRDS,166,"181 (21,160)",0.157 (2.33),-1.262 (-7.35),0.07 (0.43),1.227 (5.3),0.259,0.087
ALLBIRDS,168,"518 (500,18)",-0.077 (-1.14),-0.195 (-2.19),0.194 (2.7),0.056 (0.73),0.022,0.06
ALLBIRDS,170,"933 (500,433)",0.089 (1.63),0.192 (2.12),-0.253 (-3.79),0.198 (2.96),0.171,0.11
ALLBIRDS,171,"450 (130,320)",-0.258 (-3.81),0.407 (5.07),0.189 (3.12),0.004 (0.04),0.317,0.058
ALLBIRDS,172,"526 (500,26)",-0.164 (-2.33),0.156 (2.25),-0.188 (-2.67),0.705 (6.77),0.152,0.072
ALLBIRDS,175,"581 (500,81)",-0.244 (-5),0.717 (13.83),0.075 (1.32),-0.298 (-3.85),0.393,0.06
ALLBIRDS,176,"253 (100,153)",0.318 (4.77),-0.6 (-3.88),-0.012 (-0.13),0.221 (0.99),0.078,0.093
ALLBIRDS,177,"98 (37,61)",0.498 (3.69),0.021 (0.06),-0.566 (-3.62),0.744 (2.21),0.524,0.113
ALLBIRDS,178,"518 (166,352)",-0.099 (-1.48),0.088 (0.83),0.217 (3.43),0.126 (1.17),0.077,0.109
ALLBIRDS,179,"627 (500,127)",0.268 (3.99),-0.002 (-0.03),-0.052 (-0.67),0.166 (2.03),0.184,0.076
ALLBIRDS,180,"920 (500,420)",0.336 (8.64),-0.154 (-2.67),0.196 (3.51),-0.105 (-1.11),0.18,0.112
ALLBIRDS,181,"567 (67,500)",-0.362 (-6.32),0.552 (11.88),0.043 (0.89),0.106 (0.9),0.428,0.067
ALLBIRDS,183,"54 (31,23)",0.415 (3.9),-0.101 (-1.04),0.071 (0.5),-0.285 (-1.38),0.37,0.04
ALLBIRDS,199,"512 (12,500)",-0.151 (-4.54),1.099 (12.55),0.261 (2.82),-0.282 (-2.78),0.411,0.099
ALLBIRDS,200,"363 (330,33)",0.041 (0.52),0.199 (1.67),0.182 (1.2),-0.075 (-0.48),0.054,0.073
ALLBIRDS,207,"414 (309,105)",0.368 (4.85),-0.195 (-2.05),0.025 (0.33),0.586 (5.69),0.441,0.073
ALLBIRDS,215,"765 (265,500)",-0.011 (-0.27),0.033 (0.46),0.183 (3.74),0.508 (5.84),0.247,0.145
ALLBIRDS,216,"1000 (500,500)",0.353 (9.73),0.468 (9.65),-0.266 (-4.14),-0.072 (-0.76),0.345,0.119
ALLBIRDS,217,"734 (500,234)",0.102 (2.76),0.792 (12.99),-0.061 (-1.02),-0.147 (-1.77),0.398,0.095
FORESTBIRDS,51,"241 (49,192)",0.385 (1.98),0.891 (2.58),-1.717 (-5.21),0.844 (2.9),0.824,0.07
FORESTBIRDS,52,"498 (357,141)",-0.053 (-0.91),0.139 (1.74),-0.087 (-1.04),1.333 (13.59),0.523,0.087
FORESTBIRDS,53,"576 (76,500)",0.134 (2.03),2.042 (16.38),-0.561 (-5.13),-0.895 (-6.08),0.496,0.08
FORESTBIRDS,55,"166 (21,145)",-0.131 (-2.11),-0.307 (-2.49),0.354 (2.73),0.338 (2.01),0.073,0.109
FORESTBIRDS,59,"652 (500,152)",0.513 (12.24),0.227 (3.63),0.182 (3.5),-0.035 (-0.5),0.584,0.076
FORESTBIRDS,60,"563 (470,93)",0.628 (7.21),1.156 (22.88),0.059 (0.8),-0.593 (-8.63),0.714,0.075
FORESTBIRDS,62,"121 (41,80)",0.337 (2.53),0.773 (4.87),0.086 (0.26),-1.133 (-5.28),0.655,0.085
FORESTBIRDS,68,"441 (233,208)",0.65 (14.96),-0.148 (-1.74),-0.108 (-2.56),0.45 (5.27),0.794,0.088
FORESTBIRDS,69,"1000 (500,500)",-0.045 (-2.11),0.624 (16.32),0.435 (8.25),0.747 (10.56),0.897,0.067
FORESTBIRDS,70,"629 (500,129)",0.279 (5.33),-0.586 (-6.08),0.18 (1.84),0.844 (10.32),0.393,0.102
FORESTBIRDS,71,"667 (500,167)",0.205 (5.66),0.905 (16.46),0.006 (0.09),0.402 (4.67),0.767,0.079
FORESTBIRDS,72,"710 (500,210)",0.295 (8.7),-0.522 (-8.07),-0.111 (-1.8),0.903 (8.95),0.371,0.059
FORESTBIRDS,74,"673 (500,173)",-0.098 (-2.28),0.883 (11.73),-0.255 (-4.72),0.192 (2.32),0.268,0.087
FORESTBIRDS,77,"898 (500,398)",-0.078 (-3.16),0.357 (6.85),-0.004 (-0.09),0.569 (12.03),0.603,0.074
FORESTBIRDS,78,"865 (500,365)",0.043 (1.03),0.571 (8.7),0.21 (3.14),0.209 (4.31),0.491,0.106
FORESTBIRDS,80,"488 (69,419)",-0.256 (-4.05),0.953 (10.44),-0.037 (-0.44),-0.301 (-2.46),0.254,0.144
FORESTBIRDS,87,"157 (121,36)",0.314 (3.39),0.878 (6.78),-0.083 (-0.44),-1.026 (-4.73),0.533,0.065
FORESTBIRDS,88,"529 (500,29)",0.28 (4.28),0.351 (4.68),0.268 (3),-0.315 (-2.82),0.294,0.079
FORESTBIRDS,89,"528 (500,28)",-0.229 (-4.32),0.678 (12.97),-0.23 (-3.4),0.336 (3.91),0.35,0.062
FORESTBIRDS,90,"601 (500,101)",0.372 (11.22),0.269 (3.93),0.459 (9.04),-0.257 (-2.76),0.677,0.056
FORESTBIRDS,94,"751 (251,500)",0.494 (8.8),-0.891 (-10.79),0.884 (18.65),0.754 (5.37),0.632,0.102
FORESTBIRDS,95,"609 (500,109)",-0.166 (-2.72),0.084 (1.06),0.142 (1.67),0.625 (5.14),0.204,0.091
FORESTBIRDS,100,"1000 (500,500)",0.27 (8.54),0.935 (17.94),0.391 (13.12),-0.654 (-7.91),0.754,0.067
FORESTBIRDS,103,"578 (500,78)",0.296 (6.44),0.132 (1.69),0.021 (0.24),-0.198 (-1.96),0.16,0.09
FORESTBIRDS,104,"39 (26,13)",-0.56 (-2.39),1.224 (4),2.67 (6.15),-1.26 (-1.55),0.858,0.073
FORESTBIRDS,105,"805 (500,305)",-0.131 (-2.21),0.6 (9.8),0.185 (1.99),0.345 (3.7),0.491,0.12
FORESTBIRDS,108,"526 (26,500)",0.348 (10.3),0.099 (1.52),-0.144 (-2.22),0.17 (1.51),0.231,0.111
FORESTBIRDS,136,"80 (31,49)",-0.572 (-2.33),0.374 (1.34),0.127 (0.47),1.365 (2.08),0.439,0.12
FORESTBIRDS,165,"374 (151,223)",0.136 (2.95),0.052 (0.73),-0.238 (-3.85),0.571 (10.58),0.649,0.038
FORESTBIRDS,166,"181 (21,160)",0.633 (18.33),-0.364 (-4.13),-0.636 (-7.73),0.355 (3),0.705,0.045
FORESTBIRDS,168,"518 (500,18)",-0.105 (-1.32),-0.38 (-3.54),0.304 (3.36),0.293 (3.15),0.055,0.071
FORESTBIRDS,170,"933 (500,433)",-0.112 (-2.11),0.459 (5.27),-0.223 (-3.47),0.526 (8.18),0.494,0.105
FORESTBIRDS,171,"450 (130,320)",-0.053 (-0.57),0.584 (5.29),0.147 (1.76),0.189 (1.58),0.632,0.08
FORESTBIRDS,172,"526 (500,26)",-0.218 (-3.61),0.108 (1.66),-0.138 (-2.24),0.646 (7.07),0.154,0.062
FORESTBIRDS,175,"581 (500,81)",0.068 (1.27),0.154 (2.78),-0.228 (-3.54),0.439 (5.28),0.264,0.066
FORESTBIRDS,176,"253 (100,153)",-0.227 (-3.46),0.344 (2.26),-0.063 (-0.68),0.091 (0.42),0.036,0.091
FORESTBIRDS,177,"98 (37,61)",0.488 (4.01),0.088 (0.31),-0.53 (-3.77),0.503 (1.66),0.521,0.101
FORESTBIRDS,178,"518 (166,352)",0.073 (1.06),-0.426 (-3.9),0.158 (2.44),0.378 (3.42),0.057,0.112
FORESTBIRDS,179,"627 (500,127)",0.329 (5.05),-0.27 (-3.83),-0.179 (-2.27),0.248 (3.11),0.145,0.076
FORESTBIRDS,180,"920 (500,420)",0.424 (11.28),-0.222 (-3.96),0.194 (3.61),-0.088 (-0.96),0.25,0.108
FORESTBIRDS,181,"567 (67,500)",-1.024 (-14.1),1.007 (16.09),0.484 (7.99),0.738 (4.94),0.703,0.086
FORESTBIRDS,183,"54 (31,23)",0.271 (1.77),-0.098 (-0.7),0.169 (0.84),-0.416 (-1.4),-0.003,0.057
FORESTBIRDS,199,"512 (12,500)",-0.249 (-8.61),0.518 (6.86),0.179 (2.36),-0.295 (-3.22),0.142,0.091
FORESTBIRDS,200,"363 (330,33)",0.599 (8.4),0.319 (2.93),-0.114 (-0.89),-0.381 (-2.62),0.288,0.065
FORESTBIRDS,207,"414 (309,105)",0.148 (1.93),-0.187 (-1.95),0.036 (0.47),0.76 (7.29),0.384,0.074
FORESTBIRDS,215,"765 (265,500)",-0.072 (-1.86),0.105 (1.44),0.034 (0.68),0.683 (8.09),0.236,0.143
FORESTBIRDS,216,"1000 (500,500)",0.194 (5.61),0.503 (10.52),-0.324 (-5.19),0.175 (1.89),0.352,0.116
FORESTBIRDS,217,"734 (500,234)",0.202 (6.04),0.811 (14.48),-0.165 (-3.06),0.02 (0.26),0.555,0.086
ALLWATERFOWL,51,"241 (49,192)",0.078 (0.42),-0.949 (-2.85),-0.431 (-1.36),1.282 (4.57),0.306,0.067
ALLWATERFOWL,52,"498 (357,141)",0.092 (1.49),-0.132 (-1.57),0.374 (4.22),-0.048 (-0.46),0.066,0.093
ALLWATERFOWL,53,"576 (76,500)",-0.205 (-9.75),0.077 (1.98),1.638 (46.71),-0.384 (-8.3),0.964,0.025
ALLWATERFOWL,55,"166 (21,145)",0.119 (2.04),0.956 (8.23),0.208 (1.71),-0.827 (-5.22),0.4,0.103
ALLWATERFOWL,59,"652 (500,152)",0.002 (0.03),-0.115 (-1.59),0.141 (2.39),0.119 (1.49),0.03,0.088
ALLWATERFOWL,60,"563 (470,93)",0.063 (0.92),0.654 (16.61),0.236 (4.12),-0.034 (-0.64),0.619,0.058
ALLWATERFOWL,62,"121 (41,80)",-0.072 (-1.85),0.336 (7.19),0.025 (0.26),-0.029 (-0.46),0.629,0.025
ALLWATERFOWL,68,"441 (233,208)",-0.155 (-2.69),-0.184 (-1.64),0.213 (3.83),0.256 (2.26),0.05,0.116
ALLWATERFOWL,69,"1000 (500,500)",0.773 (44.82),0.108 (3.31),-0.46 (-10.32),-0.037 (-0.6),0.73,0.058
ALLWATERFOWL,70,"629 (500,129)",0.057 (1.34),-0.255 (-3.12),0.149 (1.89),0.561 (8.56),0.256,0.082
ALLWATERFOWL,71,"667 (500,167)",0.004 (0.11),0.26 (4.68),0.128 (1.9),-0.156 (-1.83),0.11,0.08
ALLWATERFOWL,72,"710 (500,210)",-0.124 (-4.84),0.268 (5.44),0.521 (11.12),0.161 (2.13),0.782,0.044
ALLWATERFOWL,74,"673 (500,173)",0.169 (3.4),0.086 (0.98),0.088 (1.41),-0.078 (-0.82),0.101,0.098
ALLWATERFOWL,77,"898 (500,398)",0.278 (9.15),0.468 (7.29),0.466 (7.83),-0.328 (-5.65),0.61,0.09
ALLWATERFOWL,78,"865 (500,365)",0.629 (17.12),-0.485 (-8.49),0.262 (4.59),0.176 (4.22),0.445,0.093
ALLWATERFOWL,80,"488 (69,419)",-0.04 (-0.83),0.801 (11.37),0.086 (1.31),-0.785 (-8.31),0.289,0.111
ALLWATERFOWL,87,"157 (121,36)",0.174 (2.8),0.106 (1.22),0.058 (0.45),0.036 (0.25),0.508,0.044
ALLWATERFOWL,88,"529 (500,29)",-0.113 (-2.05),0.015 (0.25),0.222 (3.08),0.373 (4.18),0.088,0.064
ALLWATERFOWL,89,"528 (500,28)",-0.02 (-0.41),0.021 (0.43),0.602 (9.91),-0.15 (-1.92),0.217,0.058
ALLWATERFOWL,90,"601 (500,101)",-0.039 (-2.02),-0.016 (-0.37),0.829 (26.55),0.092 (1.65),0.782,0.034
ALLWATERFOWL,94,"751 (251,500)",-0.09 (-2.98),-0.387 (-8.57),0.012 (0.46),0.776 (10.09),0.179,0.054
ALLWATERFOWL,95,"609 (500,109)",-0.027 (-0.65),0.552 (10.36),0.714 (12.87),-0.537 (-6.58),0.587,0.061
ALLWATERFOWL,100,"1000 (500,500)",0.328 (8.63),-0.416 (-6.74),0.741 (20.79),-0.088 (-0.88),0.535,0.08
ALLWATERFOWL,103,"578 (500,78)",-0.247 (-5.44),0.32 (4.11),0.546 (6.29),0.308 (3.06),0.258,0.09
ALLWATERFOWL,104,"39 (26,13)",-0.513 (-2.05),1.562 (4.78),0.955 (2.06),1.298 (1.49),0.904,0.078
ALLWATERFOWL,105,"805 (500,305)",-0.006 (-0.12),0.406 (7.86),0.528 (6.82),-0.332 (-4.17),0.346,0.1
ALLWATERFOWL,108,"526 (26,500)",0.022 (0.45),0.491 (5),-0.085 (-0.89),0.527 (3.09),0.097,0.163
ALLWATERFOWL,136,"80 (31,49)",-0.175 (-1.64),0.75 (6.16),0.128 (1.08),-0.161 (-0.56),0.681,0.052
ALLWATERFOWL,165,"374 (151,223)",-0.295 (-4.4),-0.257 (-2.5),1.144 (12.77),-0.32 (-4.08),0.765,0.055
ALLWATERFOWL,166,"181 (21,160)",-0.112 (-2.96),-0.004 (-0.04),1.326 (14.71),-0.144 (-1.11),0.628,0.049
ALLWATERFOWL,168,"518 (500,18)",0.221 (3.26),-0.352 (-3.89),-0.198 (-2.63),0.241 (3.18),0.033,0.058
ALLWATERFOWL,170,"933 (500,433)",0.257 (4.09),0.057 (0.55),-0.278 (-3.63),0.331 (4.3),0.271,0.125
ALLWATERFOWL,171,"450 (130,320)",0.048 (0.47),-0.221 (-1.86),0.285 (3.18),0.519 (4.03),0.419,0.086
ALLWATERFOWL,172,"526 (500,26)",0.174 (2.48),0.171 (2.32),0.094 (1.43),0.368 (3.57),0.236,0.072
ALLWATERFOWL,175,"581 (500,81)",0.084 (1.81),0.125 (2.5),0.682 (11.7),-0.256 (-3.4),0.391,0.058
ALLWATERFOWL,176,"253 (100,153)",0.35 (8.23),0.634 (6.42),-0.258 (-4.34),0.267 (1.89),0.826,0.059
ALLWATERFOWL,177,"98 (37,61)",0.548 (5.05),-0.787 (-3.06),-0.059 (-0.47),1.016 (3.75),0.442,0.091
ALLWATERFOWL,178,"518 (166,352)",0.708 (9.06),0.154 (1.24),0.283 (3.84),-0.936 (-7.46),0.341,0.127
ALLWATERFOWL,179,"627 (500,127)",0.122 (1.91),0.139 (2.03),0.273 (3.53),0.632 (7.89),0.569,0.078
ALLWATERFOWL,180,"920 (500,420)",0.12 (2.64),-0.18 (-2.66),0.251 (3.85),0.43 (3.94),0.16,0.13
ALLWATERFOWL,181,"567 (67,500)",0.111 (2.42),0.007 (0.17),0.744 (20.48),0.06 (0.61),0.663,0.053
ALLWATERFOWL,183,"54 (31,23)",-0.104 (-0.86),-0.232 (-2.1),-0.179 (-1.13),0.542 (2.32),0.077,0.045
ALLWATERFOWL,199,"512 (12,500)",0.44 (10.82),-0.344 (-3.24),0.322 (3.21),-0.154 (-1.19),0.221,0.125
ALLWATERFOWL,200,"363 (330,33)",0.24 (6.68),-0.193 (-3.48),0.066 (0.99),0.318 (4.48),0.368,0.033
ALLWATERFOWL,207,"414 (309,105)",0.224 (2.22),-0.341 (-2.7),0.313 (3.06),0.352 (2.57),0.129,0.097
ALLWATERFOWL,215,"765 (265,500)",-0.035 (-0.81),0.227 (2.96),0.066 (1.24),-0.231 (-2.54),0.014,0.156
ALLWATERFOWL,216,"1000 (500,500)",0.148 (4.77),0.083 (1.93),-0.029 (-0.48),0.34 (4.01),0.207,0.107
ALLWATERFOWL,217,"734 (500,234)",-0.022 (-0.74),0.596 (12.16),0.238 (4.99),-0.295 (-4.44),0.356,0.076
CAVITYNESTERS,51,"241 (49,192)",0.607 (7.43),-1.097 (-7.56),-0.319 (-2.3),0.843 (6.89),0.649,0.029
CAVITYNESTERS,52,"498 (357,141)",0.043 (1.09),-0.227 (-4.15),0.346 (6.03),1.031 (15.3),0.637,0.06
CAVITYNESTERS,53,"576 (76,500)",-0.063 (-2.47),0.134 (2.8),0.526 (12.2),-0.263 (-4.63),0.589,0.031
CAVITYNESTERS,55,"166 (21,145)",0.156 (2.99),-0.103 (-1),-0.103 (-0.94),0.621 (4.4),0.24,0.092
CAVITYNESTERS,59,"652 (500,152)",0.17 (4.72),-0.313 (-5.72),0.108 (2.41),0.108 (1.81),0.091,0.066
CAVITYNESTERS,60,"563 (470,93)",0.451 (6.47),-0.075 (-1.86),0.238 (4.04),0.427 (7.76),0.502,0.06
CAVITYNESTERS,62,"121 (41,80)",-0.305 (-3.68),0.241 (2.44),0.494 (2.43),0.22 (1.65),0.31,0.053
CAVITYNESTERS,68,"441 (233,208)",0.156 (3.04),-0.798 (-7.97),0.509 (10.26),0.739 (7.32),0.599,0.104
CAVITYNESTERS,69,"1000 (500,500)",0.187 (10.36),0.335 (9.82),0.004 (0.08),1.086 (17.09),0.864,0.06
CAVITYNESTERS,70,"629 (500,129)",-0.131 (-3.2),-0.181 (-2.39),0.66 (8.94),0.143 (2.26),0.162,0.08
CAVITYNESTERS,71,"667 (500,167)",0.239 (5.73),-0.273 (-4.23),0.131 (1.68),0.095 (0.97),0.083,0.09
CAVITYNESTERS,72,"710 (500,210)",0.086 (3.31),0.28 (5.84),-0.178 (-3.9),0.687 (8.96),0.727,0.045
CAVITYNESTERS,74,"673 (500,173)",0.18 (3.89),0.007 (0.08),0.039 (0.65),0.586 (6.55),0.411,0.093
CAVITYNESTERS,77,"898 (500,398)",0.163 (5.6),0.149 (2.43),0.382 (6.68),-0.044 (-0.8),0.414,0.086
CAVITYNESTERS,78,"865 (500,365)",0.119 (3.58),-0.573 (-11.01),0.286 (5.38),1.15 (30.1),0.749,0.083
CAVITYNESTERS,80,"488 (69,419)",0.345 (6.87),0.302 (4.15),0.467 (6.91),-0.564 (-5.78),0.346,0.115
CAVITYNESTERS,87,"157 (121,36)",0.154 (2.65),-0.005 (-0.06),0.065 (0.54),0.365 (2.68),0.614,0.041
CAVITYNESTERS,88,"529 (500,29)",-0.078 (-1.51),-0.021 (-0.37),0.426 (5.49),0.028 (0.29),0.072,0.063
CAVITYNESTERS,89,"528 (500,28)",0.091 (2.67),0.099 (3),0.869 (19.77),0.24 (4.45),0.734,0.04
CAVITYNESTERS,90,"601 (500,101)",-0.029 (-1.56),0.108 (2.7),0.977 (33),0.21 (3.91),0.883,0.033
CAVITYNESTERS,94,"751 (251,500)",-0.12 (-3.94),-0.173 (-3.87),-0.248 (-9.04),0.72 (9.36),0.232,0.057
CAVITYNESTERS,95,"609 (500,109)",-0.002 (-0.04),-0.265 (-5.06),0.338 (6.05),0.701 (8.41),0.439,0.059
CAVITYNESTERS,100,"1000 (500,500)",0.503 (12.3),-0.274 (-4.08),0.588 (15.16),0.093 (0.89),0.584,0.088
CAVITYNESTERS,103,"578 (500,78)",0.038 (0.91),0.269 (3.8),0.348 (4.53),0.021 (0.23),0.244,0.082
CAVITYNESTERS,104,"39 (26,13)",-0.134 (-1.23),-0.023 (-0.16),0.877 (4.35),0.117 (0.31),0.794,0.034
CAVITYNESTERS,105,"805 (500,305)",0.255 (5.29),-0.294 (-5.87),0.124 (1.65),0.348 (4.41),0.106,0.098
CAVITYNESTERS,108,"526 (26,500)",0.091 (1.94),0.438 (4.8),0.087 (0.96),0.546 (3.5),0.143,0.152
CAVITYNESTERS,136,"80 (31,49)",0.232 (2.6),0.175 (1.72),0.024 (0.25),-0.128 (-0.54),0.577,0.044
CAVITYNESTERS,165,"374 (151,223)",-0.406 (-5.55),-0.301 (-2.67),0.65 (6.64),0.898 (10.51),0.866,0.06
CAVITYNESTERS,166,"181 (21,160)",-0.45 (-8.58),-0.381 (-2.85),1.326 (10.62),0.355 (1.97),0.409,0.068
CAVITYNESTERS,168,"518 (500,18)",0.661 (5.57),-0.134 (-0.86),-1.21 (-8.96),0.592 (4.29),0.152,0.105
CAVITYNESTERS,170,"933 (500,433)",-0.241 (-4.54),0.015 (0.17),-0.146 (-2.27),0.606 (9.26),0.192,0.106
CAVITYNESTERS,171,"450 (130,320)",0.25 (3.22),-1.263 (-13.74),0.209 (3.01),1.719 (17.26),0.763,0.066
CAVITYNESTERS,172,"526 (500,26)",-0.092 (-1.31),0.219 (3.24),0.513 (7.71),-0.107 (-1.16),0.241,0.067
CAVITYNESTERS,175,"581 (500,81)",-0.021 (-0.41),-0.004 (-0.08),0.633 (10.23),0.049 (0.62),0.34,0.062
CAVITYNESTERS,176,"253 (100,153)",-0.468 (-8.07),0.56 (4.16),0.388 (4.8),0.647 (3.36),0.649,0.081
CAVITYNESTERS,177,"98 (37,61)",0.234 (2.04),-0.407 (-1.49),1.045 (7.85),0.116 (0.41),0.606,0.096
CAVITYNESTERS,178,"518 (166,352)",-0.257 (-4.34),0.592 (6.29),0.35 (6.26),-0.052 (-0.54),0.315,0.096
CAVITYNESTERS,179,"627 (500,127)",0.067 (1.22),0.299 (4.9),0.248 (3.68),0.536 (7.96),0.64,0.067
CAVITYNESTERS,180,"920 (500,420)",0.221 (5.23),-0.272 (-4.33),0.314 (5.19),0.395 (3.92),0.236,0.122
CAVITYNESTERS,181,"567 (67,500)",0.246 (6.34),0.24 (7.69),0.71 (23.28),-0.528 (-6.82),0.745,0.044
CAVITYNESTERS,183,"54 (31,23)",0.673 (4.31),0.208 (1.45),-0.333 (-1.62),-0.498 (-1.64),0.557,0.059
CAVITYNESTERS,199,"512 (12,500)",0.047 (1.51),-0.146 (-1.71),-0.028 (-0.28),-0.08 (-0.89),0.024,0.095
CAVITYNESTERS,200,"363 (330,33)",-0.122 (-2.29),0.286 (3.59),0.02 (0.2),-0.577 (-5.59),0.191,0.047
CAVITYNESTERS,207,"414 (309,105)",0.22 (2.35),-0.373 (-3.18),0.027 (0.28),0.416 (3.27),0.057,0.09
CAVITYNESTERS,215,"765 (265,500)",-0.009 (-0.24),0.307 (5.09),-0.002 (-0.04),-0.078 (-1.1),0.048,0.128
CAVITYNESTERS,216,"1000 (500,500)",-0.062 (-2.39),0.099 (2.8),0.754 (15.54),-0.043 (-0.64),0.418,0.087
CAVITYNESTERS,217,"734 (500,234)",0.115 (3.44),0.127 (2.31),0.333 (6.23),0.041 (0.54),0.367,0.085
GROUNDNESTERS,51,"241 (49,192)",-0.293 (-1.67),-0.305 (-0.98),-0.427 (-1.43),1.15 (4.37),0.394,0.063
GROUNDNESTERS,52,"498 (357,141)",0.148 (2.49),-0.208 (-2.56),0.49 (5.76),-0.124 (-1.24),0.112,0.089
GROUNDNESTERS,53,"576 (76,500)",-0.359 (-12.5),-0.128 (-2.46),1.842 (38.83),-0.224 (-3.65),0.94,0.034
GROUNDNESTERS,55,"166 (21,145)",0.08 (1.39),1.093 (9.56),0.146 (1.21),-0.844 (-5.41),0.447,0.101
