species,cmi,gpp,led,lcc
caribou,7,13,3,7
blbw,2,2,1,1
boch,20,16,2,10
brcr,8,6,1,5
btnw,7,5,1,3
cawa,2,4,2,2
cmwa,4,7,3,1
osfl,14,16,5,4
pigr,19,15,2,12
rubl,12,19,8,9
swth,21,9,2,14
wwcr,18,8,9,13
forestbirds,14,18,4,12
allbirds,13,16,7,12
cavitynesters,6,7,19,16
groundnesters,10,17,14,7
overwaternesters,16,14,14,4
allwaterfowl,11,12,15,10
