ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
104,forestbirds,2.39,4,6.15,1.55,0,0,1,0
105,forestbirds,2.21,9.8,1.99,3.7,0,1,0,0
108,forestbirds,10.3,1.52,2.22,1.51,1,0,0,0
136,forestbirds,2.33,1.34,0.47,2.08,1,0,0,0
165,forestbirds,2.95,0.73,3.85,10.58,0,0,0,1
166,forestbirds,18.33,4.13,7.73,3,1,0,0,0
168,forestbirds,1.32,3.54,3.36,3.15,0,1,0,0
170,forestbirds,2.11,5.27,3.47,8.18,0,0,0,1
171,forestbirds,0.57,5.29,1.76,1.58,0,1,0,0
172,forestbirds,3.61,1.66,2.24,7.07,0,0,0,1
175,forestbirds,1.27,2.78,3.54,5.28,0,0,0,1
176,forestbirds,3.46,2.26,0.68,0.42,1,0,0,0
177,forestbirds,4.01,0.31,3.77,1.66,1,0,0,0
178,forestbirds,1.06,3.9,2.44,3.42,0,1,0,0
179,forestbirds,5.05,3.83,2.27,3.11,1,0,0,0
180,forestbirds,11.28,3.96,3.61,0.96,1,0,0,0
181,forestbirds,14.1,16.09,7.99,4.94,0,1,0,0
183,forestbirds,1.77,0.7,0.84,1.4,1,0,0,0
199,forestbirds,8.61,6.86,2.36,3.22,1,0,0,0
200,forestbirds,8.4,2.93,0.89,2.62,1,0,0,0
207,forestbirds,1.93,1.95,0.47,7.29,0,0,0,1
215,forestbirds,1.86,1.44,0.68,8.09,0,0,0,1
216,forestbirds,5.61,10.52,5.19,1.89,0,1,0,0
217,forestbirds,6.04,14.48,3.06,0.26,0,1,0,0
51,allwaterfowl,0.42,2.85,1.36,4.57,0,0,0,1
52,allwaterfowl,1.49,1.57,4.22,0.46,0,0,1,0
53,allwaterfowl,9.75,1.98,46.71,8.3,0,0,1,0
55,allwaterfowl,2.04,8.23,1.71,5.22,0,1,0,0
59,allwaterfowl,0.03,1.59,2.39,1.49,0,0,1,0
60,allwaterfowl,0.92,16.61,4.12,0.64,0,1,0,0
62,allwaterfowl,1.85,7.19,0.26,0.46,0,1,0,0
68,allwaterfowl,2.69,1.64,3.83,2.26,0,0,1,0
