ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
55,osfl,3.96,1.01,0.51,0.01,1,0,0,0
60,osfl,0.04,6.78,4.65,6.05,0,1,0,0
62,osfl,2.66,10.92,1.55,7.68,0,1,0,0
69,osfl,2.03,25.37,8.67,4.94,0,1,0,0
71,osfl,10.6,14.83,1.45,0.84,0,1,0,0
72,osfl,19.69,14.17,0.91,1.1,1,0,0,0
74,osfl,0.32,0.65,6.01,0.77,0,0,1,0
78,osfl,6.2,5.43,2.79,0.54,1,0,0,0
80,osfl,4.94,0.18,1.44,0.37,1,0,0,0
87,osfl,2.2,11.82,5.41,4.25,0,1,0,0
88,osfl,3.57,7.54,3.2,3.2,0,1,0,0
89,osfl,3.06,18.42,0.04,4.39,0,1,0,0
90,osfl,21.05,10.2,3.63,11.55,1,0,0,0
94,osfl,3.16,3,6.74,5.6,0,0,1,0
95,osfl,2.63,14.78,1.42,0.7,0,1,0,0
100,osfl,4.65,22.12,19.88,15.12,0,1,0,0
103,osfl,6.62,6.73,1.22,0.42,0,1,0,0
108,osfl,7.08,0.78,0.17,3.38,1,0,0,0
136,osfl,1.58,0.15,0.87,0.11,1,0,0,0
165,osfl,3.46,0.9,10.18,7.4,0,0,1,0
168,osfl,8.53,5.41,5.6,1.38,1,0,0,0
170,osfl,3.56,2.28,1.07,0.5,1,0,0,0
171,osfl,3.21,2.72,1.62,0.75,1,0,0,0
172,osfl,0.86,0.35,0.24,2.55,0,0,0,1
175,osfl,17.96,7.16,2.76,1.33,1,0,0,0
176,osfl,7.56,3.01,2.48,0.07,1,0,0,0
177,osfl,0.59,3.17,2.07,2.71,0,1,0,0
178,osfl,1.1,0.57,0.48,1.34,0,0,0,1
179,osfl,0.2,1.45,0.12,2.4,0,0,0,1
180,osfl,0.2,5.47,1.65,5.58,0,0,0,1
181,osfl,7.11,3.63,7.96,4.27,0,0,1,0
183,osfl,0.38,5.5,0.85,0.57,0,1,0,0
199,osfl,6.23,2.93,3.86,1.85,1,0,0,0
200,osfl,0.7,3.95,0.76,2.58,0,1,0,0
207,osfl,1.17,1.54,3.98,0.94,0,0,1,0
215,osfl,22.96,2.11,3.14,1.88,1,0,0,0
216,osfl,5.93,6.06,1.01,3.59,0,1,0,0
217,osfl,4.64,8.12,2.7,1.23,0,1,0,0
51,pigr,4.08,0.06,7.68,3.19,0,0,1,0
52,pigr,1.77,1.82,0.82,17.18,0,0,0,1
53,pigr,29.33,18.62,8.67,16.87,1,0,0,0
55,pigr,3.6,0.81,3.99,6.86,0,0,0,1
59,pigr,34.5,1.45,1.19,5.38,1,0,0,0
60,pigr,2.18,17.67,0.24,7.47,0,1,0,0
62,pigr,9.93,7.65,3.17,5.04,1,0,0,0
68,pigr,1.71,2.83,6,0.9,0,0,1,0
69,pigr,20.83,2.87,4.71,6.35,1,0,0,0
70,pigr,3.03,1.52,0.48,7.81,0,0,0,1
71,pigr,15.88,1.56,3.23,3.72,1,0,0,0
72,pigr,9.29,8.41,2.85,6.4,1,0,0,0
74,pigr,11.6,4.95,6.52,1.74,1,0,0,0
77,pigr,3.47,2.81,0.48,6.71,0,0,0,1
78,pigr,6.05,4.34,1.61,6.59,0,0,0,1
80,pigr,16.5,1.88,0.5,2.36,1,0,0,0
87,pigr,9.14,4.32,2.76,0.24,1,0,0,0
88,pigr,8.64,6.52,2.38,1.9,1,0,0,0
89,pigr,5.64,19.54,2.28,3.3,0,1,0,0
90,pigr,17.31,9.06,1.69,6.4,1,0,0,0
94,pigr,3.73,4.6,2.7,5.43,0,0,0,1
95,pigr,5.12,11,0.71,0.8,0,1,0,0
100,pigr,9.96,28.24,14.82,3.73,0,1,0,0
103,pigr,0.48,3.33,1.03,3.65,0,0,0,1
104,pigr,1.67,6.16,3.51,0.52,0,1,0,0
105,pigr,7.33,0.2,0.85,0.42,1,0,0,0
108,pigr,2.47,6.98,0.55,3.31,0,1,0,0
136,pigr,2.37,0.74,1.48,0.45,1,0,0,0
165,pigr,3.03,4.66,2.94,2.42,0,1,0,0
166,pigr,2.56,2.86,1.84,2.09,0,1,0,0
168,pigr,4.07,5.05,0.28,2.49,0,1,0,0
170,pigr,0.71,0.33,2.27,8.15,0,0,0,1
171,pigr,4.39,7.2,5.63,7.14,0,1,0,0
172,pigr,0.35,8.49,0.45,1.84,0,1,0,0
175,pigr,0.53,13.88,2.26,0.8,0,1,0,0
176,pigr,2.83,2.88,0.15,0.6,0,1,0,0
177,pigr,5.35,3.71,0.77,2.88,1,0,0,0
178,pigr,2.33,0.02,0.79,5.68,0,0,0,1
179,pigr,8.2,7.56,1.27,4.71,1,0,0,0
180,pigr,3.54,1.53,1.07,6.55,0,0,0,1
181,pigr,9.82,14.44,8.5,3.05,0,1,0,0
183,pigr,5.62,3.38,0.74,2,1,0,0,0
199,pigr,37.65,4.88,3.21,2.02,1,0,0,0
200,pigr,1.72,0.3,0.64,3.85,0,0,0,1
207,pigr,1.3,2.16,0.84,5.16,0,0,0,1
215,pigr,10.58,3.06,0.45,2.83,1,0,0,0
216,pigr,9.12,20.2,0.4,10.4,0,1,0,0
217,pigr,8.14,5.62,1.64,6.01,1,0,0,0
51,rubl,0.01,3.7,3.59,2.44,0,1,0,0
52,rubl,0.15,0.66,1.82,13.09,0,0,0,1
53,rubl,25.06,0.49,0.4,7.89,1,0,0,0
55,rubl,7.44,6.52,2.84,1.57,1,0,0,0
59,rubl,20.97,6.76,2.13,1.26,1,0,0,0
60,rubl,4.05,25.73,2.09,1.38,0,1,0,0
62,rubl,5.99,6.76,0.56,0.36,0,1,0,0
68,rubl,1.04,0.84,1.8,0.12,0,0,1,0
69,rubl,5.51,19.58,0.65,1.26,0,1,0,0
70,rubl,8.46,3.96,1.13,10.69,0,0,0,1
71,rubl,28.64,10.4,0.84,3.62,1,0,0,0
72,rubl,6.64,1.02,4.21,1.65,1,0,0,0
74,rubl,14.64,4.36,2.03,4.42,1,0,0,0
77,rubl,34.48,7.29,4.86,0.14,1,0,0,0
78,rubl,10.61,11,0.51,9.46,0,1,0,0
80,rubl,1.55,5.03,2.15,2.4,0,1,0,0
87,rubl,1.49,0.26,1.5,6.73,0,0,0,1
88,rubl,9.11,2.42,3.74,3.01,1,0,0,0
89,rubl,4.76,18.15,2.41,2.03,0,1,0,0
90,rubl,3.59,18.45,0.06,7.67,0,1,0,0
94,rubl,8.66,22.46,16.86,5.37,0,1,0,0
95,rubl,3.89,11.9,1.56,5.25,0,1,0,0
100,rubl,1.44,35.91,2.8,0.38,0,1,0,0
103,rubl,1.13,0.13,2.24,0.56,0,0,1,0
104,rubl,3.46,4.58,4.25,2.84,0,1,0,0
105,rubl,0.28,2.14,3.51,1,0,0,1,0
108,rubl,1.92,6.76,1.08,1.62,0,1,0,0
136,rubl,1.54,1.5,1.54,2.2,0,0,0,1
165,rubl,8.85,3.67,4.51,4.54,1,0,0,0
166,rubl,36.25,5.27,3.83,3.8,1,0,0,0
168,rubl,7.17,7.17,2.89,5.24,1,0,0,0
170,rubl,1.88,0.34,1.82,5.89,0,0,0,1
171,rubl,2.97,2.33,5.85,0.15,0,0,1,0
172,rubl,4.02,7.09,2.79,9.85,0,0,0,1
175,rubl,1.67,5.29,3.63,2.18,0,1,0,0
176,rubl,2.6,1.63,0.24,2.74,0,0,0,1
177,rubl,1.34,1.81,7.56,2.68,0,0,1,0
178,rubl,4.47,5.56,0.92,1,0,1,0,0
179,rubl,4.97,9.62,2.94,1.39,0,1,0,0
180,rubl,1.98,0.92,0.45,4.73,0,0,0,1
181,rubl,7.74,0.57,1.35,11.57,0,0,0,1
183,rubl,0.32,2.36,0.89,2.24,0,1,0,0
199,rubl,21.85,3.17,4.06,4.33,1,0,0,0
200,rubl,2.94,1.46,4.67,0.46,0,0,1,0
207,rubl,0.5,3.98,4.84,1.04,0,0,1,0
215,rubl,1.07,1.76,3,2.16,0,0,1,0
216,rubl,3.47,13.3,3.16,0.95,0,1,0,0
217,rubl,1.02,7.24,5.9,2.54,0,1,0,0
51,swth,6.79,0.68,3.5,9.85,0,0,0,1
55,swth,3.78,3.93,4.62,5.24,0,0,0,1
59,swth,28.21,2.43,1.45,1.9,1,0,0,0
60,swth,0.84,1.19,6.45,7.84,0,0,0,1
62,swth,11.98,2.74,1.83,16.57,0,0,0,1
68,swth,21.02,2.75,2.18,3.44,1,0,0,0
69,swth,20.66,15.46,4.16,8.15,1,0,0,0
70,swth,7.58,5.76,0.62,10.07,0,0,0,1
71,swth,10.73,4.18,0.29,1.38,1,0,0,0
72,swth,2.99,18.52,3.79,6.45,0,1,0,0
74,swth,10.14,11.65,9.52,1.26,0,1,0,0
77,swth,25.06,7.48,1.53,2.89,1,0,0,0
78,swth,4.4,17.3,1.46,8.39,0,1,0,0
80,swth,0.7,7.25,1.06,2.4,0,1,0,0
87,swth,20.35,2.45,6.54,1.32,1,0,0,0
88,swth,2.16,2.31,3.69,7.19,0,0,0,1
89,swth,0.4,14.39,3,13.87,0,1,0,0
90,swth,16,6.59,6.66,5.19,1,0,0,0
94,swth,1.34,2.61,5.92,4.52,0,0,1,0
95,swth,3.18,1.16,3.35,7.24,0,0,0,1
100,swth,6.89,14.17,16.51,2.42,0,0,1,0
103,swth,17.46,3.04,0.63,2.9,1,0,0,0
104,swth,2.1,3.94,3.38,0.39,0,1,0,0
105,swth,1.69,8.76,1.51,2.06,0,1,0,0
108,swth,50.27,0.63,1.83,4.35,1,0,0,0
136,swth,0.24,0.84,0.75,1.33,0,0,0,1
165,swth,11.07,2.56,6.66,13.05,0,0,0,1
166,swth,1.93,3.09,1.29,4.01,0,0,0,1
168,swth,4.33,2.71,4.76,7.25,0,0,0,1
170,swth,10,6.07,0.63,10.61,0,0,0,1
171,swth,7.96,5.01,2.55,7.12,1,0,0,0
172,swth,2.6,1.32,1.95,6.29,0,0,0,1
175,swth,10.01,7.04,0.76,2.44,1,0,0,0
176,swth,15.07,2.16,2.58,1.83,1,0,0,0
177,swth,2.14,2.63,2.33,0.04,0,1,0,0
178,swth,0.15,0.25,1.18,6.88,0,0,0,1
179,swth,11.26,3.16,1.08,1.96,1,0,0,0
180,swth,15.37,3.48,1.94,1.04,1,0,0,0
181,swth,12.03,8.19,0.87,10.57,1,0,0,0
183,swth,6.74,1.32,1.2,1.42,1,0,0,0
199,swth,0.04,10.18,4.6,3.73,0,1,0,0
200,swth,11.64,0.53,0.74,6.3,1,0,0,0
207,swth,6.39,4.46,0.78,0.75,1,0,0,0
215,swth,18.91,0.51,3.51,0.67,1,0,0,0
216,swth,9.87,5.17,1.26,3.71,1,0,0,0
217,swth,5.47,2.06,0.16,1,1,0,0,0
51,wwcr,3.71,1.92,2.76,1.12,1,0,0,0
52,wwcr,0.61,2.95,4.6,12.17,0,0,0,1
53,wwcr,19.49,17.72,5.7,18.73,1,0,0,0
55,wwcr,8.05,2.88,2.43,0.5,1,0,0,0
59,wwcr,4.83,1.45,1.37,1.25,1,0,0,0
60,wwcr,3.85,2.29,8.56,2.56,0,0,1,0
62,wwcr,1.82,8.78,1.02,5.51,0,1,0,0
68,wwcr,4.86,3.91,2.67,1.59,1,0,0,0
69,wwcr,1.5,18.03,2.49,0.54,0,1,0,0
70,wwcr,13.16,1.98,1.78,1.19,1,0,0,0
71,wwcr,25.14,4.89,2.62,2.59,1,0,0,0
72,wwcr,31.49,1.51,15.17,9.66,1,0,0,0
74,wwcr,23.54,8.76,6.54,2.08,1,0,0,0
77,wwcr,3.91,1.67,5.47,5.99,0,0,0,1
78,wwcr,11.96,5.68,2.38,12.66,0,0,0,1
80,wwcr,2.61,0.47,0.44,6.46,0,0,0,1
87,wwcr,0.64,12.62,1.52,1.01,0,1,0,0
88,wwcr,1.98,5.44,0.19,2.93,0,1,0,0
89,wwcr,8.68,1.4,1.16,3.75,1,0,0,0
90,wwcr,24.76,5.85,5.58,8.8,1,0,0,0
94,wwcr,9.91,14.93,20.41,0.04,0,0,1,0
95,wwcr,8.02,7.76,0.6,2.53,1,0,0,0
100,wwcr,12.34,1.58,15.91,9.25,0,0,1,0
103,wwcr,8.97,0.15,2.63,2.72,1,0,0,0
104,wwcr,2.13,4.04,3.4,1.14,0,1,0,0
105,wwcr,1.91,3.02,4.84,3.93,0,0,1,0
108,wwcr,11.69,3.66,1.89,4.23,1,0,0,0
136,wwcr,1.16,0.13,1.5,1.94,0,0,0,1
165,wwcr,1.59,2.02,1.6,4.22,0,0,0,1
166,wwcr,10.46,6.63,1.82,4.13,1,0,0,0
168,wwcr,0.11,0.7,6.64,3.13,0,0,1,0
170,wwcr,2.29,1.38,4.02,12.8,0,0,0,1
171,wwcr,2.43,0.04,0.46,4.39,0,0,0,1
172,wwcr,5.25,2.29,6.65,2.02,0,0,1,0
175,wwcr,2.18,9.38,3.47,0.03,0,1,0,0
176,wwcr,9.2,4.69,5.21,2,1,0,0,0
177,wwcr,0.27,1.35,5.25,0.75,0,0,1,0
178,wwcr,2.4,1.44,3.56,1.08,0,0,1,0
179,wwcr,1.32,4.33,1.23,2.19,0,1,0,0
180,wwcr,4.13,2.9,1,5.08,0,0,0,1
181,wwcr,7.54,5.31,2.64,8.37,0,0,0,1
183,wwcr,5,4.35,2.07,3.07,1,0,0,0
199,wwcr,8.44,6.15,5.31,3.76,1,0,0,0
200,wwcr,2.22,0.94,1.76,3.64,0,0,0,1
207,wwcr,0.1,0.21,0.31,1.5,0,0,0,1
215,wwcr,2.12,2.4,0.47,8.78,0,0,0,1
216,wwcr,1.19,18.08,3.76,2.49,0,1,0,0
217,wwcr,5.02,3.86,8.7,6.31,0,0,1,0
