Group,Code,Name,Latin_name,Forest,Conifer,Deciduous,Mixedwood,Grassland,NeoMigrant,ShortMigrant,Nomadic,Resident,Declining,LowConcern,CavityNesters,GroundNesters,OverwaterNesters
,PUFI,Purple Finch,Carpodacus purpureus,1,,1,,,,1,,,,1,,,
,RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,,1,,,1,,,,,1,,,
,RBNU,Red-breasted Nuthatch,Sitta canadensis,1,,,1,,,,,1,,1,,,
,RCKI,Ruby-crowned Kinglet,Regulus calendula,1,1,,,,,1,,,,1,,,
,REVI,Red-eyed Vireo,Vireo olivaceus,1,,1,,,1,,,,,1,,,
,RUBL,Rusty Blackbird,Euphagus carolinus,1,1,,,,,1,,,1,,,,
,RWBL,Red-winged Blackbird,Agelaius phoeniceus,,,1,,,,1,,,,1,,,
,SAVS,Savannah Sparrow,Passerculus sandwichensis,,,,,1,,1,,,,1,,,
,SOSP,Song Sparrow,Melospiza melodia,,,1,,,,1,,,,1,,,
,SWSP,Swamp Sparrow,Melospiza georgiana,,,1,,,,1,,,,1,,,
,SWTH,Swainson's Thrush,Catharus ustulatus,1,1,,,,1,,,,,1,,,
,TEWA,Tennessee Warbler,Oreothlypis peregrina,1,,,1,,1,,,,,1,,,
,TRES,Tree Swallow,Tachycineta bicolor,,,1,,,,1,,,,1,,,
,VATH,Varied Thrush,Ixoreus naevius,1,1,,,,,1,,,1,,,,
,VESP,Vesper Sparrow,Pooecetes gramineus,,,,,1,,1,,,,1,,,
,WAVI,Warbling Vireo,Vireo gilvus,,1,,,,1,,,,,1,,,
,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,,1,,,,,1,,,,1,,,
,WETA,Western Tanager,Piranga ludoviciana,1,1,,,,1,,,,,1,,,
,WEWP,Western Wood-Pewee,Loxia leucoptera,1,1,,,,1,,,,,1,,,
,WIWA,Wilson's Warbler,Contopus sordidulus,1,1,,,,1,,,,1,,,,
