network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_123060_PB_133899,0.105,0.036,0.097,0.041,NaN,0.068,0.08,0.243,0.124,0.259,0.241,0.31,0.205,0.133,0.327,0.22,0.121,0.276,0.065,0.398,0.056,0.3,1
PB_124294_PB_131862,0.146,0.064,0.074,0.137,NaN,0.063,0.117,0.193,0.12,0.243,0.2,0.209,0.269,0.098,0.128,0.131,0.155,0.134,0.06,0.172,0.095,0.208,1
PB_124294_PB_133160,0.123,0.062,0.062,0.133,NaN,0.055,0.113,0.183,0.101,0.235,0.164,0.212,0.232,0.095,0.124,0.13,0.11,0.136,0.073,0.135,0.132,0.178,1
PB_124294_PB_133473,0.123,0.063,0.06,0.135,NaN,0.044,0.115,0.187,0.091,0.24,0.162,0.209,0.22,0.097,0.126,0.125,0.113,0.14,0.068,0.122,0.132,0.173,1
PB_124315_PB_125219,0.078,0.014,0.063,0.105,NaN,0.094,0.06,0.307,0.129,0.453,0.181,0.244,0.069,0.288,0.202,0.267,0.226,0.073,0.064,0.067,0.245,0.089,1
PB_124315_PB_126630,0.046,0.022,0.126,0.067,NaN,0.112,0.071,0.253,0.119,0.393,0.146,0.218,0.076,0.264,0.183,0.187,0.243,0.084,0.041,0.066,0.253,0.077,1
PB_124315_PB_128214,0.045,0.034,0.122,0.053,NaN,0.106,0.074,0.226,0.125,0.349,0.148,0.18,0.078,0.232,0.146,0.144,0.223,0.057,0.057,0.074,0.251,0.104,1
PB_124315_PB_129311,0.056,0.029,0.136,0.06,NaN,0.101,0.075,0.199,0.139,0.322,0.122,0.169,0.077,0.205,0.137,0.123,0.196,0.054,0.052,0.08,0.253,0.126,1
PB_124315_PB_131611,0.052,0.057,0.041,0.057,NaN,0.082,0.105,0.165,0.113,0.115,0.088,0.118,0.074,0.283,0.204,0.153,0.242,0.205,0.046,0.191,0.071,0.114,1
PB_124315_PB_132115,0.052,0.049,0.018,0.053,NaN,0.083,0.109,0.127,0.072,0.075,0.068,0.116,0.073,0.283,0.213,0.131,0.242,0.205,0.058,0.173,0.06,0.094,1
PB_124315_PB_133473,0.054,0.056,0.012,0.035,NaN,0.085,0.107,0.076,0.055,0.069,0.064,0.087,0.065,0.242,0.173,0.11,0.184,0.146,0.043,0.164,0.068,0.083,1
PB_124315_PB_133819,0.053,0.056,0.033,0.034,NaN,0.137,0.121,0.05,0.05,0.092,0.102,0.077,0.066,0.224,0.167,0.136,0.152,0.124,0.054,0.173,0.105,0.072,1
PB_124315_PB_133839,0.053,0.035,0.038,0.047,NaN,0.085,0.115,0.1,0.076,0.07,0.069,0.123,0.067,0.275,0.212,0.14,0.199,0.179,0.04,0.199,0.078,0.121,1
PB_124315_PB_134040,0.162,0.066,0.076,0.074,NaN,0.138,0.095,0.067,0.094,0.124,0.183,0.118,0.167,0.05,0.107,0.097,0.103,0.081,0.108,0.097,0.112,0.053,1
PB_124315_PB_134606,0.129,0.077,0.069,0.107,NaN,0.184,0.205,0.072,0.097,0.122,0.143,0.259,0.135,0.18,0.338,0.22,0.157,0.128,0.081,0.245,0.18,0.237,1
PB_125219_PB_125703,0.064,0.028,0.063,0.047,NaN,0.105,0.056,0.306,0.111,0.455,0.2,0.214,0.103,0.3,0.184,0.233,0.23,0.072,0.081,0.113,0.218,0.116,1
PB_125703_PB_134040,0.175,0.06,0.08,0.047,NaN,0.134,0.101,0.091,0.092,0.145,0.183,0.085,0.111,0.054,0.092,0.06,0.084,0.09,0.135,0.11,0.061,0.079,1
PB_125703_PB_134372,0.139,0.076,0.062,0.045,NaN,0.183,0.229,0.076,0.071,0.123,0.117,0.233,0.064,0.196,0.316,0.18,0.166,0.111,0.108,0.243,0.126,0.226,1
PB_125731_PB_131611,0.038,0.088,0.045,0.091,NaN,0.109,0.06,0.159,0.14,0.103,0.096,0.118,0.125,0.257,0.19,0.091,0.197,0.202,0.058,0.193,0.081,0.14,1
PB_125731_PB_131862,0.036,0.093,0.037,0.107,NaN,0.104,0.081,0.129,0.093,0.069,0.07,0.107,0.126,0.257,0.199,0.057,0.202,0.211,0.078,0.166,0.063,0.118,1
