network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_186197_PB_186602_PB_187240,0.08,0.05,0.088,0.044,0.055,0.116,0.159,0.15,0.105,0.138,0.153,0.041,0.128,0.088,0.189,0.175,0.208,0.146,0.13,0.207,0.183,0.244,1
PB_186197_PB_187240_PB_187286,0.079,0.047,0.089,0.044,0.057,0.118,0.155,0.148,0.107,0.136,0.15,0.038,0.13,0.086,0.188,0.175,0.206,0.143,0.131,0.205,0.185,0.241,1
PB_186197_PB_187240_PB_187553,0.084,0.054,0.099,0.044,0.066,0.111,0.171,0.156,0.096,0.145,0.163,0.043,0.123,0.111,0.197,0.185,0.227,0.164,0.124,0.224,0.175,0.257,1
PB_186197_PB_187240_PB_188779,0.134,0.046,0.131,0.057,0.077,0.101,0.164,0.173,0.096,0.18,0.187,0.038,0.131,0.158,0.213,0.204,0.264,0.2,0.137,0.257,0.186,0.265,1
PB_186197_PB_187240_PB_188958,0.117,0.017,0.076,0.078,0.084,0.108,0.19,0.146,0.134,0.146,0.127,0.03,0.11,0.062,0.116,0.117,0.156,0.14,0.126,0.115,0.175,0.116,1
PB_186197_PB_187240_PB_189320,0.093,0.023,0.095,0.058,0.076,0.098,0.154,0.154,0.124,0.148,0.149,0.032,0.116,0.071,0.134,0.125,0.166,0.113,0.113,0.155,0.162,0.171,1
PB_186197_PB_187240_PB_189386,0.098,0.011,0.079,0.07,0.092,0.105,0.167,0.161,0.131,0.155,0.152,0.034,0.118,0.069,0.155,0.153,0.167,0.137,0.125,0.145,0.177,0.158,1
PB_186197_PB_187240_PB_189496,0.103,0.011,0.078,0.074,0.09,0.108,0.178,0.16,0.134,0.155,0.151,0.034,0.116,0.067,0.148,0.148,0.163,0.143,0.125,0.138,0.179,0.148,1
PB_186197_PB_187240_PB_190349,0.155,0.036,0.144,0.069,0.08,0.096,0.16,0.185,0.096,0.197,0.197,0.058,0.138,0.178,0.22,0.212,0.281,0.216,0.139,0.272,0.199,0.266,1
PB_186197_PB_187240_PB_190373,0.193,0.045,0.169,0.089,0.082,0.089,0.153,0.217,0.094,0.225,0.216,0.097,0.147,0.212,0.232,0.227,0.31,0.242,0.151,0.297,0.216,0.268,1
