network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_114784_PB_117493,0.112,0.114,0.045,0.102,NaN,0.194,0.15,0.257,0.075,0.268,0.567,0.25,0.118,0.306,0.047,0.204,0.143,0.303,0.086,0.199,0.182,0.166,1
PB_114784_PB_118436,0.127,0.097,0.048,0.096,NaN,0.145,0.102,0.253,0.077,0.282,0.542,0.264,0.177,0.3,0.048,0.207,0.116,0.33,0.087,0.138,0.205,0.093,1
PB_114784_PB_118571,0.119,0.095,0.048,0.101,NaN,0.113,0.115,0.253,0.081,0.298,0.521,0.259,0.203,0.305,0.06,0.202,0.112,0.354,0.116,0.111,0.215,0.117,1
PB_114784_PB_120109,0.09,0.103,0.042,0.102,NaN,0.167,0.128,0.268,0.075,0.282,0.549,0.243,0.15,0.314,0.043,0.175,0.163,0.304,0.067,0.18,0.179,0.129,1
PB_114784_PB_121843,0.062,0.063,0.024,0.103,NaN,0.074,0.222,0.257,0.132,0.339,0.487,0.205,0.289,0.3,0.059,0.097,0.081,0.404,0.161,0.139,0.285,0.252,1
PB_114784_PB_125292,0.051,0.114,0.025,0.111,NaN,0.1,0.057,0.248,0.181,0.229,0.189,0.097,0.23,0.218,0.091,0.114,0.176,0.142,0.22,0.097,0.163,0.165,1
PB_114784_PB_126349,0.059,0.13,0.025,0.12,NaN,0.12,0.043,0.232,0.162,0.223,0.167,0.091,0.228,0.222,0.111,0.143,0.195,0.135,0.219,0.112,0.172,0.156,1
PB_114784_PB_127422,0.036,0.148,0.048,0.132,NaN,0.106,0.048,0.24,0.157,0.241,0.194,0.122,0.201,0.185,0.075,0.116,0.205,0.152,0.187,0.108,0.127,0.12,1
PB_114784_PB_127790,0.094,0.143,0.159,0.146,NaN,0.163,0.143,0.26,0.232,0.242,0.271,0.2,0.119,0.105,0.165,0.074,0.19,0.173,0.08,0.272,0.154,0.188,1
PB_114784_PB_206643,0.062,0.049,0.051,0.108,NaN,0.071,0.123,0.211,0.172,0.157,0.162,0.143,0.189,0.189,0.163,0.085,0.154,0.102,0.147,0.129,0.231,0.17,1
PB_114784_PB_207355,0.098,0.06,0.081,0.12,NaN,0.095,0.143,0.212,0.187,0.157,0.197,0.172,0.208,0.191,0.202,0.081,0.127,0.133,0.118,0.098,0.264,0.214,1
PB_114784_PB_207549,0.054,0.064,0.041,0.117,NaN,0.108,0.154,0.145,0.084,0.088,0.144,0.129,0.271,0.205,0.13,0.092,0.254,0.123,0.108,0.229,0.288,0.193,1
PB_117493_PB_203489,0.05,0.09,0.042,0.107,NaN,0.163,0.175,0.201,0.206,0.212,0.212,0.081,0.077,0.206,0.117,0.099,0.125,0.121,0.198,0.21,0.153,0.158,1
PB_117786_PB_203866,0.132,0.061,0.057,0.11,NaN,0.145,0.191,0.135,0.176,0.092,0.107,0.15,0.201,0.202,0.069,0.239,0.078,0.368,0.122,0.129,0.249,0.174,1
PB_117786_PB_204004,0.119,0.047,0.049,0.109,NaN,0.13,0.18,0.202,0.193,0.167,0.108,0.162,0.207,0.201,0.084,0.221,0.073,0.372,0.124,0.135,0.235,0.17,1
PB_117786_PB_204039,0.079,0.054,0.04,0.09,NaN,0.099,0.055,0.219,0.202,0.193,0.107,0.173,0.201,0.189,0.062,0.119,0.112,0.306,0.097,0.18,0.206,0.126,1
PB_117786_PB_204835,0.134,0.063,0.057,0.103,NaN,0.075,0.1,0.218,0.197,0.166,0.107,0.133,0.197,0.174,0.069,0.166,0.082,0.305,0.065,0.125,0.213,0.123,1
PB_117786_PB_205257,0.076,0.093,0.058,0.14,0.372,0.163,0.104,0.134,0.163,0.162,0.242,0.115,0.141,0.268,0.102,0.124,0.147,0.142,0.133,0.147,0.22,0.147,1
PB_118259_PB_204159,0.077,0.048,0.091,0.071,NaN,0.13,0.134,0.164,0.15,0.201,0.211,0.062,0.106,0.201,0.152,0.099,0.086,0.125,0.193,0.208,0.166,0.159,1
PB_118259_PB_204727,0.038,0.081,0.085,0.091,NaN,0.186,0.193,0.188,0.201,0.203,0.212,0.095,0.102,0.2,0.111,0.099,0.131,0.122,0.187,0.228,0.139,0.17,1
PB_118436_PB_203489,0.076,0.056,0.044,0.081,NaN,0.122,0.123,0.194,0.193,0.219,0.208,0.092,0.148,0.203,0.112,0.1,0.093,0.089,0.156,0.142,0.176,0.136,1
PB_118436_PB_204039,0.075,0.062,0.04,0.088,NaN,0.103,0.058,0.221,0.205,0.195,0.112,0.184,0.2,0.186,0.062,0.096,0.11,0.299,0.099,0.195,0.204,0.126,1
PB_118436_PB_204159,0.105,0.027,0.036,0.08,NaN,0.082,0.073,0.164,0.135,0.205,0.207,0.066,0.151,0.201,0.145,0.11,0.061,0.09,0.16,0.146,0.207,0.138,1
PB_118436_PB_204258,0.046,0.059,0.034,0.094,NaN,0.108,0.058,0.259,0.219,0.244,0.107,0.216,0.197,0.202,0.079,0.081,0.137,0.305,0.096,0.218,0.204,0.126,1
PB_118436_PB_204602,0.12,0.062,0.056,0.087,NaN,0.092,0.108,0.147,0.15,0.125,0.128,0.12,0.198,0.157,0.137,0.127,0.061,0.173,0.16,0.123,0.206,0.148,1
PB_118436_PB_204727,0.066,0.058,0.045,0.091,NaN,0.135,0.13,0.181,0.188,0.209,0.202,0.098,0.145,0.193,0.112,0.107,0.107,0.089,0.153,0.152,0.166,0.142,1
PB_118571_PB_203489,0.071,0.055,0.045,0.077,NaN,0.099,0.098,0.196,0.196,0.222,0.213,0.092,0.16,0.209,0.122,0.1,0.095,0.077,0.12,0.112,0.185,0.112,1
