network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_184708_PB_63248_PB_180944,0.138,0.049,0.088,0.066,0.849,0.069,0.111,0.126,0.108,0.118,0.143,0.147,0.148,0.188,0.11,0.126,0.071,0.116,0.141,0.162,0.106,0.138,1
PB_184708_PB_63248_PB_182102,0.15,0.049,0.088,0.065,0.849,0.068,0.11,0.135,0.099,0.132,0.128,0.149,0.154,0.174,0.105,0.101,0.089,0.131,0.139,0.161,0.107,0.136,1
PB_184708_PB_63248_PB_182215,0.162,0.049,0.088,0.073,0.849,0.067,0.11,0.117,0.1,0.106,0.128,0.158,0.16,0.145,0.115,0.096,0.111,0.111,0.141,0.161,0.108,0.137,1
PB_184708_PB_63248_PB_183140,0.166,0.074,0.085,0.089,0.849,0.067,0.11,0.106,0.1,0.081,0.128,0.193,0.163,0.118,0.134,0.093,0.133,0.104,0.135,0.161,0.111,0.135,1
PB_184708_PB_63248_PB_184020,0.172,0.082,0.086,0.098,0.849,0.082,0.11,0.103,0.099,0.079,0.126,0.198,0.166,0.101,0.13,0.091,0.147,0.102,0.136,0.161,0.113,0.134,1
PB_185564_PB_63248_PB_180944,0.119,0.092,0.119,0.142,0.683,0.048,0.081,0.282,0.295,0.269,0.287,0.205,0.21,0.226,0.079,0.263,0.114,0.209,0.139,0.127,0.239,0.063,1
PB_185564_PB_63248_PB_182102,0.128,0.092,0.119,0.146,0.683,0.063,0.08,0.283,0.272,0.272,0.264,0.207,0.2,0.212,0.073,0.251,0.08,0.221,0.134,0.098,0.241,0.069,1
PB_185652_PB_63248_PB_180944,0.117,0.082,0.103,0.16,0.623,0.087,0.102,0.269,0.305,0.245,0.285,0.204,0.219,0.216,0.073,0.257,0.105,0.206,0.143,0.136,0.26,0.064,1
PB_185652_PB_63248_PB_182102,0.127,0.081,0.104,0.16,0.623,0.089,0.105,0.268,0.281,0.248,0.262,0.206,0.209,0.202,0.071,0.245,0.069,0.22,0.138,0.107,0.262,0.075,1
PB_186047_PB_63248_PB_180944,0.121,0.094,0.104,0.19,0.545,0.136,0.144,0.227,0.282,0.166,0.27,0.235,0.221,0.195,0.081,0.249,0.079,0.201,0.15,0.114,0.307,0.095,1
PB_186047_PB_63248_PB_182102,0.133,0.094,0.104,0.19,0.545,0.139,0.147,0.223,0.26,0.173,0.243,0.237,0.211,0.181,0.077,0.237,0.043,0.216,0.146,0.085,0.309,0.109,1
PB_186047_PB_63248_PB_182215,0.146,0.103,0.104,0.19,0.545,0.14,0.148,0.2,0.262,0.145,0.245,0.238,0.207,0.152,0.085,0.233,0.039,0.197,0.148,0.079,0.31,0.104,1
PB_188507_PB_63248_PB_181061,0.074,0.096,0.049,0.144,0.095,0.095,0.108,0.11,0.291,0.067,0.144,0.187,0.197,0.085,0.045,0.208,0.046,0.152,0.173,0.136,0.153,0.15,1
PB_188507_PB_63248_PB_181389,0.081,0.095,0.048,0.136,0.095,0.095,0.114,0.09,0.269,0.047,0.128,0.189,0.18,0.057,0.051,0.191,0.037,0.148,0.174,0.136,0.153,0.154,1
