network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_44422_PB_57861_PB_64406,0.194,0.094,0.137,0.099,NaN,0.176,0.064,0.138,0.153,0.164,0.091,0.133,0.054,0.202,0.22,0.207,0.166,0.112,0.137,0.123,0.104,0.15,1
PB_44422_PB_57861_PB_65614,0.187,0.117,0.142,0.125,NaN,0.185,0.059,0.139,0.151,0.164,0.093,0.134,0.08,0.193,0.212,0.199,0.162,0.114,0.14,0.111,0.105,0.135,1
PB_44422_PB_57861_PB_66541,0.186,0.142,0.15,0.124,NaN,0.21,0.088,0.139,0.151,0.163,0.108,0.135,0.039,0.19,0.205,0.196,0.149,0.132,0.15,0.093,0.094,0.12,1
PB_44422_PB_57861_PB_73330,0.186,0.118,0.179,0.069,NaN,0.229,0.12,0.179,0.166,0.192,0.157,0.163,0.076,0.192,0.206,0.2,0.148,0.083,0.129,0.098,0.066,0.118,1
PB_52601_PB_57861_PB_65614,0.193,0.123,0.151,0.128,NaN,0.191,0.064,0.146,0.159,0.171,0.1,0.141,0.081,0.202,0.22,0.206,0.166,0.108,0.141,0.113,0.109,0.145,1
PB_52601_PB_57861_PB_66541,0.192,0.148,0.159,0.127,NaN,0.217,0.095,0.145,0.159,0.17,0.113,0.143,0.04,0.198,0.212,0.203,0.154,0.125,0.151,0.095,0.097,0.13,1
PB_52601_PB_57861_PB_73330,0.192,0.124,0.187,0.073,NaN,0.238,0.124,0.184,0.172,0.198,0.16,0.171,0.078,0.201,0.213,0.207,0.154,0.075,0.131,0.103,0.064,0.128,1
PB_55117_PB_57861_PB_65614,0.133,0.117,0.14,0.119,NaN,0.16,0.072,0.157,0.17,0.184,0.111,0.135,0.096,0.164,0.191,0.171,0.15,0.124,0.106,0.089,0.154,0.133,1
PB_55117_PB_57861_PB_66541,0.166,0.142,0.148,0.118,NaN,0.198,0.11,0.158,0.17,0.183,0.121,0.136,0.052,0.16,0.184,0.169,0.138,0.144,0.116,0.07,0.126,0.122,1
PB_55117_PB_57861_PB_73330,0.132,0.116,0.177,0.074,NaN,0.231,0.133,0.192,0.181,0.207,0.163,0.158,0.086,0.162,0.185,0.172,0.138,0.088,0.096,0.092,0.088,0.122,1
PB_57861_PB_58550_PB_182152,0.165,0.175,0.057,0.156,NaN,0.12,0.108,0.144,0.16,0.172,0.168,0.258,0.139,0.18,0.114,0.238,0.132,0.264,0.19,0.112,0.21,0.168,1
PB_57861_PB_60768_PB_182152,0.199,0.178,0.07,0.142,NaN,0.113,0.109,0.12,0.143,0.153,0.165,0.284,0.139,0.194,0.118,0.269,0.107,0.292,0.185,0.133,0.23,0.141,1
PB_57861_PB_61038_PB_64406,0.177,0.039,0.125,0.097,NaN,0.181,0.091,0.124,0.183,0.152,0.098,0.127,0.1,0.201,0.233,0.222,0.207,0.129,0.11,0.209,0.266,0.208,1
