network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_102748_PB_125107,0.182,0.06,0.044,0.074,NaN,0.178,0.143,0.052,0.051,0.063,0.165,0.118,0.254,0.304,0.202,0.213,0.092,0.172,0.168,0.268,0.402,0.155,1
PB_102748_PB_125719,0.098,0.074,0.051,0.046,NaN,0.112,0.099,0.048,0.077,0.113,0.116,0.114,0.225,0.289,0.151,0.091,0.116,0.197,0.112,0.279,0.319,0.083,1
PB_102748_PB_125768,0.087,0.073,0.045,0.047,NaN,0.109,0.085,0.056,0.076,0.123,0.108,0.114,0.232,0.289,0.138,0.09,0.119,0.191,0.109,0.264,0.319,0.077,1
PB_102748_PB_126516,0.055,0.068,0.07,0.031,NaN,0.123,0.24,0.103,0.083,0.112,0.255,0.121,0.25,0.224,0.128,0.214,0.107,0.177,0.184,0.251,0.252,0.16,1
PB_102748_PB_126696,0.064,0.065,0.042,0.029,NaN,0.103,0.24,0.126,0.095,0.144,0.276,0.108,0.252,0.226,0.128,0.241,0.109,0.162,0.17,0.262,0.247,0.149,1
PB_102748_PB_127082,0.061,0.078,0.042,0.029,NaN,0.175,0.267,0.071,0.097,0.074,0.226,0.137,0.25,0.231,0.148,0.189,0.104,0.187,0.215,0.243,0.242,0.178,1
PB_102748_PB_127121,0.064,0.069,0.043,0.026,NaN,0.14,0.249,0.113,0.093,0.116,0.269,0.128,0.247,0.231,0.142,0.234,0.105,0.161,0.191,0.262,0.246,0.162,1
PB_102748_PB_128148,0.091,0.071,0.082,0.065,NaN,0.064,0.146,0.139,0.129,0.196,0.291,0.111,0.294,0.279,0.132,0.267,0.134,0.14,0.124,0.266,0.253,0.158,1
PB_102748_PB_204810,0.111,0.109,0.09,0.092,NaN,0.128,0.25,0.139,0.117,0.212,0.286,0.121,0.331,0.273,0.152,0.257,0.247,0.132,0.118,0.271,0.241,0.116,1
PB_102953_PB_112956,0.051,0.031,0.088,0.056,NaN,0.119,0.117,0.116,0.208,0.141,0.095,0.155,0.26,0.226,0.185,0.249,0.131,0.08,0.073,0.323,0.109,0.133,1
PB_102953_PB_112999,0.069,0.046,0.098,0.065,NaN,0.137,0.111,0.146,0.205,0.143,0.113,0.192,0.285,0.27,0.216,0.245,0.106,0.101,0.105,0.258,0.088,0.124,1
PB_102953_PB_113106,0.061,0.06,0.175,0.066,NaN,0.136,0.122,0.158,0.196,0.152,0.111,0.184,0.323,0.27,0.229,0.274,0.135,0.096,0.094,0.304,0.082,0.135,1
PB_102953_PB_113794,0.063,0.035,0.068,0.069,NaN,0.146,0.124,0.12,0.189,0.143,0.113,0.196,0.281,0.27,0.213,0.242,0.106,0.098,0.099,0.264,0.091,0.123,1
PB_103667_PB_112999,0.059,0.056,0.089,0.06,NaN,0.141,0.118,0.146,0.197,0.156,0.119,0.167,0.257,0.262,0.197,0.264,0.108,0.131,0.102,0.281,0.104,0.145,1
PB_103667_PB_113794,0.059,0.055,0.058,0.062,NaN,0.151,0.129,0.128,0.18,0.156,0.119,0.171,0.253,0.262,0.197,0.261,0.105,0.128,0.095,0.288,0.108,0.142,1
PB_105703_PB_112956,0.06,0.069,0.065,0.067,NaN,0.137,0.15,0.143,0.196,0.153,0.089,0.116,0.255,0.224,0.169,0.271,0.149,0.103,0.07,0.344,0.119,0.18,1
