network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_131771_PB_142191_PB_142215,0.606,0.12,0.244,0.367,0.379,1,265,0.928,0.532,0.983,1.85,1400,39907,0.347,0.483,0.425,0.197,0.612,0.227,0.459,0.268,0.641,0.454,0.335,0.607,0.452,0.15,0.349,0.552,0.409
PB_131771_PB_142191_PB_142233,0.61,0.133,0.233,0.391,0.386,1,265,0.921,0.532,0.984,2.045,1624,39907,0.367,0.49,0.483,0.172,0.615,0.232,0.466,0.296,0.656,0.454,0.331,0.609,0.481,0.143,0.373,0.557,0.412
PB_131771_PB_142191_PB_142250,0.58,0.112,0.083,0.336,0.342,1,265,0.896,0.532,0.983,1.954,1545,39907,0.318,0.489,0.468,0.188,0.621,0.241,0.346,0.292,0.531,0.364,0.372,0.608,0.474,0.155,0.369,0.556,0.339
PB_131771_PB_142191_PB_142256,0.494,0.078,0.049,0.412,0.325,1,265,0.953,0.532,0.905,2.285,1975,39907,0.317,0.497,0.432,0.2,0.562,0.199,0.185,0.329,0.405,0.225,0.301,0.498,0.513,0.305,0.398,0.563,0.266
PB_131771_PB_142215_PB_142233,0.6,0.08,0.291,0.311,0.37,2,265,0.911,0.532,1,1.979,1475,39907,0.411,0.474,0.352,0.188,0.609,0.22,0.404,0.243,0.595,0.403,0.322,0.605,0.424,0.256,0.319,0.55,0.404
PB_131771_PB_142215_PB_142250,0.574,0.065,0.112,0.275,0.325,2,265,0.883,0.532,1,1.875,1396,39907,0.326,0.483,0.387,0.195,0.612,0.227,0.249,0.281,0.501,0.283,0.336,0.607,0.452,0.173,0.349,0.552,0.325
PB_131771_PB_142215_PB_142256,0.494,0.099,0.079,0.372,0.316,2,265,0.948,0.532,0.922,2.252,1826,39907,0.339,0.494,0.362,0.211,0.557,0.186,0.191,0.314,0.404,0.225,0.299,0.498,0.494,0.276,0.387,0.56,0.266
PB_131771_PB_142233_PB_142250,0.582,0.072,0.114,0.313,0.337,1,265,0.882,0.532,1,2.066,1620,39907,0.331,0.49,0.439,0.182,0.615,0.232,0.261,0.296,0.505,0.292,0.336,0.609,0.481,0.187,0.373,0.557,0.335
PB_131771_PB_142233_PB_142256,0.494,0.088,0.09,0.392,0.322,1,265,0.941,0.532,0.922,2.362,2050,39907,0.341,0.498,0.404,0.192,0.563,0.193,0.176,0.333,0.405,0.225,0.306,0.498,0.517,0.23,0.401,0.563,0.266
PB_131771_PB_142243_PB_142250,0.556,0.068,0.147,0.226,0.311,2,265,0.851,0.532,1,1.952,1514,39907,0.318,0.472,0.35,0.204,0.609,0.232,0.288,0.304,0.501,0.315,0.39,0.604,0.417,0.174,0.314,0.55,0.315
