network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_11437_PB_11720,0.36,0.134,0.093,0.199,0.221,7,10745,0.982,0.914,0.964,0.981,21892,51068,0.246,0.383,0.151,0.178,0.162,0.133,0.359,0.396,0.195,0.256,0.365,0.371,0.341,0.353,0.316,0.313,0.181
PB_11437_PB_11736,0.316,0.222,0.046,0.193,0.217,7,10745,0.988,0.914,0.895,0.9,21639,51068,0.279,0.392,0.184,0.111,0.204,0.181,0.323,0.4,0.228,0.29,0.329,0.35,0.31,0.314,0.344,0.303,0.192
PB_11437_PB_11818,0.358,0.134,0.094,0.199,0.221,7,10745,0.982,0.914,0.964,0.982,21917,51068,0.246,0.383,0.151,0.179,0.162,0.133,0.359,0.396,0.195,0.256,0.365,0.371,0.342,0.353,0.316,0.313,0.182
PB_11437_PB_11882,0.359,0.134,0.093,0.199,0.221,7,10745,0.982,0.914,0.964,0.981,21904,51068,0.246,0.383,0.151,0.179,0.162,0.133,0.359,0.396,0.195,0.256,0.365,0.371,0.342,0.353,0.316,0.312,0.182
PB_11437_PB_12050,0.262,0.106,0.128,0.152,0.173,6,10745,0.974,0.914,0.946,0.966,21976,51068,0.297,0.393,0.139,0.144,0.154,0.123,0.375,0.4,0.236,0.292,0.369,0.384,0.365,0.369,0.348,0.329,0.25
PB_11437_PB_12986,0.26,0.182,0.273,0.15,0.222,4,10745,0.988,0.914,0.561,0.561,21507,51068,0.136,0.174,0.196,0.15,0.122,0.298,0.186,0.19,0.166,0.177,0.212,0.213,0.139,0.146,0.155,0.114,0.227
PB_11437_PB_14204,0.118,0.055,0.217,0.118,0.14,2,10745,0.975,0.914,0.747,0.755,22150,51068,0.113,0.236,0.105,0.191,0.062,0.201,0.176,0.244,0.149,0.224,0.248,0.247,0.253,0.133,0.147,0.169,0.112
PB_11437_PB_19825,0.315,0.223,0.047,0.193,0.217,7,10745,0.988,0.914,0.893,0.893,21521,51068,0.279,0.392,0.186,0.111,0.205,0.182,0.322,0.4,0.227,0.29,0.327,0.348,0.308,0.313,0.345,0.303,0.191
PB_11437_PB_226343,0.156,0.081,0.05,0.109,0.106,1,10745,0.96,0.914,0.841,0.842,21506,51068,0.123,0.135,0.07,0.028,0.076,0.109,0.186,0.105,0.167,0.206,0.181,0.13,0.143,0.118,0.204,0.128,0.146
PB_11437_PB_230609,0.165,0.083,0.042,0.114,0.111,1,10745,0.961,0.914,0.817,0.817,21513,51068,0.123,0.135,0.066,0.028,0.067,0.118,0.186,0.102,0.167,0.195,0.182,0.128,0.132,0.119,0.202,0.128,0.152
