network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_52483_PB_56953,0.574,0.041,0.199,0.161,0.315,4,586,0.985,0.94,0.994,1.038,1223,20323,0.235,0.268,0.21,0.414,0.177,0.201,0.168,0.312,0.354,0.327,0.56,0.182,0.374,0.299,0.377,0.343,0.264
PB_44142_PB_55020,0.271,0.118,0.139,0.1,0.171,1,586,0.88,0.94,0.783,0.8,1198,20323,0.126,0.407,0.115,0.201,0.127,0.106,0.123,0.655,0.338,0.177,0.107,0.258,0.173,0.578,0.442,0.609,0.385
PB_24589_PB_49193,0.452,0.079,0.145,0.196,0.26,7,586,0.947,0.94,1,1.018,1192,20323,0.277,0.322,0.226,0.161,0.176,0.21,0.356,0.147,0.368,0.298,0.424,0.298,0.192,0.181,0.267,0.252,0.235
PB_50891_PB_57771,0.469,0.163,0.142,0.131,0.266,5,586,0.839,0.94,0.866,0.873,1181,20323,0.481,0.513,0.221,0.342,0.298,0.139,0.147,0.535,0.521,0.44,0.581,0.355,0.267,0.481,0.356,0.608,0.356
PB_52458_PB_76807,0.671,0.202,0.042,0.037,0.351,3,586,0.763,0.94,0.736,0.761,1211,20323,0.188,0.228,0.128,0.296,0.254,0.26,0.281,0.23,0.511,0.274,0.563,0.25,0.386,0.297,0.269,0.338,0.287
PB_51755_PB_80607,0.505,0.062,0.09,0.117,0.265,3,586,0.915,0.94,0.645,0.644,1181,20323,0.289,0.288,0.307,0.355,0.417,0.164,0.276,0.176,0.442,0.386,0.544,0.167,0.426,0.306,0.308,0.285,0.216
PB_61403_PB_62679,0.77,0.232,0.145,0.287,0.433,6,586,0.8,0.94,0.836,0.894,1253,20323,0.35,0.498,0.104,0.396,0.154,0.324,0.308,0.476,0.639,0.384,0.569,0.342,0.468,0.464,0.327,0.672,0.24
PB_46813_PB_56050,0.385,0.052,0.316,0.148,0.261,6,586,0.894,0.94,0.911,0.956,1237,20323,0.25,0.194,0.249,0.235,0.328,0.249,0.229,0.427,0.21,0.219,0.188,0.236,0.232,0.485,0.279,0.447,0.288
PB_26814_PB_52411,0.21,0.033,0.092,0.19,0.15,4,586,0.967,0.94,1.001,1.01,1181,20323,0.22,0.227,0.093,0.201,0.092,0.173,0.344,0.185,0.314,0.195,0.35,0.188,0.247,0.163,0.226,0.251,0.199
PB_26814_PB_53620,0.51,0.222,0.103,0.129,0.29,6,586,0.963,0.94,1,1.014,1187,20323,0.374,0.346,0.197,0.33,0.218,0.156,0.203,0.296,0.38,0.401,0.372,0.118,0.273,0.241,0.151,0.368,0.263
