network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_15862_PB_142433_PB_142482,0.391,0.027,0.261,0.246,0.266,5,3502,0.92,0.838,0.727,0.728,10554,92016,0.477,0.487,0.182,0.217,0.136,0.094,0.35,0.498,0.13,0.306,0.201,0.444,0.316,0.348,0.379,0.504,0.47
PB_15862_PB_20406_PB_21122,0.212,0.11,0.054,0.368,0.221,4,3502,0.974,0.838,0.726,0.735,10616,92016,0.409,0.425,0.142,0.107,0.264,0.244,0.377,0.507,0.123,0.346,0.327,0.319,0.551,0.404,0.535,0.444,0.555
PB_15862_PB_20406_PB_23336,0.236,0.121,0.027,0.352,0.221,4,3502,0.955,0.838,0.568,0.575,10607,92016,0.47,0.486,0.189,0.116,0.273,0.261,0.342,0.585,0.138,0.354,0.275,0.366,0.558,0.374,0.536,0.407,0.562
PB_15862_PB_20406_PB_24038,0.352,0.147,0.081,0.357,0.264,3,3502,0.937,0.838,0.674,0.687,10668,92016,0.308,0.339,0.284,0.215,0.296,0.28,0.384,0.516,0.157,0.403,0.435,0.328,0.601,0.446,0.562,0.481,0.573
PB_15862_PB_20406_PB_24763,0.215,0.119,0.046,0.367,0.222,4,3502,0.973,0.838,0.724,0.734,10622,92016,0.433,0.438,0.184,0.127,0.266,0.245,0.316,0.551,0.14,0.352,0.229,0.363,0.557,0.368,0.498,0.375,0.556
PB_15862_PB_20406_PB_25705,0.362,0.146,0.072,0.36,0.268,4,3502,0.94,0.838,0.643,0.651,10611,92016,0.31,0.35,0.271,0.197,0.289,0.28,0.398,0.516,0.157,0.414,0.434,0.328,0.6,0.427,0.562,0.459,0.573
PB_15862_PB_20406_PB_28108,0.364,0.143,0.021,0.325,0.254,4,3502,0.954,0.838,0.609,0.62,10658,92016,0.484,0.49,0.169,0.104,0.263,0.274,0.25,0.51,0.122,0.362,0.388,0.427,0.528,0.268,0.559,0.373,0.571
PB_15862_PB_20406_PB_29342,0.134,0.133,0.119,0.38,0.22,3,3502,0.957,0.838,0.709,0.726,10682,92016,0.38,0.377,0.228,0.187,0.256,0.246,0.256,0.516,0.18,0.254,0.125,0.403,0.531,0.316,0.399,0.316,0.489
PB_15862_PB_20406_PB_30196,0.361,0.142,0.096,0.333,0.26,3,3502,0.96,0.838,0.424,0.431,10599,92016,0.383,0.393,0.146,0.098,0.262,0.278,0.418,0.557,0.19,0.451,0.394,0.301,0.555,0.38,0.555,0.372,0.569
PB_15862_PB_20406_PB_31382,0.175,0.083,0.181,0.233,0.176,1,3502,0.949,0.838,0.726,0.78,10967,92016,0.325,0.324,0.106,0.165,0.068,0.065,0.227,0.38,0.179,0.204,0.127,0.329,0.291,0.235,0.37,0.323,0.421
PB_15862_PB_20406_PB_33653,0.382,0.158,0.107,0.367,0.282,4,3502,0.932,0.838,0.716,0.786,11106,92016,0.377,0.394,0.283,0.222,0.292,0.278,0.326,0.52,0.106,0.365,0.426,0.335,0.587,0.384,0.565,0.449,0.575
PB_15862_PB_20406_PB_33782,0.231,0.065,0.167,0.254,0.194,1,3502,0.947,0.838,0.726,0.736,10616,92016,0.392,0.393,0.061,0.126,0.085,0.086,0.236,0.405,0.192,0.24,0.151,0.367,0.325,0.246,0.394,0.322,0.484
PB_15862_PB_20406_PB_40979,0.192,0.082,0.085,0.336,0.202,2,3502,0.947,0.838,0.562,0.576,10755,92016,0.196,0.195,0.165,0.096,0.263,0.247,0.233,0.3,0.182,0.189,0.335,0.127,0.259,0.23,0.218,0.287,0.229
PB_15862_PB_21122_PB_142433,0.235,0.063,0.166,0.253,0.194,1,3502,0.948,0.838,0.727,0.731,10576,92016,0.39,0.391,0.061,0.128,0.085,0.085,0.237,0.408,0.192,0.235,0.146,0.367,0.324,0.247,0.392,0.322,0.481
PB_15862_PB_21122_PB_142482,0.23,0.07,0.157,0.25,0.19,1,3502,0.947,0.838,0.727,0.731,10577,92016,0.369,0.377,0.064,0.127,0.083,0.071,0.237,0.4,0.172,0.242,0.161,0.362,0.334,0.245,0.417,0.322,0.482
PB_15862_PB_21122_PB_22702,0.132,0.098,0.115,0.354,0.203,2,3502,0.963,0.838,0.621,0.627,10591,92016,0.264,0.269,0.084,0.136,0.183,0.141,0.297,0.34,0.127,0.359,0.365,0.193,0.407,0.266,0.505,0.317,0.417
PB_15862_PB_21122_PB_23336,0.236,0.122,0.028,0.352,0.221,4,3502,0.955,0.838,0.568,0.573,10590,92016,0.469,0.485,0.191,0.118,0.273,0.261,0.344,0.588,0.137,0.353,0.274,0.365,0.557,0.376,0.536,0.409,0.562
PB_15862_PB_21122_PB_24763,0.215,0.12,0.047,0.367,0.222,4,3502,0.973,0.838,0.724,0.732,10605,92016,0.432,0.437,0.186,0.129,0.266,0.245,0.317,0.554,0.14,0.352,0.227,0.362,0.557,0.369,0.498,0.377,0.556
PB_15862_PB_21122_PB_25705,0.363,0.146,0.073,0.36,0.268,4,3502,0.94,0.838,0.643,0.649,10594,92016,0.309,0.349,0.273,0.199,0.29,0.28,0.399,0.517,0.159,0.416,0.434,0.327,0.6,0.429,0.562,0.461,0.573
PB_15862_PB_21122_PB_29342,0.134,0.133,0.12,0.38,0.22,3,3502,0.957,0.838,0.71,0.724,10665,92016,0.379,0.376,0.229,0.189,0.256,0.246,0.257,0.518,0.179,0.253,0.123,0.402,0.53,0.317,0.399,0.316,0.489
PB_15862_PB_21122_PB_30196,0.362,0.142,0.096,0.333,0.26,3,3502,0.961,0.838,0.425,0.429,10582,92016,0.382,0.393,0.146,0.098,0.262,0.278,0.419,0.559,0.191,0.453,0.393,0.3,0.554,0.382,0.555,0.373,0.568
