network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_16653_PB_27835_PB_14660,0.135,0.125,0.124,0.054,0.114,5,3240,1,0.974,0.926,0.937,9833,19583,0.373,0.357,0.061,0.138,0.127,0.047,0.26,0.324,0.264,0.423,0.328,0.38,0.389,0.176,0.083,0.411,0.117
PB_16247_PB_34838_PB_38165,0.157,0.172,0.052,0.072,0.125,2,3240,0.993,0.974,0.455,0.459,9755,19583,0.373,0.35,0.304,0.083,0.322,0.141,0.159,0.286,0.247,0.1,0.086,0.306,0.367,0.34,0.154,0.367,0.227
PB_17920_PB_26800_PB_23094,0.123,0.211,0.137,0.073,0.145,3,3240,0.999,0.974,0.73,0.743,9835,19583,0.119,0.113,0.192,0.133,0.17,0.097,0.175,0.139,0.284,0.138,0.132,0.113,0.085,0.089,0.138,0.109,0.154
PB_16247_PB_17920_PB_29074,0.161,0.158,0.089,0.057,0.125,1,3240,0.995,0.974,0.606,0.613,9779,19583,0.288,0.289,0.087,0.069,0.154,0.075,0.149,0.268,0.202,0.118,0.116,0.295,0.306,0.258,0.15,0.28,0.179
PB_20054_PB_29074_PB_31969,0.092,0.041,0.05,0.029,0.058,2,3240,0.991,0.974,0.891,0.902,9833,19583,0.105,0.111,0.065,0.098,0.044,0.083,0.081,0.06,0.183,0.111,0.054,0.11,0.054,0.084,0.066,0.067,0.158
PB_110_PB_24895_PB_34889,0.354,0.136,0.087,0.07,0.198,1,3240,0.987,0.974,0.53,0.535,9764,19583,0.081,0.062,0.198,0.047,0.229,0.2,0.129,0.256,0.112,0.223,0.105,0.142,0.159,0.237,0.186,0.089,0.072
PB_25640_PB_26614_PB_27979,0.325,0.3,0.268,0.185,0.275,14,3240,0.998,0.974,0.267,0.268,9744,19583,0.695,0.642,0.617,0.246,0.696,0.464,0.141,0.699,0.657,0.493,0.246,0.657,0.707,0.43,0.412,0.655,0.724
PB_182_PB_22671_PB_36928,0.069,0.254,0.124,0.103,0.154,6,3240,0.994,0.974,0.466,0.479,9850,19583,0.418,0.387,0.346,0.144,0.417,0.218,0.093,0.424,0.491,0.266,0.108,0.441,0.432,0.245,0.233,0.367,0.428
PB_609_PB_20197_PB_25997,0.296,0.136,0.064,0.054,0.168,0,3240,0.998,0.974,0.455,0.462,9797,19583,0.204,0.162,0.174,0.035,0.183,0.094,0.211,0.15,0.246,0.129,0.145,0.157,0.173,0.261,0.125,0.152,0.181
PB_609_PB_27835_PB_29074,0.291,0.057,0.173,0.067,0.175,2,3240,0.994,0.974,0.604,0.606,9765,19583,0.141,0.087,0.087,0.128,0.204,0.062,0.09,0.142,0.11,0.271,0.074,0.171,0.178,0.276,0.141,0.16,0.146
PB_17870_PB_26614_PB_27581,0.127,0.198,0.087,0.118,0.139,5,3240,0.994,0.974,0.657,0.661,9765,19583,0.279,0.276,0.28,0.166,0.362,0.159,0.066,0.331,0.385,0.263,0.094,0.361,0.361,0.206,0.259,0.287,0.372
PB_26614_PB_30162_PB_39252,0.317,0.148,0.122,0.087,0.19,3,3240,0.998,0.974,0.524,0.532,9793,19583,0.131,0.045,0.388,0.119,0.417,0.372,0.159,0.191,0.192,0.187,0.261,0.164,0.113,0.089,0.204,0.133,0.238
PB_110_PB_39822_PB_23753,0.448,0.131,0.145,0.144,0.255,2,3240,0.993,0.974,0.612,0.613,9735,19583,0.156,0.201,0.159,0.103,0.17,0.219,0.132,0.21,0.3,0.11,0.16,0.192,0.251,0.129,0.091,0.177,0.241
PB_18872_PB_22671_PB_38165,0.262,0.19,0.039,0.105,0.171,4,3240,0.986,0.974,0.669,0.685,9879,19583,0.237,0.248,0.278,0.124,0.374,0.158,0.191,0.292,0.371,0.256,0.064,0.352,0.325,0.248,0.201,0.317,0.312
PB_16653_PB_29074_PB_43186,0.235,0.09,0.126,0.097,0.149,0,3240,0.995,0.974,0.779,0.783,9767,19583,0.086,0.078,0.035,0.181,0.124,0.069,0.162,0.073,0.139,0.272,0.11,0.18,0.12,0.11,0.096,0.133,0.079
PB_17089_PB_28955_PB_34889,0.14,0.071,0.035,0.055,0.085,3,3240,0.992,0.974,0.767,0.774,9780,19583,0.086,0.094,0.148,0.065,0.173,0.091,0.075,0.062,0.171,0.102,0.079,0.135,0.059,0.132,0.065,0.099,0.157
PB_24895_PB_35153_PB_39252,0.279,0.128,0.136,0.107,0.176,7,3240,0.992,0.974,0.563,0.568,9790,19583,0.196,0.217,0.225,0.139,0.241,0.255,0.206,0.112,0.076,0.174,0.15,0.133,0.172,0.202,0.113,0.146,0.077
PB_25997_PB_38900_PB_23094,0.153,0.223,0.048,0.063,0.141,1,3240,0.994,0.974,0.531,0.538,9826,19583,0.299,0.257,0.328,0.056,0.365,0.191,0.099,0.312,0.286,0.189,0.062,0.357,0.319,0.24,0.134,0.291,0.252
PB_30073_PB_32725_PB_43279,0.355,0.203,0.061,0.105,0.213,7,3240,0.984,0.974,0.485,0.49,9785,19583,0.494,0.423,0.451,0.121,0.555,0.316,0.312,0.513,0.455,0.533,0.149,0.59,0.646,0.419,0.292,0.599,0.44
PB_16247_PB_32725_PB_25611,0.158,0.147,0.067,0.051,0.116,1,3240,0.995,0.974,0.562,0.562,9726,19583,0.272,0.277,0.196,0.04,0.232,0.068,0.167,0.217,0.198,0.108,0.101,0.305,0.306,0.276,0.147,0.262,0.164
PB_30073_PB_39252_PB_14660,0.219,0.117,0.043,0.059,0.129,1,3240,0.992,0.974,0.71,0.722,9843,19583,0.054,0.092,0.13,0.077,0.182,0.147,0.046,0.066,0.105,0.182,0.041,0.113,0.085,0.043,0.134,0.028,0.079
PB_609_PB_21924_PB_35727,0.349,0.111,0.039,0.061,0.187,2,3240,0.996,0.974,0.382,0.382,9752,19583,0.252,0.166,0.284,0.068,0.315,0.226,0.171,0.203,0.212,0.271,0.311,0.182,0.196,0.345,0.226,0.23,0.287
PB_24895_PB_26529_PB_34889,0.163,0.189,0.099,0.121,0.147,5,3240,0.992,0.974,0.567,0.572,9755,19583,0.331,0.313,0.307,0.122,0.395,0.188,0.148,0.376,0.4,0.301,0.081,0.384,0.397,0.261,0.242,0.341,0.343
PB_609_PB_26614_PB_29074,0.352,0.152,0.106,0.061,0.201,2,3240,0.994,0.974,0.344,0.345,9762,19583,0.45,0.376,0.289,0.136,0.399,0.203,0.056,0.439,0.272,0.502,0.124,0.433,0.51,0.428,0.311,0.451,0.338
PB_18872_PB_35768_PB_38900,0.36,0.148,0.09,0.061,0.202,1,3240,0.99,0.974,0.605,0.612,9831,19583,0.206,0.188,0.192,0.148,0.31,0.143,0.184,0.189,0.142,0.33,0.111,0.266,0.251,0.167,0.153,0.272,0.15
PB_27835_PB_36928_PB_38900,0.322,0.185,0.066,0.092,0.194,2,3240,0.994,0.974,0.485,0.488,9800,19583,0.352,0.262,0.446,0.059,0.492,0.328,0.134,0.369,0.256,0.312,0.171,0.39,0.382,0.303,0.222,0.379,0.336
PB_17920_PB_37135_PB_14660,0.166,0.167,0.06,0.068,0.126,6,3240,0.991,0.974,0.644,0.658,9847,19583,0.218,0.116,0.349,0.106,0.412,0.21,0.07,0.303,0.304,0.165,0.227,0.247,0.263,0.266,0.198,0.362,0.362
PB_27581_PB_30073_PB_43186,0.254,0.098,0.154,0.078,0.161,5,3240,0.992,0.974,0.799,0.806,9791,19583,0.199,0.177,0.039,0.234,0.123,0.067,0.215,0.148,0.137,0.357,0.231,0.278,0.271,0.085,0.115,0.273,0.136
PB_21924_PB_26614_PB_35768,0.326,0.122,0.051,0.044,0.177,2,3240,0.998,0.974,0.598,0.599,9746,19583,0.151,0.081,0.263,0.107,0.326,0.209,0.085,0.201,0.196,0.265,0.121,0.219,0.131,0.145,0.158,0.149,0.244
PB_31279_PB_37206_PB_37851,0.333,0.173,0.139,0.078,0.204,3,3240,0.998,0.974,0.489,0.491,9782,19583,0.14,0.042,0.445,0.147,0.463,0.414,0.183,0.224,0.236,0.192,0.279,0.166,0.123,0.105,0.221,0.175,0.277
PB_16653_PB_25464_PB_38900,0.155,0.119,0.037,0.062,0.104,2,3240,0.994,0.974,0.683,0.685,9800,19583,0.105,0.09,0.151,0.115,0.232,0.099,0.099,0.114,0.201,0.134,0.075,0.186,0.121,0.163,0.124,0.161,0.21
PB_17920_PB_26652_PB_30073,0.075,0.069,0.024,0.047,0.057,2,3240,0.994,0.974,0.918,0.928,9827,19583,0.076,0.078,0.067,0.076,0.029,0.053,0.049,0.06,0.067,0.126,0.078,0.104,0.081,0.053,0.045,0.078,0.101
PB_31406_PB_39252_PB_23094,0.24,0.198,0.092,0.069,0.166,2,3240,0.997,0.974,0.556,0.559,9753,19583,0.095,0.066,0.29,0.109,0.316,0.26,0.133,0.079,0.216,0.114,0.125,0.133,0.079,0.056,0.118,0.088,0.119
PB_110_PB_15754_PB_35153,0.478,0.176,0.047,0.123,0.263,2,3240,0.993,0.974,0.48,0.491,9837,19583,0.243,0.266,0.265,0.129,0.239,0.326,0.32,0.197,0.3,0.199,0.319,0.283,0.28,0.068,0.146,0.274,0.206
PB_15154_PB_24895_PB_41589,0.082,0.128,0.116,0.113,0.111,5,3240,0.991,0.974,0.647,0.656,9798,19583,0.096,0.116,0.225,0.096,0.28,0.114,0.109,0.214,0.232,0.102,0.154,0.12,0.115,0.14,0.151,0.224,0.282
PB_25997_PB_36928_PB_40642,0.338,0.161,0.114,0.095,0.201,3,3240,0.996,0.974,0.514,0.522,9780,19583,0.144,0.057,0.42,0.137,0.439,0.413,0.149,0.199,0.176,0.191,0.294,0.159,0.128,0.096,0.206,0.135,0.244
PB_21924_PB_31969_PB_35727,0.239,0.149,0.132,0.09,0.162,4,3240,0.997,0.974,0.705,0.712,9780,19583,0.236,0.154,0.35,0.143,0.358,0.264,0.121,0.311,0.259,0.136,0.306,0.21,0.212,0.209,0.192,0.208,0.367
PB_15754_PB_38165_PB_40581,0.346,0.173,0.045,0.077,0.198,3,3240,0.994,0.974,0.497,0.508,9820,19583,0.111,0.069,0.352,0.066,0.405,0.305,0.049,0.12,0.079,0.19,0.194,0.159,0.136,0.104,0.173,0.177,0.108
PB_18024_PB_36865_PB_41023,0.331,0.255,0.022,0.101,0.215,1,3240,0.994,0.974,0.423,0.424,9737,19583,0.312,0.245,0.377,0.12,0.465,0.31,0.084,0.328,0.22,0.334,0.152,0.398,0.409,0.168,0.222,0.367,0.188
PB_110_PB_35752_PB_14660,0.478,0.176,0.047,0.125,0.263,2,3240,0.992,0.974,0.484,0.493,9799,19583,0.241,0.263,0.272,0.127,0.246,0.324,0.326,0.196,0.299,0.198,0.318,0.281,0.278,0.07,0.153,0.272,0.209
PB_110_PB_21924_PB_28548,0.338,0.165,0.021,0.048,0.19,2,3240,0.993,0.974,0.464,0.466,9759,19583,0.173,0.093,0.327,0.149,0.313,0.327,0.154,0.185,0.168,0.134,0.31,0.108,0.099,0.279,0.203,0.112,0.222
PB_16653_PB_18872_PB_37206,0.098,0.16,0.115,0.072,0.116,4,3240,0.996,0.974,0.634,0.641,9847,19583,0.14,0.106,0.221,0.105,0.269,0.119,0.132,0.234,0.251,0.109,0.191,0.19,0.134,0.157,0.184,0.178,0.297
PB_609_PB_38900_PB_43279,0.504,0.158,0.134,0.114,0.278,6,3240,0.987,0.974,0.114,0.116,9812,19583,0.467,0.362,0.479,0.093,0.566,0.352,0.075,0.455,0.293,0.512,0.195,0.438,0.511,0.534,0.329,0.543,0.375
PB_20197_PB_28548_PB_23094,0.095,0.361,0.2,0.119,0.22,10,3240,0.998,0.974,0.304,0.306,9754,19583,0.67,0.645,0.522,0.225,0.592,0.33,0.114,0.652,0.689,0.348,0.142,0.619,0.637,0.38,0.314,0.6,0.588
PB_31969_PB_43279_PB_23753,0.26,0.137,0.065,0.105,0.159,6,3240,0.992,0.974,0.67,0.676,9788,19583,0.192,0.085,0.435,0.105,0.441,0.308,0.085,0.281,0.339,0.141,0.223,0.225,0.235,0.253,0.156,0.372,0.394
PB_31279_PB_31969_PB_38900,0.287,0.107,0.044,0.057,0.157,4,3240,0.995,0.974,0.758,0.765,9836,19583,0.175,0.125,0.266,0.098,0.321,0.185,0.161,0.177,0.158,0.203,0.079,0.248,0.21,0.223,0.124,0.244,0.208
