network,ks_cmi,ks_gpp,ks_led,bc_lcc,distance,sumGap90,mdr,intact,intact_eco,coverage,overlap,net_km2,eco_km2,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr
PB_444_PB_99060,0.388,0.093,0.234,0.268,0.267,1,111,0.998,0.99,0.927,3.698,745,64034,0.375,0.478,0.438,0.42,0.391,0.559,0.617,0.626,0.514,0.513,0.577,0.383,0.405,0.474,0.439,0.499,0.44
PB_64001_PB_246258,0.516,0.174,0.223,0.283,0.326,5,111,1.002,0.99,0.982,1.19,266,64034,0.773,0.658,0.235,0.224,0.233,0.303,0.542,0.794,0.537,0.52,0.513,0.254,0.725,0.438,0.472,0.596,0.582
PB_65194_PB_73231,0.516,0.295,0.416,0.365,0.406,4,111,1.012,0.99,0.843,1.19,298,64034,0.405,0.33,0.483,0.242,0.428,0.423,0.65,0.595,0.642,0.676,0.572,0.243,0.65,0.656,0.296,0.703,0.476
PB_96888_PB_242405,0.406,0.143,0.257,0.201,0.27,5,111,1.009,0.99,0.91,1.077,262,64034,0.572,0.637,0.579,0.21,0.625,0.587,0.348,0.428,0.334,0.331,0.297,0.406,0.361,0.349,0.584,0.256,0.476
PB_4157_PB_4267,0.341,0.154,0.169,0.245,0.239,3,111,1.011,0.99,0.875,1.058,260,64034,0.393,0.503,0.364,0.226,0.352,0.337,0.422,0.485,0.38,0.508,0.521,0.422,0.434,0.48,0.322,0.508,0.675
PB_75_PB_622,0.312,0.234,0.264,0.149,0.247,4,111,0.987,0.99,1.002,1.17,255,64034,0.448,0.486,0.448,0.305,0.431,0.515,0.595,0.572,0.612,0.605,0.537,0.57,0.507,0.65,0.466,0.367,0.381
PB_102242_PB_244865,0.475,0.215,0.303,0.176,0.314,1,111,0.997,0.99,0.785,0.884,257,64034,0.258,0.352,0.321,0.512,0.348,0.295,0.284,0.265,0.454,0.54,0.277,0.184,0.447,0.507,0.545,0.354,0.327
PB_98994_PB_246242,0.396,0.074,0.295,0.167,0.263,0,111,1.017,0.99,0.866,1.623,419,64034,0.285,0.157,0.336,0.287,0.324,0.305,0.221,0.31,0.368,0.303,0.342,0.273,0.41,0.195,0.419,0.363,0.294
PB_835_PB_244695,0.516,0.222,0.175,0.34,0.34,5,111,0.977,0.99,1,1.446,313,64034,0.257,0.39,0.17,0.381,0.19,0.183,0.536,0.511,0.557,0.526,0.529,0.154,0.531,0.375,0.354,0.514,0.302
PB_97056_PB_99100,0.484,0.157,0.32,0.271,0.33,2,111,0.993,0.99,0.998,1.46,304,64034,0.243,0.451,0.581,0.172,0.569,0.687,0.666,0.715,0.613,0.612,0.656,0.271,0.557,0.695,0.592,0.57,0.49
PB_63781_PB_100090,0.341,0.201,0.457,0.403,0.363,5,111,0.986,0.99,0.94,1.251,296,64034,0.77,0.805,0.493,0.263,0.534,0.468,0.398,0.502,0.301,0.336,0.429,0.251,0.335,0.234,0.488,0.528,0.587
PB_6350_PB_97891,0.688,0.153,0.188,0.434,0.424,4,111,0.998,0.99,0.998,1.149,253,64034,0.637,0.712,0.371,0.586,0.337,0.338,0.664,0.53,0.646,0.632,0.548,0.626,0.582,0.7,0.407,0.635,0.736
PB_95327_PB_97891,0.484,0.128,0.229,0.42,0.346,6,111,0.996,0.99,1,1.133,249,64034,0.712,0.83,0.319,0.273,0.325,0.338,0.607,0.638,0.628,0.611,0.626,0.439,0.595,0.376,0.352,0.394,0.892
PB_692_PB_244337,0.361,0.173,0.223,0.23,0.256,4,111,1.001,0.99,1.001,1.198,263,64034,0.379,0.285,0.274,0.363,0.279,0.417,0.606,0.621,0.595,0.605,0.579,0.465,0.565,0.373,0.282,0.628,0.249
PB_889_PB_4615,0.415,0.175,0.216,0.336,0.301,4,111,0.997,0.99,0.999,2.005,416,64034,0.419,0.514,0.618,0.291,0.579,0.718,0.422,0.436,0.447,0.448,0.396,0.607,0.364,0.351,0.417,0.295,0.509
PB_98994_PB_244214,0.517,0.149,0.21,0.165,0.3,1,111,1.009,0.99,0.941,1.433,330,64034,0.188,0.28,0.442,0.435,0.444,0.305,0.328,0.219,0.51,0.441,0.338,0.241,0.321,0.372,0.561,0.327,0.28
PB_4656_PB_245075,0.325,0.153,0.44,0.193,0.3,2,111,0.996,0.99,0.896,1.447,336,64034,0.441,0.324,0.469,0.207,0.441,0.57,0.35,0.496,0.339,0.296,0.479,0.379,0.438,0.401,0.315,0.407,0.237
PB_616_PB_98570,0.379,0.205,0.258,0.362,0.31,5,111,0.972,0.99,1.001,1.513,310,64034,0.368,0.424,0.209,0.403,0.248,0.213,0.309,0.262,0.257,0.24,0.323,0.27,0.369,0.403,0.248,0.295,0.472
PB_95445_PB_95760,0.484,0.183,0.349,0.446,0.384,8,111,0.998,0.99,1.002,1.032,227,64034,0.53,0.604,0.486,0.411,0.496,0.441,0.644,0.609,0.677,0.619,0.67,0.513,0.858,0.408,0.591,0.55,0.786
PB_95110_PB_95584,0.341,0.187,0.442,0.34,0.34,7,111,0.98,0.99,1,1.429,300,64034,0.618,0.534,0.367,0.38,0.379,0.323,0.537,0.591,0.556,0.562,0.64,0.244,0.537,0.344,0.646,0.459,0.65
PB_1450_PB_64519,0.509,0.15,0.214,0.138,0.294,4,111,0.978,0.99,0.998,1.381,291,64034,0.43,0.451,0.337,0.244,0.282,0.39,0.48,0.517,0.513,0.48,0.517,0.324,0.463,0.464,0.392,0.278,0.318
PB_528_PB_4662,0.312,0.169,0.429,0.24,0.303,5,111,0.971,0.99,0.999,1.299,288,64034,0.403,0.429,0.379,0.28,0.359,0.435,0.428,0.45,0.464,0.454,0.378,0.331,0.423,0.187,0.342,0.411,0.472
PB_4544_PB_4615,0.441,0.166,0.301,0.411,0.347,4,111,0.985,0.99,0.998,2.181,443,64034,0.544,0.612,0.744,0.663,0.729,0.638,0.485,0.514,0.49,0.508,0.519,0.517,0.535,0.669,0.36,0.426,0.672
PB_95428_PB_96715,0.484,0.14,0.332,0.14,0.31,5,111,1.003,0.99,0.999,1.216,269,64034,0.376,0.335,0.386,0.446,0.341,0.548,0.609,0.62,0.573,0.585,0.688,0.267,0.578,0.398,0.692,0.448,0.355
PB_96200_PB_96639,0.861,0.108,0.409,0.398,0.519,6,111,1.001,0.99,1.001,1.141,250,64034,0.659,0.866,0.31,0.451,0.305,0.481,0.709,0.752,0.914,0.803,0.643,0.593,0.676,0.341,0.491,0.365,0.862
PB_65666_PB_245075,0.632,0.319,0.243,0.345,0.412,4,111,0.997,0.99,1,1.539,330,64034,0.81,0.692,0.476,0.249,0.441,0.57,0.655,0.833,0.647,0.664,0.576,0.386,0.718,0.487,0.253,0.714,0.544
PB_913_PB_66823,0.312,0.056,0.335,0.201,0.252,3,111,0.995,0.99,0.878,1.307,320,64034,0.19,0.207,0.294,0.539,0.228,0.473,0.618,0.589,0.768,0.742,0.586,0.334,0.561,0.573,0.478,0.273,0.198
PB_65460_PB_98198,0.139,0.393,0.213,0.351,0.293,3,111,1.019,0.99,1.001,1.314,285,64034,0.415,0.663,0.33,0.213,0.32,0.324,0.264,0.326,0.315,0.244,0.292,0.406,0.298,0.295,0.424,0.27,0.635
PB_65666_PB_99789,0.43,0.204,0.29,0.277,0.311,3,111,1.018,0.99,0.929,1.101,262,64034,0.337,0.221,0.243,0.233,0.272,0.211,0.181,0.365,0.375,0.332,0.199,0.573,0.273,0.276,0.446,0.304,0.204
PB_99393_PB_101536,0.625,0.73,0.137,0.275,0.504,5,111,1.013,0.99,0.612,0.736,280,64034,0.435,0.442,0.701,0.585,0.742,0.661,0.725,0.746,0.749,0.73,0.631,0.251,0.662,0.735,0.504,0.626,0.354
PB_889_PB_67355,0.312,0.134,0.253,0.172,0.229,1,111,0.997,0.99,0.999,1.962,376,64034,0.253,0.295,0.616,0.234,0.579,0.689,0.631,0.612,0.685,0.657,0.536,0.309,0.609,0.539,0.559,0.436,0.351
PB_95943_PB_242097,0.471,0.317,0.319,0.312,0.361,2,111,0.979,0.99,0.64,0.709,287,64034,0.481,0.414,0.608,0.274,0.594,0.309,0.264,0.451,0.256,0.276,0.334,0.482,0.524,0.271,0.705,0.42,0.221
PB_66773_PB_96446,0.312,0.476,0.183,0.359,0.349,5,111,0.983,0.99,0.998,1.171,260,64034,0.571,0.632,0.281,0.243,0.249,0.213,0.247,0.327,0.347,0.436,0.294,0.565,0.357,0.289,0.376,0.463,0.677
PB_10019_PB_65708,0.272,0.178,0.161,0.255,0.222,2,111,1.017,0.99,0.774,1.099,292,64034,0.502,0.411,0.405,0.393,0.36,0.493,0.17,0.394,0.358,0.239,0.434,0.406,0.266,0.171,0.299,0.227,0.446
PB_69599_PB_71980,0.659,0.112,0.464,0.365,0.446,4,111,1.011,0.99,0.339,0.458,313,64034,0.4,0.458,0.782,0.402,0.663,0.8,0.612,0.589,0.913,0.772,0.616,0.564,0.649,0.576,0.513,0.775,0.511
PB_4662_PB_96446,0.341,0.148,0.415,0.165,0.291,4,111,0.988,0.99,0.999,1.264,279,64034,0.344,0.324,0.216,0.357,0.249,0.213,0.428,0.536,0.375,0.51,0.574,0.357,0.46,0.534,0.458,0.45,0.201
PB_70274_PB_96284,0.255,0.264,0.41,0.235,0.299,5,111,0.991,0.99,1.001,1.327,286,64034,0.431,0.439,0.225,0.261,0.223,0.311,0.163,0.276,0.294,0.261,0.26,0.332,0.327,0.371,0.267,0.283,0.237
PB_414_PB_65708,0.359,0.146,0.173,0.201,0.235,0,111,1.001,0.99,1.001,1.544,341,64034,0.39,0.298,0.526,0.37,0.536,0.504,0.602,0.589,0.651,0.633,0.582,0.557,0.618,0.503,0.294,0.52,0.356
PB_108_PB_97612,0.248,0.068,0.21,0.224,0.2,1,111,0.995,0.99,0.782,1.159,354,64034,0.303,0.244,0.365,0.255,0.362,0.376,0.495,0.487,0.408,0.504,0.442,0.614,0.328,0.432,0.528,0.273,0.301
PB_10019_PB_96731,0.798,0.262,0.203,0.281,0.454,3,111,1.003,0.99,0.668,0.978,302,64034,0.758,0.835,0.371,0.364,0.401,0.311,0.723,0.576,0.89,0.681,0.539,0.577,0.627,0.556,0.241,0.612,0.795
PB_97469_PB_97811,0.66,0.17,0.321,0.451,0.439,7,111,0.997,0.99,1,1.541,322,64034,0.323,0.383,0.322,0.307,0.314,0.644,0.718,0.629,0.803,0.724,0.728,0.238,0.642,0.509,0.589,0.572,0.511
PB_67337_PB_68127,0.659,0.179,0.325,0.325,0.412,4,111,1.011,0.99,0.839,1.075,292,64034,0.555,0.566,0.665,0.328,0.691,0.702,0.647,0.707,0.82,0.725,0.566,0.366,0.686,0.536,0.412,0.898,0.617
PB_95428_PB_97020,0.484,0.19,0.341,0.32,0.35,6,111,0.993,0.99,1,1.295,283,64034,0.681,0.716,0.342,0.493,0.336,0.548,0.615,0.614,0.641,0.617,0.688,0.483,0.872,0.523,0.581,0.448,0.779
PB_8465_PB_95889,0.53,0.129,0.479,0.342,0.401,4,111,0.982,0.99,0.999,1.913,416,64034,0.505,0.467,0.329,0.298,0.346,0.281,0.621,0.567,0.663,0.662,0.532,0.311,0.541,0.602,0.405,0.467,0.636
PB_97898_PB_244251,0.425,0.184,0.212,0.115,0.261,1,111,0.99,0.99,0.997,1.219,269,64034,0.555,0.488,0.3,0.317,0.307,0.283,0.224,0.42,0.342,0.356,0.412,0.316,0.51,0.257,0.535,0.315,0.336
PB_70689_PB_96830,0.139,0.269,0.177,0.232,0.21,2,111,0.987,0.99,1.001,1.207,262,64034,0.232,0.354,0.391,0.281,0.362,0.431,0.34,0.242,0.287,0.361,0.339,0.573,0.459,0.296,0.321,0.363,0.408
PB_66196_PB_241913,0.659,0.19,0.467,0.422,0.465,5,111,0.907,0.99,0.904,1.01,249,64034,0.681,0.624,0.505,0.196,0.435,0.526,0.604,0.786,0.611,0.563,0.725,0.434,0.822,0.471,0.299,0.758,0.538
PB_4627_PB_100952,0.685,0.254,0.273,0.367,0.431,6,111,0.996,0.99,0.998,1.501,330,64034,0.447,0.55,0.305,0.364,0.289,0.257,0.555,0.515,0.56,0.552,0.516,0.532,0.529,0.667,0.535,0.645,0.602
PB_67604_PB_242405,0.659,0.069,0.19,0.163,0.354,4,111,1.01,0.99,0.862,0.994,250,64034,0.532,0.566,0.266,0.252,0.283,0.318,0.58,0.719,0.577,0.547,0.639,0.214,0.674,0.458,0.234,0.678,0.548
PB_4816_PB_245519,0.393,0.323,0.136,0.187,0.279,5,111,1.006,0.99,0.611,0.656,239,64034,0.312,0.207,0.448,0.412,0.41,0.561,0.285,0.432,0.413,0.316,0.463,0.257,0.431,0.315,0.252,0.384,0.345
PB_4223_PB_72378,0.344,0.179,0.196,0.129,0.227,3,111,1.016,0.99,1.001,1.169,256,64034,0.353,0.392,0.294,0.391,0.31,0.239,0.409,0.45,0.494,0.446,0.419,0.139,0.288,0.41,0.449,0.378,0.271
PB_533_PB_1281,0.341,0.171,0.229,0.288,0.265,4,111,0.987,0.99,0.932,1.081,253,64034,0.556,0.598,0.67,0.276,0.636,0.842,0.598,0.55,0.586,0.58,0.548,0.72,0.501,0.788,0.541,0.365,0.511
PB_1450_PB_244802,0.509,0.115,0.173,0.121,0.281,4,111,1.001,0.99,0.998,1.385,293,64034,0.43,0.454,0.502,0.15,0.515,0.514,0.48,0.517,0.513,0.48,0.517,0.249,0.463,0.355,0.264,0.278,0.321
PB_539_PB_241913,0.512,0.21,0.167,0.322,0.331,6,111,0.979,0.99,0.902,1.082,265,64034,0.424,0.458,0.378,0.518,0.357,0.478,0.381,0.547,0.437,0.389,0.481,0.356,0.519,0.437,0.224,0.334,0.298
PB_66699_PB_95832,0.139,0.156,0.29,0.242,0.216,3,111,0.979,0.99,0.998,1.758,361,64034,0.535,0.544,0.328,0.269,0.304,0.291,0.332,0.257,0.305,0.374,0.374,0.56,0.454,0.406,0.449,0.329,0.41
PB_129328_PB_244945,0.659,0.231,0.126,0.227,0.373,4,111,0.963,0.99,0.588,0.712,274,64034,0.374,0.225,0.343,0.192,0.307,0.527,0.628,0.584,0.814,0.715,0.662,0.415,0.632,0.402,0.225,0.493,0.492
PB_97456_PB_99683,0.484,0.218,0.206,0.373,0.34,4,111,1.002,0.99,0.888,1.213,302,64034,0.456,0.625,0.61,0.246,0.55,0.786,0.76,0.766,0.678,0.659,0.779,0.785,0.62,0.799,0.821,0.7,0.553
PB_341_PB_245040,0.659,0.179,0.141,0.318,0.383,3,111,0.984,0.99,0.999,1.163,258,64034,0.225,0.232,0.353,0.429,0.35,0.496,0.654,0.572,0.715,0.719,0.701,0.21,0.579,0.365,0.272,0.333,0.332
PB_95421_PB_244722,0.312,0.161,0.206,0.323,0.26,1,111,0.992,0.99,0.998,1.588,344,64034,0.304,0.429,0.309,0.231,0.339,0.408,0.31,0.247,0.284,0.319,0.321,0.225,0.369,0.326,0.484,0.381,0.46
PB_5238_PB_70077,0.409,0.153,0.239,0.174,0.264,4,111,0.946,0.99,0.163,0.203,252,64034,0.464,0.449,0.66,0.541,0.576,0.718,0.186,0.41,0.478,0.279,0.435,0.317,0.373,0.304,0.454,0.41,0.411
PB_63735_PB_65881,0.516,0.259,0.661,0.346,0.472,7,111,1.004,0.99,1,1.018,225,64034,0.663,0.606,0.256,0.275,0.309,0.341,0.632,0.795,0.591,0.613,0.52,0.358,0.739,0.397,0.281,0.587,0.593
PB_64203_PB_68679,0.516,0.419,0.499,0.347,0.45,6,111,0.996,0.99,0.866,0.963,252,64034,0.347,0.361,0.384,0.406,0.363,0.353,0.615,0.718,0.534,0.615,0.609,0.185,0.665,0.494,0.414,0.731,0.568
PB_65591_PB_242097,0.624,0.423,0.6,0.406,0.523,6,111,1.002,0.99,0.639,0.655,277,64034,0.888,0.796,0.645,0.242,0.584,0.652,0.634,0.829,0.625,0.697,0.576,0.594,0.84,0.382,0.429,0.72,0.552
PB_65904_PB_99563,0.219,0.204,0.179,0.395,0.263,2,111,0.987,0.99,1.001,1.669,354,64034,0.634,0.79,0.553,0.448,0.512,0.615,0.543,0.566,0.446,0.403,0.577,0.368,0.371,0.437,0.637,0.474,0.689
PB_4468_PB_98081,0.615,0.109,0.221,0.294,0.362,2,111,1.004,0.99,0.999,1.941,406,64034,0.461,0.552,0.551,0.702,0.559,0.411,0.557,0.505,0.56,0.554,0.489,0.55,0.487,0.399,0.258,0.412,0.742
PB_71329_PB_73555,0.659,0.04,0.23,0.409,0.405,3,111,1.017,0.99,0.982,1.244,280,64034,0.511,0.514,0.539,0.194,0.561,0.605,0.639,0.586,0.886,0.769,0.671,0.506,0.638,0.74,0.561,0.685,0.477
PB_924_PB_66526,0.508,0.197,0.328,0.141,0.326,5,111,0.994,0.99,0.998,1.242,274,64034,0.363,0.438,0.475,0.431,0.504,0.514,0.481,0.517,0.513,0.48,0.517,0.259,0.463,0.527,0.499,0.278,0.307
PB_66773_PB_99675,0.148,0.385,0.493,0.294,0.353,3,111,0.988,0.99,0.774,0.926,269,64034,0.705,0.632,0.226,0.168,0.187,0.296,0.431,0.413,0.293,0.347,0.432,0.565,0.268,0.307,0.413,0.416,0.677
PB_72100_PB_129328,0.659,0.23,0.281,0.293,0.404,3,111,0.996,0.99,0.426,0.686,365,64034,0.429,0.458,0.462,0.212,0.377,0.558,0.638,0.584,0.936,0.772,0.616,0.562,0.569,0.655,0.513,0.618,0.511
PB_64608_PB_100636,0.21,0.281,0.397,0.306,0.306,4,111,1.014,0.99,0.985,1.455,323,64034,0.703,0.676,0.39,0.227,0.405,0.363,0.396,0.431,0.315,0.408,0.364,0.197,0.287,0.318,0.292,0.449,0.635
PB_919_PB_64519,0.322,0.265,0.469,0.145,0.322,3,111,0.992,0.99,0.588,0.565,271,64034,0.331,0.24,0.314,0.176,0.305,0.379,0.615,0.582,0.532,0.598,0.531,0.323,0.552,0.441,0.375,0.377,0.369
PB_1360_PB_99419,0.341,0.069,0.205,0.386,0.279,1,111,0.989,0.99,1,1.653,353,64034,0.364,0.473,0.392,0.299,0.405,0.396,0.393,0.435,0.395,0.378,0.338,0.227,0.484,0.27,0.315,0.426,0.491
PB_768_PB_96905,0.422,0.1,0.148,0.328,0.282,2,111,0.992,0.99,1.001,2.181,469,64034,0.419,0.514,0.601,0.291,0.576,0.401,0.248,0.283,0.301,0.272,0.323,0.537,0.364,0.314,0.405,0.295,0.509
PB_759_PB_64519,0.328,0.2,0.271,0.316,0.283,4,111,0.983,0.99,1,1.101,242,64034,0.364,0.265,0.305,0.224,0.256,0.375,0.58,0.571,0.532,0.594,0.604,0.258,0.549,0.432,0.37,0.469,0.216
