ecozone,ecoregion,intactness,nets_rep,nets_nonrep,networks,mdr,blbw_dens,boch_dens,brcr_dens,btnw_dens,cawa_dens,cmwa_dens,osfl_dens,pigr_dens,rubl_dens,swth_dens,wwcr_dens,caribou_dens,allbirds_dens,forestbirds_dens,allwaterfowl_dens,cavitynesters_dens,groundnesters_dens,overwaternesters_dens
11,165,0.993,151,223,374,5976,0.0032,0.0464,0.014,0.0037,0.0026,0.0117,0.006,0.0133,0.0179,0.1106,0.0888,0.8777,3.3319,2.0914,0.4619,0.0194,0.332,0.1104
11,166,0.976,21,160,181,4236,0.0025,0.047,0.013,0.0035,0.0024,0.0098,0.0049,0.0215,0.0127,0.1482,0.0846,NaN,3.4643,2.1612,0.8822,0.0272,0.5655,0.2895
11,168,0.99,4868,18,518,3388,0.0033,0.0505,0.0145,0.004,0.0026,0.0118,0.0066,0.0145,0.0203,0.1422,0.1041,0.8213,3.5893,2.3359,0.4925,0.0365,0.3247,0.1313
11,170,0.996,2384,433,933,529,0.0052,0.0449,0.016,0.0048,0.0027,0.01,0.0066,0.0128,0.0184,0.0935,0.0804,0.8551,3.2361,1.9645,0.2788,0.0493,0.1602,0.0693
11,171,0.986,130,320,450,2348,0.0061,0.0561,0.0162,0.0057,0.0028,0.0101,0.0077,0.0131,0.0171,0.1184,0.0951,0.6322,3.4053,2.1732,0.295,0.0929,0.1514,0.0506
12,172,0.919,6002,26,526,3057,0.0029,0.0553,0.0129,0.0035,0.0026,0.0113,0.0089,0.0137,0.0221,0.2443,0.1163,NaN,3.5264,2.3597,0.7897,0.095,0.5289,0.1659
12,175,0.939,1300,81,581,1985,0.0034,0.0763,0.0133,0.0034,0.0025,0.0111,0.0102,0.0124,0.015,0.289,0.1282,NaN,3.2825,2.2448,0.9969,0.1252,0.6333,0.2384
12,176,0.944,100,153,253,2401,0.0044,0.074,0.0169,0.0048,0.003,0.0133,0.0083,0.0136,0.0186,0.2426,0.1236,NaN,3.4352,2.493,0.5464,0.1169,0.2918,0.1377
12,177,0.924,37,61,98,3100,0.0054,0.0878,0.0168,0.006,0.003,0.0125,0.0074,0.0145,0.0052,0.3145,0.0949,NaN,3.2077,2.2947,0.6293,0.1564,0.3405,0.1325
12,178,0.969,166,352,518,614,0.0058,0.0821,0.0162,0.0055,0.0031,0.0118,0.0084,0.0131,0.0139,0.2633,0.1089,NaN,3.2905,2.3372,0.3816,0.0938,0.2193,0.0684
12,179,0.976,1467,127,627,1723,0.0054,0.0783,0.0145,0.0103,0.0034,0.0125,0.0087,0.0167,0.0043,0.2626,0.0794,NaN,3.8652,2.9029,0.2643,0.0995,0.1232,0.0416
12,180,0.968,962,420,920,569,0.0067,0.0857,0.0159,0.0086,0.0031,0.0123,0.0079,0.0141,0.0042,0.2567,0.0829,NaN,3.8007,2.812,0.3218,0.1068,0.1648,0.0502
12,181,0.931,67,1665,567,4225,0.0047,0.0893,0.0157,0.0055,0.003,0.012,0.0084,0.0129,0.0091,0.3551,0.1253,NaN,3.5026,2.5785,0.4044,0.1796,0.1653,0.0595
12,183,0.958,31,23,54,1495,0.0073,0.0982,0.0176,0.0108,0.003,0.0119,0.0082,0.0154,0.0043,0.207,0.0896,0.707,3.9052,2.9626,0.2988,0.093,0.1552,0.0506
14,199,0.777,12,990,512,145,0.0072,0.0599,0.0132,0.0114,0.0039,0.0102,0.009,0.0141,0.004,0.2731,0.0611,NaN,4.1771,3.0875,0.2374,0.06,0.1426,0.0347
14,200,0.698,452,33,363,399,0.0081,0.0716,0.0138,0.0223,0.0045,0.0098,0.0083,0.015,0.0039,0.2674,0.0677,0.5471,4.4021,3.405,0.2618,0.0887,0.1314,0.0418
14,207,0.863,309,105,414,279,0.0065,0.0869,0.014,0.0139,0.0032,0.0104,0.0089,0.0191,0.0041,0.2069,0.0833,0.6854,4.0133,3.1707,0.2229,0.0418,0.1382,0.043
15,215,0.99,265,2310,765,111,0.0033,0.058,0.0184,0.0048,0.0029,0.012,0.0067,0.0184,0.0375,0.1282,0.1296,0.8703,4.6591,3.3425,0.5591,0.0661,0.3541,0.1389
15,216,0.992,15220,3771,1000,1432,0.0038,0.0672,0.022,0.006,0.003,0.0123,0.0076,0.0134,0.0445,0.1539,0.1794,0.8746,4.9554,3.871,0.4216,0.0654,0.2486,0.1077
15,217,0.967,20225,234,734,2001,0.0187,0.0814,0.0397,0.0186,0.0094,0.036,0.0062,0.0067,0.0086,0.2317,0.1367,0.8212,5.1408,4.1682,0.2715,0.0782,0.1339,0.0594
