zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
56,swth,4084,2196,54,0.10780000000000001,0.1823,0.1547,0.2237,0.2951,0.3232,0.4152
56,wwcr,4084,4084,100,0.2277,0.5183,0.4202,0.5765,0.8505,1.3409,2.2962
57,blbw,2516,0,0,0,0,0,0,0,0,0
57,boch,2516,1360,54,0.2051,0.3278,0.333,0.3497,0.3696,0.3932,0.5345
57,brcr,2516,0,0,0,0,0,0,0,0,0
57,btnw,2516,0,0,0,0,0,0,0,0,0
57,cawa,2516,0,0,0,0,0,0,0,0,0
57,cmwa,2516,0,0,0,0,0,0,0,0,0
57,osfl,2516,0,0,0,0,0,0,0,0,0
57,pigr,2516,84,3,0.7591,0.8117,0.7958,0.8469,0.8696,0.8957,0.9234
57,rubl,2516,1972,78,0.7556,1.5384,1.4929,1.8427,2.0686,2.1955,2.6215
57,swth,2516,0,0,0,0,0,0,0,0,0
57,wwcr,2516,1000,40,0.3886,0.4885,0.4556,0.475,0.4822,0.6775,2.6866
58,blbw,1688,0,0,0,0,0,0,0,0,0
58,boch,1688,1688,100,0.1,0.1757,0.1745,0.1895,0.2061,0.2714,0.4018
58,brcr,1688,0,0,0,0,0,0,0,0,0
58,btnw,1688,0,0,0,0,0,0,0,0,0
58,cawa,1688,0,0,0,0,0,0,0,0,0
58,cmwa,1688,76,5,0.7155,0.8309,0.8089,0.9109,0.9516,0.9899,1.04
58,osfl,1688,980,58,0.415,0.5296,0.5213,0.5668,0.5915,0.6112,0.7547
58,pigr,1688,1688,100,0.3674,0.4632,0.4573,0.4892,0.506,0.5287,1.0677
58,rubl,1688,1688,100,0.488,0.9365,0.9469,1.0264,1.079,1.1209,1.2217
58,swth,1688,1420,84,0.1107,0.2017,0.2036,0.2588,0.2782,0.2938,0.32
58,wwcr,1688,1688,100,0.2643,0.6951,0.4148,1.1386,1.5545,1.8605,2.4342
59,blbw,6800,0,0,0,0,0,0,0,0,0
59,boch,6800,6800,100,0.1563,0.264,0.2205,0.3415,0.3544,0.3962,1.333
59,brcr,6800,0,0,0,0,0,0,0,0,0
59,btnw,6800,0,0,0,0,0,0,0,0,0
59,cawa,6800,0,0,0,0,0,0,0,0,0
59,cmwa,6800,0,0,0,0,0,0,0,0,0
59,osfl,6800,0,0,0,0,0,0,0,0,0
59,pigr,6800,6800,100,0.3721,0.5576,0.5518,0.6247,0.6675,0.7017,1.0926
59,rubl,6800,6800,100,0.4103,1.0097,0.862,1.3762,1.6315,1.7815,2.3431
59,swth,6800,4136,61,0.1118,0.1877,0.1968,0.2187,0.2292,0.2359,0.2758
59,wwcr,6800,6800,100,0.3332,0.4869,0.4378,0.5134,0.5728,0.6177,3.2489
60,blbw,11084,0,0,0,0,0,0,0,0,0
60,boch,11084,9564,86,0.1095,0.289,0.3152,0.3306,0.3496,0.4242,0.6337
60,brcr,11084,0,0,0,0,0,0,0,0,0
60,btnw,11084,0,0,0,0,0,0,0,0,0
60,cawa,11084,0,0,0,0,0,0,0,0,0
60,cmwa,11084,4652,42,0.6194,0.8626,0.8544,0.9319,0.9976,1.0443,2.3186
60,osfl,11084,3448,31,0.4005,0.604,0.5967,0.6901,0.7445,0.7653,0.8303
60,pigr,11084,9564,86,0.339,0.4621,0.4441,0.4923,0.5337,0.5856,1.0873
60,rubl,11084,9564,86,0.5595,1.2231,1.1205,1.4644,1.7443,1.8964,2.4272
60,swth,11084,9564,86,0.1008,0.2185,0.2174,0.265,0.2899,0.3125,0.4021
60,wwcr,11084,11084,100,0.2511,0.8943,0.5445,0.8892,2.6672,2.9099,3.2
61,blbw,3060,0,0,0,0,0,0,0,0,0
61,boch,3060,3060,100,0.1775,0.4508,0.3304,0.6809,0.9304,0.9927,1.3644
61,brcr,3060,0,0,0,0,0,0,0,0,0
61,btnw,3060,0,0,0,0,0,0,0,0,0
61,cawa,3060,0,0,0,0,0,0,0,0,0
61,cmwa,3060,0,0,0,0,0,0,0,0,0
61,osfl,3060,3060,100,0.1891,0.2966,0.2613,0.3449,0.3951,0.4928,0.8272
61,pigr,3060,3060,100,0.329,0.6783,0.5775,0.8807,1.0381,1.1399,1.6173
61,rubl,3060,3060,100,0.3167,0.5455,0.4884,0.658,0.7521,0.9753,1.8911
61,swth,3060,3060,100,0.0876,0.1727,0.1581,0.2229,0.2604,0.2746,0.3309
61,wwcr,3060,3060,100,0.166,0.3501,0.3201,0.4353,0.5156,0.5869,0.8896
62,blbw,3432,0,0,0,0,0,0,0,0,0
62,boch,3432,3432,100,0.0907,0.2499,0.2094,0.3492,0.4151,0.4747,0.7431
62,brcr,3432,0,0,0,0,0,0,0,0,0
62,btnw,3432,0,0,0,0,0,0,0,0,0
62,cawa,3432,64,2,1.0949,1.3507,1.357,1.5218,1.5708,1.6214,1.6276
62,cmwa,3432,0,0,0,0,0,0,0,0,0
