zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
55,brcr,10584,10584,100,0.0119,0.0128,0.0128,0.013,0.0131,0.0132,0.0134
55,btnw,10584,10584,100,0.0023,0.0034,0.0037,0.0038,0.0038,0.0039,0.0047
55,cawa,10584,10584,100,0.0019,0.0024,0.0024,0.0024,0.0025,0.0025,0.0049
55,cmwa,10584,10584,100,0.0035,0.007,0.0057,0.0079,0.0105,0.0124,0.0431
55,osfl,10584,10584,100,0.0026,0.0046,0.0045,0.0049,0.0055,0.0062,0.0083
55,pigr,10584,10584,100,0.0056,0.0123,0.0114,0.0129,0.0137,0.0156,0.1466
55,rubl,10584,10584,100,0.0033,0.0086,0.0082,0.0105,0.0126,0.0139,0.0187
55,swth,10584,10584,100,0.0595,0.1996,0.197,0.2378,0.2502,0.2567,0.3077
55,wwcr,10584,10584,100,0.0631,0.0884,0.0819,0.0951,0.1081,0.1287,0.4566
56,blbw,4084,4084,100,0.0013,0.0024,0.0025,0.0025,0.0026,0.0026,0.0037
56,boch,4084,4084,100,0.0389,0.0475,0.0475,0.0486,0.0492,0.0498,0.0592
56,brcr,4084,4084,100,0.0118,0.0131,0.0131,0.0133,0.0135,0.0136,0.0184
56,btnw,4084,4084,100,0.0021,0.0035,0.0036,0.004,0.0042,0.0044,0.0051
56,cawa,4084,4084,100,0.0019,0.0024,0.0023,0.0025,0.0027,0.0031,0.0059
56,cmwa,4084,4084,100,0.0037,0.0072,0.0064,0.0095,0.0106,0.0117,0.0357
56,osfl,4084,4084,100,0.0033,0.0057,0.005,0.006,0.008,0.0113,0.019
56,pigr,4084,4084,100,0.005,0.0086,0.0078,0.0103,0.0127,0.0146,0.0167
56,rubl,4084,4084,100,0.0042,0.0086,0.0069,0.0123,0.016,0.0179,0.0204
56,swth,4084,4084,100,0.0937,0.2318,0.2388,0.2685,0.2863,0.2965,0.3128
56,wwcr,4084,4084,100,0.0626,0.0942,0.088,0.0974,0.1157,0.1637,0.3855
57,blbw,2516,2516,100,0.0015,0.0025,0.0026,0.0027,0.0027,0.0028,0.0034
57,boch,2516,2516,100,0.0365,0.0411,0.0406,0.0433,0.0446,0.0453,0.047
57,brcr,2516,2516,100,0.0129,0.0142,0.014,0.0148,0.0153,0.0159,0.0169
57,btnw,2516,2516,100,0.0027,0.0036,0.0037,0.0037,0.0038,0.0038,0.0043
57,cawa,2516,2516,100,0.0026,0.0028,0.0028,0.0029,0.0029,0.0029,0.0035
57,cmwa,2516,2516,100,0.0126,0.0249,0.017,0.0308,0.0596,0.0693,0.077
57,osfl,2516,2516,100,0.0051,0.0055,0.0056,0.0057,0.0058,0.0058,0.0059
57,pigr,2516,2516,100,0.0051,0.011,0.0102,0.0129,0.0139,0.0164,0.0238
57,rubl,2516,2516,100,0.0086,0.0258,0.0258,0.0331,0.0373,0.0413,0.0555
57,swth,2516,2516,100,0.0394,0.1199,0.1252,0.1387,0.1494,0.159,0.1875
57,wwcr,2516,2516,100,0.0649,0.0901,0.0697,0.0952,0.1795,0.1911,0.2051
58,blbw,1688,1688,100,0.0017,0.0025,0.0025,0.0026,0.0026,0.0027,0.0044
58,boch,1688,1688,100,0.0394,0.0471,0.0473,0.0481,0.0489,0.0494,0.0519
58,brcr,1688,1688,100,0.0123,0.0132,0.0132,0.0133,0.0134,0.0134,0.0139
58,btnw,1688,1688,100,0.0033,0.0038,0.0037,0.0039,0.0041,0.0042,0.0045
58,cawa,1688,1688,100,0.0022,0.0028,0.0024,0.0028,0.0037,0.005,0.0081
58,cmwa,1688,1688,100,0.005,0.0089,0.0073,0.0121,0.0139,0.0145,0.0306
58,osfl,1688,1688,100,0.0034,0.0044,0.0044,0.0046,0.0048,0.005,0.007
