ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,50,oven,565,564,0.0053,0.0063,0.0064,0.0066,0.0067,0.0067,0.0069,3e-4
4,4.2,50,pawa,565,564,0.0075,0.0127,0.0124,0.0152,0.0161,0.0168,0.0194,0.0026
4,4.2,50,phvi,565,564,0.0037,0.0049,0.0049,0.005,0.0051,0.0052,0.011,7e-4
4,4.2,50,pigr,565,564,0.0059,0.0186,0.0104,0.027,0.0456,0.0552,0.1261,0.018
4,4.2,50,pisi,565,564,0.0211,0.0274,0.0277,0.0307,0.0323,0.0329,0.0347,0.0034
4,4.2,50,pufi,565,564,0.003,0.0057,0.0057,0.0058,0.0059,0.0059,0.0069,2e-4
4,4.2,50,rbgr,565,564,0.0018,0.0022,0.0022,0.0023,0.0023,0.0024,0.0026,1e-4
4,4.2,50,rbnu,565,564,0.0075,0.008,0.008,0.0082,0.0083,0.0084,0.0088,2e-4
4,4.2,50,rcki,565,564,0.0208,0.0323,0.0293,0.0399,0.0432,0.0447,0.0487,0.0065
4,4.2,50,revi,565,564,0.0109,0.0118,0.0118,0.012,0.012,0.0121,0.0134,3e-4
4,4.2,50,rubl,565,564,0.0032,0.0226,0.0164,0.0387,0.0536,0.0621,0.0956,0.0195
4,4.2,50,rwbl,565,564,0.0133,0.0145,0.0145,0.0148,0.0151,0.0158,0.0216,0.0011
4,4.2,50,savs,565,564,0.0715,0.1214,0.0917,0.1267,0.2369,0.3185,0.4065,0.0723
4,4.2,50,sosp,565,564,0.0116,0.0125,0.0122,0.0132,0.0137,0.014,0.0153,8e-4
4,4.2,50,swsp,565,564,0.0036,0.0136,0.0164,0.0172,0.0177,0.0185,0.0275,0.0051
4,4.2,50,swth,565,564,0.0515,0.067,0.0665,0.0734,0.0774,0.0816,0.0932,0.008
4,4.2,50,tewa,565,564,0.0097,0.0171,0.0143,0.0248,0.0267,0.0274,0.0307,0.0059
4,4.2,50,tres,565,564,0.026,0.0317,0.0307,0.032,0.0335,0.037,0.094,0.0068
4,4.2,50,vath,565,564,0.0151,0.016,0.016,0.0163,0.0165,0.0168,0.0189,5e-4
4,4.2,50,vesp,565,564,0.003,0.0041,0.0042,0.0043,0.0043,0.0044,0.0045,2e-4
4,4.2,50,wavi,565,564,0.0082,0.0126,0.0128,0.0135,0.0142,0.0145,0.0212,0.0015
4,4.2,50,wcsp,565,564,0.2133,0.448,0.4351,0.5896,0.6354,0.6786,0.9324,0.1494
4,4.2,50,weta,565,564,0.0016,0.0024,0.0024,0.0026,0.0028,0.0031,0.0039,3e-4
4,4.2,50,wewp,565,564,8e-4,0.0016,0.0012,0.0018,0.003,0.0036,0.0045,8e-4
4,4.2,50,wiwa,565,564,0.0216,0.0385,0.0317,0.0462,0.0608,0.0781,0.0946,0.0158
4,4.2,50,wiwr,565,564,0.0028,0.0035,0.0034,0.0038,0.004,0.0042,0.0047,3e-4
4,4.2,50,wtsp,565,564,0.0241,0.0297,0.0282,0.0335,0.0345,0.0361,0.0402,0.0035
4,4.2,50,wwcr,565,564,0.0717,0.0948,0.0938,0.1017,0.1057,0.117,0.1961,0.0151
4,4.2,50,ybfl,565,564,0.0053,0.0072,0.0069,0.0084,0.0089,0.0096,0.0133,0.0014
4,4.2,50,yrwa,565,564,0.0582,0.1275,0.1309,0.1533,0.1663,0.175,0.1941,0.0302
4,4.2,50,ywar,565,564,0.0536,0.1941,0.1876,0.2333,0.2628,0.2859,0.3699,0.0512
4,4.1,51,alfl,3792,3792,0.0201,0.106,0.1031,0.156,0.1909,0.2079,0.2714,0.0552
4,4.1,51,amcr,3792,3792,0.0027,0.0031,0.0031,0.0031,0.0032,0.0032,0.0083,2e-4
