ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.1,51,osfl,3792,3792,0.0025,0.0055,0.0055,0.0063,0.0074,0.0085,0.0105,0.0014
4,4.1,51,oven,3792,3792,0.0051,0.007,0.0062,0.0076,0.009,0.0096,0.0562,0.0028
4,4.1,51,pawa,3792,3792,0.0057,0.0264,0.0187,0.0337,0.0499,0.0739,0.2541,0.0265
4,4.1,51,phvi,3792,3792,0.003,0.0052,0.005,0.0056,0.0064,0.0071,0.01,8e-4
4,4.1,51,pigr,3792,3792,0.0053,0.0135,0.0137,0.0157,0.0166,0.0174,0.0567,0.0029
4,4.1,51,pisi,3792,3792,0.0172,0.0369,0.037,0.0437,0.047,0.0496,0.0652,0.0079
4,4.1,51,pufi,3792,3792,0.0057,0.0077,0.0079,0.0081,0.0091,0.0093,0.0114,9e-4
4,4.1,51,rbgr,3792,3792,7e-4,0.0021,0.0022,0.0023,0.0025,0.0026,0.012,5e-4
4,4.1,51,rbnu,3792,3792,0.0075,0.0107,0.0104,0.0113,0.0124,0.014,0.0187,0.0014
4,4.1,51,rcki,3792,3792,0.0192,0.0715,0.071,0.0979,0.1091,0.1239,0.1914,0.0298
4,4.1,51,revi,3792,3792,0.0106,0.0125,0.0119,0.0134,0.014,0.0145,0.0505,0.0023
4,4.1,51,rubl,3792,3792,0.0039,0.0162,0.0177,0.0223,0.0238,0.0258,0.0348,0.0067
4,4.1,51,rwbl,3792,3792,0.0127,0.0135,0.0132,0.0134,0.0143,0.0151,0.0198,6e-4
4,4.1,51,savs,3792,3792,0.0265,0.1016,0.0905,0.1438,0.1744,0.1928,0.285,0.0468
4,4.1,51,sosp,3792,3792,0.0116,0.0133,0.0133,0.0134,0.0135,0.0135,0.0173,2e-4
4,4.1,51,swsp,3792,3792,0.0022,0.0134,0.0134,0.0176,0.0207,0.0257,0.0585,0.0066
4,4.1,51,swth,3792,3792,0.0446,0.1633,0.1594,0.2028,0.2251,0.2548,0.3076,0.0499
4,4.1,51,tewa,3792,3792,0.0085,0.0331,0.0243,0.0398,0.0529,0.0805,0.4561,0.0363
4,4.1,51,tres,3792,3792,0.02,0.0278,0.0281,0.0286,0.0295,0.0299,0.0608,0.002
4,4.1,51,vath,3792,3792,0.0079,0.0184,0.0177,0.0208,0.0227,0.0242,0.039,0.003
4,4.1,51,vesp,3792,3792,0.0031,0.0038,0.0037,0.0045,0.0046,0.0046,0.0047,6e-4
4,4.1,51,wavi,3792,3792,0.0081,0.0149,0.0149,0.0175,0.0185,0.019,0.0222,0.0027
4,4.1,51,wcsp,3792,3792,0.0359,0.3922,0.3895,0.4617,0.5041,0.5435,0.7253,0.089
4,4.1,51,weta,3792,3792,0.0018,0.0099,0.0105,0.0115,0.0121,0.0126,0.0307,0.0029
4,4.1,51,wewp,3792,3792,0.0011,0.0073,0.008,0.0093,0.0098,0.0101,0.0114,0.0022
4,4.1,51,wiwa,3792,3792,0.0201,0.0895,0.0587,0.0892,0.1609,0.3135,0.5317,0.0828
4,4.1,51,wiwr,3792,3792,0.0028,0.0048,0.0048,0.0056,0.0063,0.0066,0.014,0.0011
4,4.1,51,wtsp,3792,3792,0.0175,0.0401,0.0374,0.0526,0.0595,0.0701,0.1539,0.0171
4,4.1,51,wwcr,3792,3792,0.0492,0.0939,0.0926,0.1043,0.1135,0.122,0.1864,0.015
4,4.1,51,ybfl,3792,3792,0.002,0.0119,0.0094,0.018,0.0207,0.0227,0.0454,0.006
4,4.1,51,yrwa,3792,3792,0.0474,0.1948,0.188,0.2303,0.2642,0.2996,0.4236,0.053900000000000003
4,4.1,51,ywar,3792,3792,0.0094,0.0566,0.0479,0.0645,0.0895,0.122,0.2805,0.0305
4,4.2,52,alfl,6776,4989,0.018,0.0733,0.0655,0.1105,0.1331,0.1565,0.2621,0.0427
4,4.2,52,amcr,6776,4989,0.0026,0.0031,0.003,0.0032,0.0033,0.0035,0.0053,2e-4
4,4.2,52,amgo,6776,4989,0.0143,0.0148,0.0148,0.0148,0.0149,0.0149,0.0162,1e-4
