bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,0,deciduousbirds,0.429,0.414,0.292,0.271,0.43
BCR4,0,deciduousbirds,0.714,0.437,0.472,0.209,0.664
BCR4,0,deciduousbirds,0.481,0.241,0.344,0.217,0.474
BCR4,0,deciduousbirds,0.746,0.456,0.509,0.206,0.69
BCR4,0,deciduousbirds,0.429,0.418,0.265,0.265,0.352
BCR4,0,deciduousbirds,0.44,0.229,0.235,0.265,0.369
BCR4,0,deciduousbirds,0.654,0.686,0.406,0.226,0.325
BCR4,0,deciduousbirds,0.649,0.574,0.427,0.212,0.478
BCR4,0,deciduousbirds,0.554,0.631,0.394,0.265,0.375
BCR4,0,deciduousbirds,0.396,0.399,0.203,0.269,0.249
BCR4,0,deciduousbirds,0.579,0.443,0.327,0.268,0.458
BCR4,0,deciduousbirds,0.38,0.535,0.512,0.298,0.388
BCR4,0,deciduousbirds,0.59,0.575,0.338,0.263,0.375
BCR4,0,deciduousbirds,0.662,0.693,0.41,0.25,0.324
BCR4,0,deciduousbirds,0.741,0.437,0.485,0.269,0.55
BCR4,0,deciduousbirds,0.599,0.439,0.387,0.245,0.498
BCR4,0,deciduousbirds,0.724,0.65,0.575,0.315,0.647
BCR4,0,deciduousbirds,0.408,0.426,0.385,0.251,0.353
BCR4,0,deciduousbirds,0.384,0.393,0.238,0.247,0.262
BCR4,0,deciduousbirds,0.594,0.636,0.509,0.256,0.511
BCR4,0,deciduousbirds,0.622,0.357,0.359,0.233,0.456
BCR4,0,deciduousbirds,0.693,0.425,0.495,0.255,0.654
BCR4,0,deciduousbirds,0.689,0.42,0.26,0.392,0.35
BCR4,0,deciduousbirds,0.431,0.49,0.426,0.261,0.373
BCR4,0,deciduousbirds,0.422,0.426,0.245,0.27,0.227
BCR4,0,deciduousbirds,0.455,0.315,0.325,0.228,0.357
BCR4,0,deciduousbirds,0.63,0.426,0.435,0.27,0.401
BCR4,0,deciduousbirds,0.36,0.259,0.335,0.252,0.385
BCR4,0,deciduousbirds,0.415,0.467,0.48,0.254,0.412
BCR4,0,deciduousbirds,0.626,0.386,0.385,0.253,0.573
BCR4,0,deciduousbirds,0.361,0.279,0.246,0.202,0.328
BCR4,0,deciduousbirds,0.515,0.586,0.232,0.241,0.205
BCR4,0,deciduousbirds,0.408,0.408,0.211,0.363,0.306
BCR4,0,deciduousbirds,0.745,0.77,0.492,0.489,0.516
BCR4,0,deciduousbirds,0.606,0.57,0.367,0.22,0.428
BCR4,0,deciduousbirds,0.554,0.526,0.402,0.354,0.37
BCR4,0,deciduousbirds,0.422,0.42,0.311,0.341,0.294
BCR4,0,deciduousbirds,0.529,0.299,0.212,0.228,0.26
BCR4,0,deciduousbirds,0.448,0.249,0.281,0.284,0.5
BCR4,0,deciduousbirds,0.352,0.359,0.317,0.292,0.343
BCR4,0,deciduousbirds,0.676,0.478,0.534,0.235,0.697
BCR4,0,deciduousbirds,0.406,0.365,0.304,0.207,0.297
BCR4,0,deciduousbirds,0.291,0.319,0.21,0.214,0.22
BCR4,0,deciduousbirds,0.433,0.414,0.378,0.267,0.363
BCR4,0,deciduousbirds,0.421,0.225,0.318,0.21,0.339
BCR4,0,deciduousbirds,0.603,0.289,0.442,0.256,0.64
BCR4,0,deciduousbirds,0.321,0.281,0.216,0.245,0.207
BCR4,0,deciduousbirds,0.583,0.224,0.246,0.266,0.335
BCR4,0,deciduousbirds,0.478,0.436,0.281,0.304,0.252
BCR4,0,deciduousbirds,0.402,0.437,0.245,0.289,0.283
BCR4,1,deciduousbirds,0.277,0.085,0.062,0.075,0.137
BCR4,1,deciduousbirds,0.128,0.048,0.095,0.017,0.128
BCR4,1,deciduousbirds,0.212,0.073,0.059,0.075,0.095
BCR4,1,deciduousbirds,0.143,0.065,0.063,0.034,0.108
BCR4,1,deciduousbirds,0.139,0.071,0.075,0.038,0.14
BCR4,1,deciduousbirds,0.181,0.072,0.073,0.049,0.178
BCR4,1,deciduousbirds,0.241,0.064,0.072,0.016,0.126
BCR4,1,deciduousbirds,0.13,0.11,0.062,0.034,0.074
BCR4,1,deciduousbirds,0.19,0.113,0.079,0.038,0.055
BCR4,1,deciduousbirds,0.305,0.183,0.097,0.029,0.154
BCR4,1,deciduousbirds,0.342,0.091,0.041,0.075,0.105
BCR4,1,deciduousbirds,0.117,0.06,0.116,0.075,0.107
BCR4,1,deciduousbirds,0.291,0.061,0.066,0.075,0.164
BCR4,1,deciduousbirds,0.305,0.068,0.066,0.075,0.144
BCR4,1,deciduousbirds,0.287,0.105,0.061,0.075,0.154
BCR4,1,deciduousbirds,0.141,0.08,0.111,0.075,0.157
BCR4,1,deciduousbirds,0.175,0.098,0.025,0.082,0.109
BCR4,1,deciduousbirds,0.223,0.133,0.08,0.052,0.131
BCR4,1,deciduousbirds,0.325,0.063,0.155,0.074,0.102
BCR4,1,deciduousbirds,0.095,0.077,0.073,0.037,0.093
BCR4,1,deciduousbirds,0.242,0.094,0.184,0.031,0.185
BCR4,1,deciduousbirds,0.318,0.099,0.074,0.031,0.164
BCR4,1,deciduousbirds,0.287,0.053,0.095,0.075,0.156
BCR4,1,deciduousbirds,0.188,0.073,0.075,0.075,0.087
BCR4,1,deciduousbirds,0.152,0.09,0.072,0.059,0.11
BCR4,1,deciduousbirds,0.296,0.06,0.088,0.075,0.132
BCR4,1,deciduousbirds,0.31,0.077,0.067,0.041,0.163
BCR4,1,deciduousbirds,0.234,0.073,0.072,0.062,0.158
BCR4,1,deciduousbirds,0.305,0.128,0.122,0.121,0.156
BCR4,1,deciduousbirds,0.175,0.124,0.068,0.075,0.076
BCR4,1,deciduousbirds,0.15,0.053,0.066,0.075,0.116
BCR4,1,deciduousbirds,0.122,0.071,0.03,0.036,0.114
BCR4,1,deciduousbirds,0.16,0.145,0.175,0.075,0.196
BCR4,1,deciduousbirds,0.167,0.05,0.092,0.037,0.109
BCR4,1,deciduousbirds,0.127,0.111,0.054,0.037,0.111
BCR4,1,deciduousbirds,0.188,0.073,0.068,0.075,0.127
BCR4,1,deciduousbirds,0.278,0.049,0.142,0.047,0.136
BCR4,1,deciduousbirds,0.143,0.139,0.063,0.124,0.078
BCR4,1,deciduousbirds,0.253,0.093,0.064,0.037,0.105
BCR4,1,deciduousbirds,0.111,0.072,0.031,0.075,0.107
BCR4,1,deciduousbirds,0.2,0.087,0.075,0.075,0.103
BCR4,1,deciduousbirds,0.435,0.083,0.056,0.075,0.099
BCR4,1,deciduousbirds,0.222,0.133,0.06,0.031,0.074
BCR4,1,deciduousbirds,0.278,0.041,0.052,0.075,0.077
BCR4,1,deciduousbirds,0.147,0.081,0.085,0.086,0.114
BCR4,1,deciduousbirds,0.173,0.073,0.089,0.049,0.076
BCR4,1,deciduousbirds,0.245,0.097,0.11,0.037,0.194
BCR4,1,deciduousbirds,0.257,0.029,0.042,0.075,0.107
BCR4,1,deciduousbirds,0.21,0.071,0.126,0.051,0.09
BCR4,1,deciduousbirds,0.138,0.116,0.098,0.075,0.135
BCR4,1,deciduousbirds,0.234,0.164,0.12,0.029,0.15
BCR4,1,deciduousbirds,0.161,0.115,0.108,0.075,0.124
BCR4,1,deciduousbirds,0.224,0.081,0.065,0.037,0.136
BCR4,1,deciduousbirds,0.408,0.073,0.069,0.075,0.166
BCR4,1,deciduousbirds,0.159,0.11,0.077,0.038,0.059
BCR4,1,deciduousbirds,0.158,0.105,0.084,0.075,0.118
BCR4,1,deciduousbirds,0.313,0.123,0.144,0.069,0.135
BCR4,1,deciduousbirds,0.103,0.102,0.054,0.075,0.112
BCR4,1,deciduousbirds,0.15,0.126,0.059,0.075,0.153
BCR4,1,deciduousbirds,0.259,0.107,0.072,0.075,0.131
BCR4,1,deciduousbirds,0.127,0.079,0.065,0.073,0.185
BCR4,1,deciduousbirds,0.181,0.054,0.044,0.075,0.118
BCR4,1,deciduousbirds,0.327,0.11,0.074,0.052,0.166
BCR4,1,deciduousbirds,0.235,0.146,0.085,0.057,0.165
BCR4,1,deciduousbirds,0.216,0.052,0.108,0.042,0.127
BCR4,1,deciduousbirds,0.181,0.056,0.127,0.037,0.146
BCR4,1,deciduousbirds,0.151,0.056,0.063,0.047,0.158
BCR4,1,deciduousbirds,0.134,0.033,0.038,0.037,0.076
BCR4,1,deciduousbirds,0.383,0.113,0.081,0.047,0.196
BCR4,1,deciduousbirds,0.127,0.065,0.041,0.075,0.089
BCR4,1,deciduousbirds,0.182,0.085,0.064,0.069,0.147
BCR4,1,deciduousbirds,0.135,0.044,0.043,0.075,0.085
BCR4,1,deciduousbirds,0.296,0.152,0.07,0.075,0.133
BCR4,1,deciduousbirds,0.252,0.152,0.185,0.025,0.15
BCR4,1,deciduousbirds,0.11,0.113,0.062,0.073,0.158
BCR4,1,deciduousbirds,0.135,0.108,0.102,0.038,0.128
BCR4,1,deciduousbirds,0.214,0.056,0.048,0.055,0.113
BCR4,1,deciduousbirds,0.235,0.173,0.059,0.037,0.062
BCR4,1,deciduousbirds,0.187,0.033,0.07,0.048,0.129
BCR4,1,deciduousbirds,0.105,0.086,0.059,0.075,0.104
BCR4,1,deciduousbirds,0.172,0.117,0.035,0.075,0.159
BCR4,1,deciduousbirds,0.162,0.074,0.047,0.046,0.13
BCR4,1,deciduousbirds,0.343,0.092,0.143,0.051,0.144
BCR4,1,deciduousbirds,0.198,0.141,0.063,0.075,0.11
BCR4,1,deciduousbirds,0.189,0.098,0.068,0.031,0.09
BCR4,1,deciduousbirds,0.247,0.158,0.07,0.075,0.138
BCR4,1,deciduousbirds,0.202,0.092,0.073,0.028,0.153
BCR4,1,deciduousbirds,0.24,0.117,0.124,0.061,0.136
BCR4,1,deciduousbirds,0.231,0.049,0.055,0.075,0.11
BCR4,1,deciduousbirds,0.152,0.063,0.071,0.075,0.08
BCR4,1,deciduousbirds,0.164,0.105,0.125,0.147,0.131
BCR4,1,deciduousbirds,0.31,0.142,0.13,0.066,0.171
BCR4,1,deciduousbirds,0.369,0.112,0.035,0.075,0.147
BCR4,1,deciduousbirds,0.256,0.056,0.034,0.037,0.12
BCR4,1,deciduousbirds,0.161,0.126,0.063,0.031,0.191
BCR4,1,deciduousbirds,0.255,0.161,0.082,0.075,0.114
BCR4,1,deciduousbirds,0.137,0.118,0.064,0.059,0.135
BCR4,1,deciduousbirds,0.198,0.106,0.089,0.075,0.109
BCR4,1,deciduousbirds,0.157,0.161,0.143,0.048,0.159
BCR4,1,deciduousbirds,0.214,0.063,0.051,0.033,0.122
BCR4,1,deciduousbirds,0.253,0.055,0.056,0.038,0.132
BCR4,1,deciduousbirds,0.248,0.053,0.045,0.038,0.063
BCR4,1,deciduousbirds,0.355,0.102,0.139,0.047,0.159
BCR4,1,deciduousbirds,0.239,0.082,0.038,0.075,0.135
BCR4,1,deciduousbirds,0.142,0.073,0.045,0.046,0.168
BCR4,1,deciduousbirds,0.254,0.111,0.09,0.075,0.132
BCR4,1,deciduousbirds,0.2,0.094,0.071,0.038,0.153
BCR4,1,deciduousbirds,0.179,0.095,0.069,0.075,0.189
BCR4,1,deciduousbirds,0.122,0.063,0.069,0.034,0.126
BCR4,1,deciduousbirds,0.22,0.098,0.054,0.037,0.11
BCR4,1,deciduousbirds,0.119,0.064,0.108,0.075,0.143
BCR4,1,deciduousbirds,0.094,0.049,0.027,0.075,0.092
BCR4,1,deciduousbirds,0.435,0.165,0.071,0.031,0.106
BCR4,1,deciduousbirds,0.192,0.081,0.048,0.081,0.11
BCR4,1,deciduousbirds,0.142,0.052,0.059,0.049,0.11
BCR4,1,deciduousbirds,0.462,0.137,0.148,0.047,0.164
BCR4,1,deciduousbirds,0.338,0.072,0.064,0.049,0.155
BCR4,1,deciduousbirds,0.12,0.076,0.09,0.075,0.103
BCR4,1,deciduousbirds,0.259,0.071,0.056,0.032,0.144
BCR4,1,deciduousbirds,0.078,0.042,0.094,0.038,0.086
BCR4,1,deciduousbirds,0.42,0.069,0.121,0.07,0.191
BCR4,1,deciduousbirds,0.25,0.068,0.099,0.031,0.132
BCR4,1,deciduousbirds,0.258,0.063,0.064,0.049,0.068
BCR4,1,deciduousbirds,0.167,0.152,0.092,0.075,0.13
BCR4,1,deciduousbirds,0.075,0.079,0.101,0.075,0.148
BCR4,1,deciduousbirds,0.32,0.106,0.061,0.175,0.139
BCR4,1,deciduousbirds,0.219,0.163,0.049,0.021,0.113
BCR4,1,deciduousbirds,0.268,0.175,0.103,0.075,0.1
BCR4,1,deciduousbirds,0.165,0.109,0.082,0.038,0.133
BCR4,1,deciduousbirds,0.131,0.155,0.12,0.039,0.124
BCR4,1,deciduousbirds,0.362,0.074,0.033,0.039,0.133
BCR4,1,deciduousbirds,0.219,0.174,0.054,0.075,0.092
BCR4,1,deciduousbirds,0.182,0.107,0.081,0.038,0.083
BCR4,1,deciduousbirds,0.194,0.113,0.057,0.075,0.09
BCR4,1,deciduousbirds,0.347,0.055,0.077,0.05,0.192
BCR4,1,deciduousbirds,0.382,0.101,0.076,0.037,0.125
BCR4,1,deciduousbirds,0.216,0.063,0.084,0.05,0.082
BCR4,1,deciduousbirds,0.226,0.064,0.121,0.074,0.092
BCR4,1,deciduousbirds,0.076,0.113,0.051,0.075,0.11
BCR4,1,deciduousbirds,0.2,0.132,0.116,0.082,0.16
BCR4,1,deciduousbirds,0.414,0.117,0.078,0.075,0.16
BCR4,1,deciduousbirds,0.158,0.063,0.091,0.075,0.135
BCR4,1,deciduousbirds,0.367,0.079,0.081,0.073,0.114
BCR4,1,deciduousbirds,0.146,0.1,0.039,0.029,0.086
BCR4,1,deciduousbirds,0.071,0.08,0.075,0.057,0.103
BCR4,1,deciduousbirds,0.358,0.073,0.08,0.061,0.105
BCR4,1,deciduousbirds,0.159,0.079,0.082,0.064,0.093
BCR4,1,deciduousbirds,0.123,0.11,0.044,0.075,0.126
BCR4,1,deciduousbirds,0.311,0.105,0.159,0.021,0.193
BCR4,1,deciduousbirds,0.385,0.079,0.079,0.038,0.126
BCR4,1,deciduousbirds,0.166,0.11,0.108,0.038,0.149
BCR4,1,deciduousbirds,0.306,0.135,0.114,0.052,0.135
BCR4,1,deciduousbirds,0.188,0.106,0.045,0.075,0.112
BCR4,1,deciduousbirds,0.228,0.049,0.115,0.074,0.114
BCR4,1,deciduousbirds,0.38,0.093,0.161,0.025,0.157
BCR4,1,deciduousbirds,0.222,0.162,0.091,0.075,0.154
BCR4,1,deciduousbirds,0.109,0.067,0.09,0.075,0.101
BCR4,1,deciduousbirds,0.245,0.144,0.115,0.114,0.188
BCR4,1,deciduousbirds,0.253,0.07,0.081,0.046,0.126
BCR4,1,deciduousbirds,0.227,0.187,0.054,0.022,0.116
BCR4,1,deciduousbirds,0.117,0.092,0.031,0.01,0.146
BCR4,1,deciduousbirds,0.238,0.073,0.027,0.046,0.075
BCR4,1,deciduousbirds,0.201,0.05,0.081,0.075,0.11
BCR4,1,deciduousbirds,0.35,0.08,0.087,0.042,0.124
BCR4,1,deciduousbirds,0.193,0.137,0.082,0.081,0.134
BCR4,1,deciduousbirds,0.149,0.058,0.057,0.025,0.049
BCR4,1,deciduousbirds,0.193,0.084,0.059,0.053,0.057
BCR4,1,deciduousbirds,0.248,0.186,0.144,0.034,0.145
BCR4,1,deciduousbirds,0.285,0.071,0.157,0.038,0.198
BCR4,1,deciduousbirds,0.173,0.194,0.063,0.075,0.179
BCR4,1,deciduousbirds,0.231,0.068,0.091,0.038,0.137
BCR4,1,deciduousbirds,0.215,0.151,0.066,0.052,0.111
BCR4,1,deciduousbirds,0.099,0.104,0.083,0.058,0.123
BCR4,1,deciduousbirds,0.158,0.062,0.069,0.075,0.154
BCR4,1,deciduousbirds,0.145,0.074,0.059,0.075,0.154
BCR4,1,deciduousbirds,0.447,0.124,0.095,0.02,0.184
BCR4,1,deciduousbirds,0.28,0.062,0.102,0.069,0.117
BCR4,1,deciduousbirds,0.214,0.103,0.147,0.031,0.16
BCR4,1,deciduousbirds,0.167,0.087,0.146,0.061,0.136
BCR4,1,deciduousbirds,0.358,0.142,0.133,0.091,0.17
BCR4,1,deciduousbirds,0.253,0.093,0.094,0.016,0.164
BCR4,1,deciduousbirds,0.107,0.115,0.047,0.075,0.157
BCR4,1,deciduousbirds,0.12,0.138,0.093,0.028,0.144
BCR4,1,deciduousbirds,0.121,0.06,0.098,0.057,0.133
BCR4,1,deciduousbirds,0.179,0.082,0.062,0.137,0.138
BCR4,1,deciduousbirds,0.172,0.095,0.039,0.031,0.074
BCR4,1,deciduousbirds,0.165,0.075,0.123,0.075,0.119
BCR4,1,deciduousbirds,0.438,0.093,0.116,0.075,0.11
BCR4,1,deciduousbirds,0.232,0.084,0.09,0.069,0.141
BCR4,1,deciduousbirds,0.23,0.119,0.178,0.075,0.102
BCR4,1,deciduousbirds,0.237,0.168,0.059,0.075,0.099
BCR4,1,deciduousbirds,0.233,0.079,0.051,0.033,0.162
BCR4,1,deciduousbirds,0.131,0.071,0.097,0.075,0.128
BCR4,1,deciduousbirds,0.193,0.117,0.085,0.104,0.105
BCR4,1,deciduousbirds,0.143,0.076,0.066,0.046,0.139
BCR4,1,deciduousbirds,0.249,0.103,0.112,0.052,0.191
BCR4,1,deciduousbirds,0.303,0.181,0.091,0.029,0.124
BCR4,1,deciduousbirds,0.255,0.07,0.073,0.075,0.154
BCR4,1,deciduousbirds,0.133,0.102,0.068,0.061,0.133
BCR4,1,deciduousbirds,0.149,0.067,0.072,0.075,0.117
BCR4,1,deciduousbirds,0.189,0.075,0.063,0.075,0.119
BCR4,1,deciduousbirds,0.27,0.041,0.115,0.03,0.146
BCR4,1,deciduousbirds,0.177,0.113,0.151,0.075,0.166
BCR4,1,deciduousbirds,0.131,0.06,0.084,0.034,0.092
BCR4,1,deciduousbirds,0.215,0.089,0.064,0.055,0.125
BCR4,1,deciduousbirds,0.182,0.057,0.103,0.075,0.154
BCR4,1,deciduousbirds,0.194,0.112,0.088,0.183,0.144
BCR4,1,deciduousbirds,0.163,0.178,0.11,0.094,0.122
BCR4,1,deciduousbirds,0.497,0.072,0.052,0.037,0.098
BCR4,1,deciduousbirds,0.36,0.074,0.066,0.057,0.13
BCR4,1,deciduousbirds,0.236,0.082,0.056,0.069,0.191
BCR4,1,deciduousbirds,0.308,0.073,0.145,0.069,0.149
BCR4,1,deciduousbirds,0.176,0.142,0.051,0.091,0.147
BCR4,1,deciduousbirds,0.245,0.024,0.05,0.014,0.107
BCR4,1,deciduousbirds,0.103,0.087,0.051,0.075,0.087
BCR4,1,deciduousbirds,0.086,0.098,0.069,0.043,0.105
BCR4,1,deciduousbirds,0.266,0.078,0.044,0.042,0.112
BCR4,1,deciduousbirds,0.139,0.038,0.059,0.061,0.136
BCR4,1,deciduousbirds,0.217,0.069,0.088,0.031,0.13
BCR4,1,deciduousbirds,0.19,0.115,0.067,0.127,0.144
BCR4,1,deciduousbirds,0.115,0.1,0.105,0.075,0.12
BCR4,1,deciduousbirds,0.254,0.178,0.095,0.065,0.13
BCR4,1,deciduousbirds,0.134,0.139,0.174,0.075,0.154
BCR4,1,deciduousbirds,0.18,0.111,0.079,0.038,0.141
BCR4,1,deciduousbirds,0.176,0.062,0.073,0.075,0.14
BCR4,1,deciduousbirds,0.171,0.045,0.09,0.098,0.13
BCR4,1,deciduousbirds,0.36,0.074,0.075,0.038,0.167
BCR4,1,deciduousbirds,0.186,0.114,0.091,0.075,0.094
BCR4,1,deciduousbirds,0.332,0.078,0.071,0.031,0.12
BCR4,1,deciduousbirds,0.154,0.138,0.142,0.075,0.181
BCR4,1,deciduousbirds,0.231,0.057,0.038,0.075,0.086
BCR4,1,deciduousbirds,0.206,0.092,0.074,0.075,0.133
BCR4,1,deciduousbirds,0.218,0.101,0.089,0.037,0.199
BCR4,1,deciduousbirds,0.161,0.058,0.066,0.025,0.137
BCR4,1,deciduousbirds,0.232,0.072,0.062,0.039,0.103
BCR4,1,deciduousbirds,0.108,0.098,0.04,0.159,0.091
BCR4,1,deciduousbirds,0.177,0.065,0.091,0.075,0.147
BCR4,1,deciduousbirds,0.158,0.162,0.113,0.03,0.113
BCR4,1,deciduousbirds,0.093,0.09,0.093,0.069,0.105
BCR4,1,deciduousbirds,0.326,0.098,0.08,0.075,0.111
BCR4,1,deciduousbirds,0.349,0.11,0.084,0.02,0.159
BCR4,1,deciduousbirds,0.089,0.102,0.12,0.075,0.079
BCR4,1,deciduousbirds,0.165,0.066,0.072,0.075,0.119
BCR4,1,deciduousbirds,0.354,0.073,0.103,0.075,0.109
BCR4,1,deciduousbirds,0.446,0.158,0.082,0.075,0.122
BCR4,1,deciduousbirds,0.136,0.073,0.113,0.075,0.16
BCR4,1,deciduousbirds,0.204,0.136,0.07,0.071,0.189
BCR4,1,deciduousbirds,0.22,0.09,0.089,0.037,0.198
BCR4,1,deciduousbirds,0.381,0.196,0.103,0.046,0.121
BCR4,1,deciduousbirds,0.264,0.143,0.088,0.055,0.09
BCR4,1,deciduousbirds,0.166,0.069,0.062,0.025,0.158
BCR4,1,deciduousbirds,0.141,0.127,0.06,0.075,0.108
BCR4,1,deciduousbirds,0.136,0.091,0.144,0.031,0.168
BCR4,1,deciduousbirds,0.223,0.115,0.078,0.075,0.109
BCR4,1,deciduousbirds,0.221,0.145,0.045,0.038,0.142
BCR4,1,deciduousbirds,0.242,0.107,0.106,0.071,0.193
BCR4,1,deciduousbirds,0.392,0.1,0.11,0.07,0.147
BCR4,1,deciduousbirds,0.179,0.079,0.13,0.037,0.133
BCR4,1,deciduousbirds,0.211,0.098,0.064,0.054,0.153
BCR4,1,deciduousbirds,0.218,0.08,0.133,0.069,0.143
BCR4,1,deciduousbirds,0.168,0.142,0.07,0.031,0.095
BCR4,1,deciduousbirds,0.21,0.158,0.059,0.075,0.109
BCR4,1,deciduousbirds,0.295,0.088,0.101,0.052,0.137
BCR4,1,deciduousbirds,0.199,0.15,0.083,0.053,0.072
BCR4,1,deciduousbirds,0.137,0.199,0.13,0.07,0.18
BCR4,1,deciduousbirds,0.342,0.128,0.042,0.075,0.064
BCR4,1,deciduousbirds,0.477,0.061,0.107,0.031,0.131
BCR4,1,deciduousbirds,0.247,0.062,0.061,0.017,0.109
BCR4,1,deciduousbirds,0.296,0.081,0.034,0.075,0.126
BCR4,1,deciduousbirds,0.302,0.086,0.051,0.06,0.102
BCR4,1,deciduousbirds,0.234,0.141,0.039,0.053,0.124
BCR4,1,deciduousbirds,0.199,0.108,0.096,0.075,0.138
BCR4,1,deciduousbirds,0.44,0.134,0.074,0.112,0.163
BCR4,1,deciduousbirds,0.138,0.072,0.062,0.034,0.104
BCR4,1,deciduousbirds,0.255,0.097,0.054,0.033,0.153
BCR4,1,deciduousbirds,0.461,0.071,0.116,0.075,0.099
BCR4,1,deciduousbirds,0.3,0.095,0.089,0.075,0.092
BCR4,1,deciduousbirds,0.142,0.08,0.054,0.075,0.189
BCR4,1,deciduousbirds,0.124,0.086,0.049,0.087,0.063
BCR4,1,deciduousbirds,0.378,0.115,0.045,0.037,0.158
BCR4,1,deciduousbirds,0.143,0.05,0.058,0.066,0.089
BCR4,1,deciduousbirds,0.232,0.072,0.179,0.075,0.199
BCR4,1,deciduousbirds,0.327,0.096,0.077,0.075,0.121
BCR4,1,deciduousbirds,0.318,0.092,0.074,0.075,0.113
BCR4,1,deciduousbirds,0.236,0.078,0.055,0.075,0.162
BCR4,1,deciduousbirds,0.228,0.187,0.09,0.075,0.093
BCR4,1,deciduousbirds,0.197,0.064,0.081,0.074,0.098
BCR4,1,deciduousbirds,0.213,0.106,0.084,0.075,0.115
BCR4,1,deciduousbirds,0.145,0.051,0.052,0.075,0.087
BCR4,1,deciduousbirds,0.212,0.062,0.121,0.075,0.197
BCR4,1,deciduousbirds,0.093,0.101,0.069,0.075,0.172
BCR4,1,deciduousbirds,0.19,0.072,0.116,0.072,0.153
BCR4,1,deciduousbirds,0.212,0.102,0.042,0.1,0.097
BCR4,1,deciduousbirds,0.26,0.076,0.135,0.046,0.136
BCR4,1,deciduousbirds,0.275,0.107,0.057,0.075,0.123
BCR4,1,deciduousbirds,0.187,0.076,0.107,0.031,0.144
BCR4,1,deciduousbirds,0.306,0.126,0.15,0.046,0.171
BCR4,1,deciduousbirds,0.169,0.103,0.094,0.047,0.108
BCR4,1,deciduousbirds,0.321,0.107,0.074,0.075,0.102
BCR4,1,deciduousbirds,0.114,0.03,0.088,0.07,0.082
BCR4,1,deciduousbirds,0.266,0.041,0.129,0.037,0.183
BCR4,1,deciduousbirds,0.281,0.053,0.048,0.075,0.095
BCR4,1,deciduousbirds,0.153,0.091,0.096,0.036,0.096
BCR4,1,deciduousbirds,0.137,0.119,0.111,0.031,0.132
BCR4,1,deciduousbirds,0.301,0.111,0.064,0.03,0.111
BCR4,1,deciduousbirds,0.201,0.074,0.051,0.021,0.139
BCR4,1,deciduousbirds,0.242,0.101,0.083,0.055,0.171
BCR4,1,deciduousbirds,0.193,0.074,0.086,0.018,0.129
BCR4,1,deciduousbirds,0.162,0.163,0.16,0.025,0.174
BCR4,1,deciduousbirds,0.351,0.056,0.073,0.037,0.154
BCR4,1,deciduousbirds,0.274,0.075,0.109,0.07,0.15
BCR4,1,deciduousbirds,0.142,0.051,0.073,0.069,0.111
BCR4,1,deciduousbirds,0.177,0.072,0.023,0.044,0.073
BCR4,1,deciduousbirds,0.106,0.049,0.078,0.075,0.151
BCR4,1,deciduousbirds,0.218,0.115,0.092,0.072,0.131
BCR4,1,deciduousbirds,0.175,0.109,0.094,0.025,0.109
BCR4,1,deciduousbirds,0.181,0.053,0.087,0.074,0.097
BCR4,1,deciduousbirds,0.161,0.103,0.096,0.075,0.084
BCR4,1,deciduousbirds,0.295,0.095,0.101,0.071,0.159
BCR4,1,deciduousbirds,0.192,0.13,0.095,0.047,0.127
BCR4,1,deciduousbirds,0.409,0.083,0.034,0.064,0.113
BCR4,1,deciduousbirds,0.143,0.156,0.066,0.132,0.071
BCR4,1,deciduousbirds,0.177,0.086,0.174,0.031,0.197
BCR4,1,deciduousbirds,0.145,0.121,0.09,0.031,0.076
BCR4,1,deciduousbirds,0.107,0.029,0.076,0.049,0.105
BCR4,1,deciduousbirds,0.227,0.074,0.059,0.046,0.124
BCR4,1,deciduousbirds,0.209,0.102,0.044,0.043,0.127
BCR4,1,deciduousbirds,0.196,0.164,0.188,0.025,0.152
BCR4,1,deciduousbirds,0.186,0.113,0.128,0.075,0.095
BCR4,1,deciduousbirds,0.303,0.08,0.115,0.075,0.099
BCR4,1,deciduousbirds,0.327,0.144,0.072,0.037,0.112
BCR4,1,deciduousbirds,0.117,0.059,0.155,0.063,0.144
BCR4,1,deciduousbirds,0.194,0.144,0.052,0.082,0.161
BCR4,1,deciduousbirds,0.186,0.127,0.129,0.046,0.168
BCR4,1,deciduousbirds,0.266,0.05,0.097,0.052,0.096
BCR4,1,deciduousbirds,0.103,0.116,0.088,0.075,0.152
BCR4,1,deciduousbirds,0.354,0.163,0.163,0.083,0.177
BCR4,1,deciduousbirds,0.273,0.108,0.089,0.037,0.18
BCR4,1,deciduousbirds,0.252,0.052,0.037,0.039,0.121
BCR4,1,deciduousbirds,0.195,0.122,0.066,0.075,0.164
BCR4,1,deciduousbirds,0.157,0.11,0.081,0.04,0.145
BCR4,1,deciduousbirds,0.309,0.028,0.073,0.025,0.134
BCR4,1,deciduousbirds,0.198,0.186,0.085,0.075,0.127
BCR4,1,deciduousbirds,0.177,0.185,0.056,0.075,0.087
BCR4,1,deciduousbirds,0.072,0.088,0.077,0.096,0.1
BCR4,1,deciduousbirds,0.409,0.147,0.08,0.075,0.178
BCR4,1,deciduousbirds,0.194,0.064,0.046,0.055,0.133
BCR4,1,deciduousbirds,0.275,0.082,0.065,0.016,0.108
